date,close_to_open_pct,open_to_close_pct,close_to_close_pct,scenario,conditional_sign,next_day_sign
2004-10-13,8.65,4.14,13.16,pos_then_up,positive,up
2005-01-11,1.38,0.02,1.39,pos_then_up,positive,up
2005-04-13,-5.43,-3.99,-9.21,neg_then_down,negative,down
2005-07-13,6.36,-0.1,6.26,pos_then_down,positive,down
2005-10-11,-5.7,1.23,-4.54,neg_then_up,negative,up
2006-01-10,3.69,0.07,3.76,pos_then_up,positive,up
2006-04-19,5.88,-2.7,3.02,pos_then_down,positive,down
2006-07-19,12.68,-0.75,11.83,pos_then_down,positive,down
2006-10-18,6.35,-0.34,5.98,pos_then_down,positive,down
2007-01-17,-3.0,-3.29,-6.19,neg_then_down,negative,down
2007-04-25,6.53,-2.7,3.66,pos_then_down,positive,down
2007-07-25,6.3,0.06,6.37,pos_then_up,positive,up
2007-10-22,8.14,-1.27,6.77,pos_then_down,positive,down
2008-01-15,-2.25,-3.38,-5.56,neg_then_down,negative,down
2008-04-23,1.5,2.18,3.71,pos_then_up,positive,up
2008-07-21,-10.4,8.74,-2.57,neg_then_up,negative,up
2008-10-21,6.43,-0.51,5.88,pos_then_down,positive,down
2009-01-21,6.29,0.36,6.68,pos_then_up,positive,up
2009-04-22,4.21,-0.96,3.2,pos_then_down,positive,down
2009-07-21,4.14,-0.67,3.45,pos_then_down,positive,down
2009-10-19,5.66,-0.92,4.69,pos_then_down,positive,down
2010-04-20,5.81,0.16,5.98,pos_then_up,positive,up
2010-07-20,5.24,-4.09,0.93,pos_then_down,positive,down
2010-10-18,-4.59,2.01,-2.68,neg_then_up,negative,up
2011-01-18,2.26,-2.73,-0.53,pos_then_down,positive,down
2011-04-20,3.68,-1.21,2.42,pos_then_down,positive,down
2011-07-19,5.11,-2.33,2.67,pos_then_down,positive,down
2011-10-18,-4.95,-0.68,-5.59,neg_then_down,negative,down
2012-01-24,8.09,-1.71,6.24,pos_then_down,positive,down
2012-04-24,9.88,-0.92,8.87,pos_then_down,positive,down
2012-07-24,-4.4,0.09,-4.32,neg_then_up,negative,up
2012-10-25,-0.02,-0.89,-0.91,neg_then_down,negative,down
2013-01-23,-10.51,-2.07,-12.36,neg_then_down,negative,down
2013-04-23,-3.1,3.03,-0.17,neg_then_up,negative,up
2013-07-23,4.76,0.36,5.14,pos_then_up,positive,up
2013-10-28,1.21,-3.65,-2.49,pos_then_down,positive,down
2014-01-27,-7.58,-0.44,-7.99,neg_then_down,negative,down
2014-04-23,8.28,-0.08,8.2,pos_then_down,positive,down
2014-07-22,0.74,1.85,2.61,pos_then_up,positive,up
2014-10-20,3.27,-0.53,2.72,pos_then_down,positive,down
2015-01-27,7.78,-1.97,5.65,pos_then_down,positive,down
2015-04-27,1.36,-2.9,-1.58,pos_then_down,positive,down
2015-07-21,-6.7,2.65,-4.23,neg_then_up,negative,up
2015-10-27,2.08,2.0,4.12,pos_then_up,positive,up
2016-01-26,-3.95,-2.73,-6.57,neg_then_down,negative,down
2016-04-26,-8.0,1.9,-6.26,neg_then_up,negative,up
2016-07-26,7.86,-1.27,6.5,pos_then_down,positive,down
2016-10-25,-3.33,1.12,-2.25,neg_then_up,negative,up
2017-01-31,4.68,1.35,6.1,pos_then_up,positive,up
2017-05-02,-1.3,1.01,-0.31,neg_then_up,negative,up
2017-08-01,6.15,-1.34,4.73,pos_then_down,positive,down
2017-11-02,3.5,-0.86,2.61,pos_then_down,positive,down
2018-02-01,-1.06,-3.31,-4.34,neg_then_down,negative,down
2018-05-01,3.63,0.76,4.42,pos_then_up,positive,up
2018-07-31,4.65,1.19,5.89,pos_then_up,positive,up
2018-11-01,-5.7,-0.99,-6.63,neg_then_down,negative,down
2019-01-02,-8.83,-1.24,-9.96,neg_then_down,negative,down
2019-04-30,4.59,0.3,4.91,pos_then_up,positive,up
2019-07-30,3.66,-1.56,2.04,pos_then_down,positive,down
2019-10-30,1.64,0.61,2.26,pos_then_up,positive,up
2020-01-28,2.13,-0.03,2.09,pos_then_down,positive,down
2020-04-30,-2.57,0.99,-1.61,neg_then_up,negative,up
2020-07-30,6.96,3.28,10.47,pos_then_up,positive,up
2020-10-29,-3.69,-1.98,-5.6,neg_then_down,negative,down
2021-01-27,-1.79,-1.74,-3.5,neg_then_down,negative,down
2021-04-28,2.16,-2.19,-0.07,pos_then_down,positive,down
2021-07-27,-1.34,0.12,-1.22,neg_then_up,negative,up
2021-10-28,-3.51,1.75,-1.82,neg_then_up,negative,up
2022-01-27,4.08,2.79,6.98,pos_then_up,positive,up
2022-04-28,-1.1,-2.59,-3.66,neg_then_down,negative,down
2022-07-28,2.47,0.79,3.28,pos_then_up,positive,up
2022-10-27,2.35,5.09,7.56,pos_then_up,positive,up
2023-02-02,-1.85,4.37,2.44,neg_then_up,negative,up
2023-05-04,3.13,1.51,4.69,pos_then_up,positive,up
2023-08-03,-2.96,-1.9,-4.8,neg_then_down,negative,down
2023-11-02,-1.88,1.38,-0.52,neg_then_up,negative,up
2024-02-01,-3.75,3.33,-0.54,neg_then_up,negative,up
2024-05-02,7.87,-1.75,5.98,pos_then_down,positive,down
2024-08-01,0.36,0.32,0.69,pos_then_up,positive,up
2024-10-31,-2.19,0.88,-1.33,neg_then_up,negative,up
2025-01-30,4.04,-4.53,-0.67,pos_then_down,positive,down
2025-05-01,-3.39,-0.36,-3.74,neg_then_down,negative,down
2025-07-31,1.59,-4.03,-2.5,pos_then_down,positive,down
2025-10-30,2.06,-2.39,-0.38,pos_then_down,positive,down
