date,close_to_open_pct,open_to_close_pct,close_to_close_pct,scenario,conditional_sign,next_day_sign
2013-04-26,-0.02,-1.31,-1.33,neg_then_down,negative,down
2013-07-26,-0.16,0.76,0.6,neg_then_up,negative,up
2013-10-25,-0.34,0.59,0.24,neg_then_up,negative,up
2014-01-31,0.35,-4.15,-3.82,pos_then_down,positive,down
2014-04-25,0.83,2.66,3.52,pos_then_up,positive,up
2014-07-25,0.45,0.6,1.05,pos_then_up,positive,up
2014-10-31,0.32,-0.64,-0.33,pos_then_down,positive,down
2015-01-30,1.89,-1.28,0.58,pos_then_down,positive,down
2015-04-23,0.09,2.74,2.83,pos_then_up,positive,up
2015-07-24,0.56,1.29,1.85,pos_then_up,positive,up
2015-10-30,3.44,2.89,6.43,pos_then_up,positive,up
2016-01-29,-1.35,0.42,-0.93,neg_then_up,negative,up
2016-04-28,-0.28,-0.05,-0.33,neg_then_down,negative,down
2016-10-28,-0.94,-2.24,-3.16,neg_then_down,negative,down
2017-01-27,-0.15,0.87,0.72,neg_then_up,negative,up
2017-04-27,-0.02,-0.18,-0.2,neg_then_down,negative,down
2017-07-28,0.11,-0.86,-0.75,pos_then_down,positive,down
2017-10-27,-0.25,-0.81,-1.06,neg_then_down,negative,down
2018-01-26,-1.39,0.67,-0.73,neg_then_up,negative,up
2018-07-27,0.12,0.86,0.98,pos_then_up,positive,up
2018-11-02,-0.14,3.94,3.8,neg_then_up,negative,up
2019-01-25,-0.67,-3.58,-4.22,neg_then_down,negative,down
2019-04-25,0.42,0.04,0.45,pos_then_up,positive,up
2019-07-26,0.16,-1.02,-0.86,pos_then_down,positive,down
2019-11-01,1.47,0.05,1.52,pos_then_up,positive,up
2020-02-07,0.08,2.59,2.67,pos_then_up,positive,up
2020-05-01,-0.75,-0.44,-1.18,neg_then_down,negative,down
2020-07-29,-0.72,-0.28,-1.0,neg_then_down,negative,down
2020-10-30,1.09,2.58,3.7,pos_then_up,positive,up
2021-02-03,-0.07,1.55,1.48,neg_then_up,negative,up
2021-04-30,0.81,2.03,2.85,pos_then_up,positive,up
2021-07-30,0.51,-1.23,-0.73,pos_then_down,positive,down
2021-10-29,0.51,-0.38,0.12,pos_then_down,positive,down
2022-02-02,0.63,0.88,1.52,pos_then_up,positive,up
2022-04-21,-0.78,-1.46,-2.23,neg_then_down,negative,down
2022-07-06,-1.53,1.2,-0.35,neg_then_up,negative,up
2022-10-05,-0.38,-1.75,-2.12,neg_then_down,negative,down
2023-01-06,-0.39,-2.56,-2.94,neg_then_down,negative,down
2023-07-06,-0.07,-1.2,-1.28,neg_then_down,negative,down
2023-10-04,0.16,-0.32,-0.16,pos_then_down,positive,down
2024-01-05,0.02,-0.46,-0.44,pos_then_down,positive,down
2024-04-03,0.18,-5.49,-5.32,pos_then_down,positive,down
2024-07-03,0.54,1.54,2.08,pos_then_up,positive,up
2024-10-03,-0.18,-0.42,-0.59,neg_then_down,negative,down
2025-01-06,-0.26,-0.06,-0.32,neg_then_down,negative,down
2025-04-03,-0.81,-6.52,-7.28,neg_then_down,negative,down
2025-07-03,0.08,-0.96,-0.87,pos_then_down,positive,down
