date,close_to_open_pct,close_to_close_pct,open_to_close_pct,scenario,gap_sign,intraday_sign
2004-10-14,1.68,0.85,-0.82,pos_then_down,positive,down
2005-04-12,-0.26,0.87,1.14,neg_then_up,negative,up
2005-07-13,-0.08,-2.16,-2.08,neg_then_down,negative,down
2005-10-19,-0.46,-1.57,-1.12,neg_then_down,negative,down
2006-01-25,1.38,2.73,1.33,pos_then_up,positive,up
2006-07-19,-0.69,-0.15,0.54,neg_then_up,negative,up
2006-10-18,0.38,0.15,-0.23,pos_then_down,positive,down
2007-01-24,-0.84,-1.79,-0.96,neg_then_down,negative,down
2007-04-18,-0.41,-1.36,-0.95,neg_then_down,negative,down
2007-07-18,1.73,1.15,-0.57,pos_then_down,positive,down
2007-10-17,0.2,0.92,0.72,pos_then_up,positive,up
2008-01-23,0.35,-1.57,-1.91,pos_then_down,positive,down
2008-04-16,0.39,-0.82,-1.2,pos_then_down,positive,down
2008-07-16,0.23,0.93,0.7,pos_then_up,positive,up
2008-10-15,0.28,2.78,2.5,pos_then_up,positive,up
2009-01-12,-0.42,0.72,1.15,neg_then_up,negative,up
2009-04-15,0.8,0.07,-0.72,pos_then_down,positive,down
2009-07-15,-0.33,-0.75,-0.42,neg_then_down,negative,down
2009-10-14,0.43,1.39,0.95,pos_then_up,positive,up
2010-01-27,0.37,0.09,-0.28,pos_then_down,positive,down
2010-04-21,-0.37,-1.27,-0.91,neg_then_down,negative,down
2010-07-21,0.7,0.68,-0.02,pos_then_down,positive,down
2010-10-20,0.5,0.8,0.3,pos_then_up,positive,up
2011-01-26,-0.17,-0.79,-0.62,neg_then_down,negative,down
2011-04-20,-0.16,1.97,2.13,neg_then_up,negative,up
2011-07-20,0.74,0.86,0.11,pos_then_up,positive,up
2011-10-19,0.47,1.5,1.03,pos_then_up,positive,up
2012-01-25,0.38,-0.65,-1.03,pos_then_down,positive,down
2012-04-18,-1.06,-1.57,-0.52,neg_then_down,negative,down
2012-07-18,0.32,-0.2,-0.51,pos_then_down,positive,down
2012-10-17,-4.29,-3.48,0.85,neg_then_up,negative,up
2013-01-23,-0.49,-0.03,0.46,neg_then_up,negative,up
2013-04-16,1.21,2.42,1.19,pos_then_up,positive,up
2013-07-17,0.28,-0.34,-0.61,pos_then_down,positive,down
2013-10-16,-0.03,3.54,3.57,neg_then_up,negative,up
2014-01-22,-0.45,-1.68,-1.24,neg_then_down,negative,down
2014-04-16,-0.31,1.43,1.75,neg_then_up,negative,up
2014-07-16,-0.07,2.07,2.15,neg_then_up,negative,up
2014-10-22,0.99,2.02,1.02,pos_then_up,positive,up
2015-01-27,0.6,-0.62,-1.21,pos_then_down,positive,down
2015-07-22,0.69,0.43,-0.25,pos_then_down,positive,down
2015-10-21,0.5,3.08,2.57,pos_then_up,positive,up
2016-01-28,-0.05,3.11,3.16,neg_then_up,negative,up
2016-04-20,-0.43,-0.2,0.23,neg_then_up,negative,up
2016-07-20,0.54,0.91,0.37,pos_then_up,positive,up
2017-01-24,-1.36,0.0,1.38,neg_then_up,negative,up
2017-04-18,0.81,0.37,-0.43,pos_then_down,positive,down
2017-07-20,-0.24,-0.02,0.22,neg_then_up,negative,up
2017-10-18,0.23,0.41,0.18,pos_then_up,positive,up
2018-01-24,2.37,2.43,0.06,pos_then_up,positive,up
2018-07-18,-0.11,-1.5,-1.39,neg_then_down,negative,down
2018-10-17,-0.93,-2.98,-2.07,neg_then_down,negative,down
2019-01-23,0.13,1.36,1.23,pos_then_up,positive,up
2019-04-17,1.04,1.43,0.38,pos_then_up,positive,up
2019-07-17,0.56,2.33,1.76,pos_then_up,positive,up
2019-10-16,-0.32,0.73,1.05,neg_then_up,negative,up
2020-01-22,-0.05,-1.23,-1.18,neg_then_down,negative,down
2020-04-16,1.51,0.01,-1.48,pos_then_down,positive,down
2020-07-16,1.52,2.96,1.41,pos_then_up,positive,up
2020-10-21,0.46,3.35,2.88,pos_then_up,positive,up
2021-01-27,3.17,5.34,2.1,pos_then_up,positive,up
2021-04-20,0.36,2.17,1.8,pos_then_up,positive,up
2021-07-22,1.17,2.16,0.98,pos_then_up,positive,up
2021-10-20,0.16,1.41,1.25,pos_then_up,positive,up
2022-01-26,0.76,0.31,-0.45,pos_then_down,positive,down
2022-04-20,0.44,0.6,0.15,pos_then_up,positive,up
2022-07-20,0.36,2.27,1.91,pos_then_up,positive,up
2022-10-19,-1.62,-2.96,-1.36,neg_then_down,negative,down
2023-01-25,0.23,0.06,-0.16,pos_then_down,positive,down
2023-04-19,-0.04,-1.73,-1.69,neg_then_down,negative,down
2023-07-20,0.91,2.2,1.28,pos_then_up,positive,up
2023-10-18,1.03,-0.13,-1.14,pos_then_down,positive,down
2024-01-24,0.58,1.52,0.93,pos_then_up,positive,up
2024-04-17,0.57,-0.59,-1.15,pos_then_down,positive,down
2024-07-18,0.54,1.96,1.41,pos_then_up,positive,up
2024-10-16,0.76,0.06,-0.69,pos_then_down,positive,down
2025-01-22,0.3,4.62,4.31,pos_then_up,positive,up
2025-04-16,0.52,0.99,0.46,pos_then_up,positive,up
2025-07-17,1.76,2.62,0.85,pos_then_up,positive,up
2025-10-15,0.06,-1.41,-1.47,pos_then_down,positive,down
