date,close_to_open_pct,close_to_close_pct,open_to_close_pct,scenario,gap_sign,intraday_sign
2009-10-01,1.59,2.66,1.05,pos_then_up,positive,up
2009-12-17,-2.18,-0.7,1.52,neg_then_up,negative,up
2010-03-25,-0.51,2.12,2.64,neg_then_up,negative,up
2010-06-24,4.93,7.99,2.92,pos_then_up,positive,up
2010-09-30,3.15,4.45,1.25,pos_then_up,positive,up
2011-03-24,8.68,4.48,-3.86,pos_then_down,positive,down
2011-06-23,1.96,2.39,0.42,pos_then_up,positive,up
2011-09-27,2.74,0.34,-2.34,pos_then_down,positive,down
2011-12-15,-2.89,-3.53,-0.66,neg_then_down,negative,down
2012-03-22,0.77,2.14,1.36,pos_then_up,positive,up
2012-06-28,3.21,6.11,2.81,pos_then_up,positive,up
2012-09-27,3.72,7.11,3.27,pos_then_up,positive,up
2012-12-19,-4.56,-1.96,2.72,neg_then_up,negative,up
2013-03-28,0.13,-0.16,-0.29,pos_then_down,positive,down
2013-06-27,-10.5,-10.3,0.22,neg_then_up,negative,up
2013-09-26,-1.81,-2.35,-0.55,neg_then_down,negative,down
2013-12-19,0.26,1.31,1.04,pos_then_up,positive,up
2014-03-27,0.95,0.01,-0.93,pos_then_down,positive,down
2014-06-26,-0.54,-0.22,0.32,neg_then_up,negative,up
2014-09-24,-0.29,-1.52,-1.24,neg_then_down,negative,down
2014-12-18,0.46,0.86,0.4,pos_then_up,positive,up
2015-03-26,-0.27,-0.24,0.02,neg_then_up,negative,up
2015-06-25,0.49,-0.48,-0.97,pos_then_down,positive,down
2015-09-24,0.6,-0.85,-1.44,pos_then_down,positive,down
2015-12-17,-0.13,-1.29,-1.16,neg_then_down,negative,down
2016-03-24,0.11,-0.11,-0.23,pos_then_down,positive,down
2016-06-23,-5.16,-6.27,-1.17,neg_then_down,negative,down
2016-09-29,0.12,0.44,0.32,pos_then_up,positive,up
2016-12-21,0.14,-0.09,-0.23,pos_then_down,positive,down
2017-03-23,0.02,-1.47,-1.49,pos_then_down,positive,down
2017-06-22,0.05,0.54,0.49,pos_then_up,positive,up
2017-09-28,0.43,-0.92,-1.34,pos_then_down,positive,down
2017-12-21,1.02,-0.2,-1.21,pos_then_down,positive,down
2018-03-22,0.73,-1.92,-2.63,pos_then_down,positive,down
2018-06-28,-0.19,-0.55,-0.37,neg_then_down,negative,down
2018-09-27,-0.04,0.09,0.12,neg_then_up,negative,up
2018-12-20,-1.73,-4.39,-2.71,neg_then_down,negative,down
2019-03-28,0.1,0.51,0.41,pos_then_up,positive,up
2019-06-27,0.67,0.97,0.29,pos_then_up,positive,up
2019-09-26,0.75,-0.39,-1.13,pos_then_down,positive,down
2020-03-19,-0.61,-5.4,-4.82,neg_then_down,negative,down
2020-06-25,-0.25,-2.23,-1.99,neg_then_down,negative,down
2020-09-24,-0.65,0.1,0.75,neg_then_up,negative,up
2020-12-17,-0.22,0.67,0.89,neg_then_up,negative,up
2021-03-18,-0.2,-1.17,-0.96,neg_then_down,negative,down
2021-06-24,0.26,1.06,0.8,pos_then_up,positive,up
2021-09-23,-0.68,-1.1,-0.43,neg_then_down,negative,down
2021-12-16,-1.06,-1.09,-0.03,neg_then_down,negative,down
2022-03-17,0.74,1.39,0.65,pos_then_up,positive,up
2022-06-23,-0.15,4.74,4.89,neg_then_up,negative,up
2022-09-22,-1.21,-0.89,0.32,neg_then_up,negative,up
2022-12-16,-0.5,-3.43,-2.95,neg_then_down,negative,down
2023-03-23,-0.45,0.13,0.57,neg_then_up,negative,up
2023-06-22,-2.35,-2.87,-0.53,neg_then_down,negative,down
2023-09-28,1.19,2.11,0.91,pos_then_up,positive,up
2023-12-19,1.19,-0.59,-1.75,pos_then_down,positive,down
2024-03-21,1.54,-2.18,-3.66,pos_then_down,positive,down
2024-06-20,0.28,0.92,0.64,pos_then_up,positive,up
2024-09-26,0.15,-1.72,-1.86,pos_then_down,positive,down
2024-12-19,-0.39,-1.56,-1.17,neg_then_down,negative,down
2025-03-20,-0.95,1.47,2.44,neg_then_up,negative,up
2025-06-20,0.22,3.37,3.15,pos_then_up,positive,up
2025-09-25,0.02,2.76,2.74,pos_then_up,positive,up
