date,close_to_open_pct,open_to_close_pct,close_to_close_pct,scenario,conditional_sign,next_day_sign
2003-09-10,7.12,1.23,8.44,pos_then_up,positive,up
2003-12-11,5.33,-4.06,1.06,pos_then_down,positive,down
2004-03-18,8.91,0.89,9.87,pos_then_up,positive,up
2004-06-17,-1.66,-2.6,-4.21,neg_then_down,negative,down
2004-09-20,4.8,0.4,5.21,pos_then_up,positive,up
2004-12-16,-1.87,0.8,-1.08,neg_then_up,negative,up
2005-03-17,2.21,3.84,6.14,pos_then_up,positive,up
2005-06-16,-4.1,0.84,-3.3,neg_then_up,negative,up
2005-09-15,3.38,5.83,9.41,pos_then_up,positive,up
2005-12-15,5.87,4.98,11.14,pos_then_up,positive,up
2006-03-22,-2.84,2.11,-0.79,neg_then_up,negative,up
2006-06-15,-1.0,1.57,0.55,neg_then_up,negative,up
2006-09-14,8.83,1.04,9.96,pos_then_up,positive,up
2006-12-14,5.73,-0.79,4.9,pos_then_down,positive,down
2007-03-20,4.57,1.64,6.28,pos_then_up,positive,up
2007-06-14,1.07,-3.78,-2.75,pos_then_down,positive,down
2007-09-17,3.37,-1.8,1.51,pos_then_down,positive,down
2007-12-17,3.11,-0.33,2.76,pos_then_down,positive,down
2008-03-18,5.96,2.87,9.0,pos_then_up,positive,up
2008-06-16,-2.38,-1.03,-3.38,neg_then_down,negative,down
2008-09-16,2.39,-7.22,-5.01,pos_then_down,positive,down
2008-12-03,-7.23,-2.25,-9.32,neg_then_down,negative,down
2009-03-04,11.27,-6.83,3.68,pos_then_down,positive,down
2009-06-16,0.35,1.45,1.81,pos_then_up,positive,up
2009-09-15,-5.73,-0.68,-6.37,neg_then_down,negative,down
2009-12-15,1.4,2.69,4.13,pos_then_up,positive,up
2010-03-23,5.39,-1.64,3.66,pos_then_down,positive,down
2010-06-22,-1.25,-6.09,-7.26,neg_then_down,negative,down
2010-09-21,-21.4,3.01,-19.03,neg_then_up,negative,up
2010-12-20,6.17,-0.16,6.0,pos_then_down,positive,down
2011-03-22,-0.82,-2.85,-3.65,neg_then_down,negative,down
2011-06-21,-5.34,-0.96,-6.25,neg_then_down,negative,down
2011-09-20,5.32,-4.08,1.01,pos_then_down,positive,down
2011-12-15,4.8,1.69,6.58,pos_then_up,positive,up
2012-03-19,-3.27,-0.66,-3.91,neg_then_down,negative,down
2012-06-19,-6.72,4.27,-2.74,neg_then_up,negative,up
2012-09-19,0.39,3.85,4.26,pos_then_up,positive,up
