date,close_to_open_pct,open_to_close_pct,close_to_close_pct,scenario,conditional_sign,next_day_sign
2003-08-14,-1.19,-0.82,-2.0,neg_then_down,negative,down
2003-11-18,3.25,0.52,3.79,pos_then_up,positive,up
2004-02-12,4.82,-1.38,3.37,pos_then_down,positive,down
2004-05-13,2.61,-0.93,1.65,pos_then_down,positive,down
2004-08-12,-7.3,7.05,-0.77,neg_then_up,negative,up
2004-11-23,1.85,-2.06,-0.26,pos_then_down,positive,down
2005-02-10,-0.35,3.68,3.31,neg_then_up,negative,up
2005-05-12,1.66,1.75,3.44,pos_then_up,positive,up
2005-08-02,-3.61,-1.71,-5.26,neg_then_down,negative,down
2005-11-15,-0.24,-1.59,-1.83,neg_then_down,negative,down
2006-02-09,-2.22,-1.85,-4.03,neg_then_down,negative,down
2006-05-11,2.39,1.46,3.89,pos_then_up,positive,up
2006-08-10,-10.03,-6.86,-16.21,neg_then_down,negative,down
2006-11-14,3.24,-1.58,1.6,pos_then_down,positive,down
2007-02-21,6.27,3.93,10.44,pos_then_up,positive,up
2007-05-22,-8.83,-1.25,-9.97,neg_then_down,negative,down
2007-08-21,-0.58,-1.68,-2.25,neg_then_down,negative,down
2007-11-27,5.16,-1.83,3.24,pos_then_down,positive,down
2008-02-20,2.81,0.46,3.28,pos_then_up,positive,up
2008-05-20,-5.76,1.83,-4.03,neg_then_up,negative,up
2008-08-19,-3.11,-5.94,-8.87,neg_then_down,negative,down
2008-11-24,0.99,-7.63,-6.71,pos_then_down,positive,down
2009-02-18,0.65,-3.72,-3.1,pos_then_down,positive,down
2009-05-19,13.85,1.58,15.65,pos_then_up,positive,up
2009-08-18,-4.56,7.01,2.13,neg_then_up,negative,up
2009-11-23,4.33,2.02,6.44,pos_then_up,positive,up
2010-02-17,2.04,2.11,4.19,pos_then_up,positive,up
2010-05-18,1.7,2.49,4.24,pos_then_up,positive,up
2010-08-17,1.94,2.42,4.41,pos_then_up,positive,up
2010-11-22,-1.22,0.53,-0.7,neg_then_up,negative,up
2011-02-15,-1.95,1.59,-0.39,neg_then_up,negative,up
2011-05-17,4.4,1.43,5.89,pos_then_up,positive,up
2011-08-16,0.41,0.67,1.08,pos_then_up,positive,up
2011-11-21,-0.9,-2.09,-2.97,neg_then_down,negative,down
2012-02-22,0.1,-1.33,-1.23,pos_then_down,positive,down
2012-05-22,-4.33,4.18,-0.34,neg_then_up,negative,up
2012-08-21,-0.84,-0.75,-1.59,neg_then_down,negative,down
2012-11-27,-3.04,3.88,0.72,neg_then_up,negative,up
2013-02-19,-0.23,-2.37,-2.6,neg_then_down,negative,down
2013-05-21,-1.95,-0.22,-2.17,neg_then_down,negative,down
2013-08-20,-2.51,0.64,-1.88,neg_then_up,negative,up
2013-11-26,-5.45,2.84,-2.76,neg_then_up,negative,up
2014-02-18,1.31,-0.64,0.66,pos_then_down,positive,down
2014-05-20,1.46,-2.67,-1.25,pos_then_down,positive,down
2014-08-26,-1.07,-1.2,-2.26,neg_then_down,negative,down
2014-11-25,1.59,3.86,5.51,pos_then_up,positive,up
2015-02-17,-0.7,-0.03,-0.73,neg_then_down,negative,down
2015-05-19,1.18,3.08,4.3,pos_then_up,positive,up
2015-08-18,4.89,-3.87,0.83,pos_then_down,positive,down
2015-11-24,0.07,-0.35,-0.28,pos_then_down,positive,down
2016-02-17,0.53,-1.83,-1.31,pos_then_down,positive,down
2016-05-18,-0.27,0.05,-0.22,neg_then_up,negative,up
2016-08-17,0.16,-0.26,-0.11,pos_then_down,positive,down
2016-11-22,1.07,-0.11,0.96,pos_then_down,positive,down
2017-02-15,-0.74,1.2,0.45,neg_then_up,negative,up
2017-05-31,0.61,-4.72,-4.14,pos_then_down,positive,down
2017-08-30,0.74,-0.79,-0.06,pos_then_down,positive,down
2017-11-21,-0.64,-1.07,-1.71,neg_then_down,negative,down
