date,close_to_open_pct,close_to_close_pct,open_to_close_pct,scenario,gap_sign,intraday_sign
2004-07-29,0.2,1.34,1.13,pos_then_up,positive,up
2004-10-22,0.62,1.81,1.18,pos_then_up,positive,up
2005-02-08,0.04,0.93,0.89,pos_then_up,positive,up
2005-04-28,0.53,1.31,0.78,pos_then_up,positive,up
2005-07-28,-0.34,-0.64,-0.3,neg_then_down,negative,down
2005-11-01,-0.25,0.21,0.47,neg_then_up,negative,up
2006-01-17,-0.02,0.19,0.21,neg_then_up,negative,up
2006-05-04,0.5,1.55,1.04,pos_then_up,positive,up
2006-08-03,0.49,0.08,-0.41,pos_then_down,positive,down
2006-11-03,-0.07,-0.19,-0.11,neg_then_down,negative,down
2007-02-15,-0.32,0.02,0.34,neg_then_up,negative,up
2007-08-02,-0.12,-3.0,-2.88,neg_then_down,negative,down
2007-11-09,-0.25,-1.08,-0.84,neg_then_down,negative,down
2008-01-17,0.62,-2.46,-3.07,pos_then_down,positive,down
2008-05-02,-0.48,-2.22,-1.75,neg_then_down,negative,down
2008-08-01,1.43,-0.38,-1.79,pos_then_down,positive,down
2008-10-20,-1.14,-2.63,-1.5,neg_then_down,negative,down
2009-02-17,-0.72,0.61,1.33,neg_then_up,negative,up
2009-05-01,-0.71,0.96,1.68,neg_then_up,negative,up
2009-08-06,0.8,0.69,-0.11,pos_then_down,positive,down
2009-10-30,0.37,-1.07,-1.43,pos_then_down,positive,down
2010-02-18,-0.08,0.04,0.12,neg_then_up,negative,up
2010-05-05,-0.51,-3.26,-2.76,neg_then_down,negative,down
2010-08-05,-0.55,0.59,1.15,neg_then_up,negative,up
2010-10-29,0.66,-0.45,-1.1,pos_then_down,positive,down
2011-02-22,0.11,-1.88,-1.99,pos_then_down,positive,down
2011-05-05,0.83,0.73,-0.1,pos_then_down,positive,down
2011-08-04,1.33,2.33,0.99,pos_then_up,positive,up
2011-11-04,-0.37,1.73,2.11,neg_then_up,negative,up
2012-02-23,0.31,0.37,0.06,pos_then_up,positive,up
2012-05-04,-0.77,-0.56,0.22,neg_then_up,negative,up
2012-08-02,4.07,1.99,-2.0,pos_then_down,positive,down
2012-11-09,-0.53,-1.65,-1.13,neg_then_down,negative,down
2013-02-20,-0.24,-0.84,-0.6,neg_then_down,negative,down
2013-05-02,0.64,1.61,0.97,pos_then_up,positive,up
2013-11-07,-0.39,0.41,0.8,neg_then_up,negative,up
2014-02-21,0.24,0.05,-0.2,pos_then_down,positive,down
2014-05-08,-0.97,-2.46,-1.5,neg_then_down,negative,down
2014-08-05,-0.64,-1.15,-0.51,neg_then_down,negative,down
2015-02-25,0.56,-1.39,-1.94,pos_then_down,positive,down
2015-05-07,1.16,-0.02,-1.17,pos_then_down,positive,down
2015-07-31,0.44,1.24,0.8,pos_then_up,positive,up
2015-11-06,-0.47,1.39,1.87,neg_then_up,negative,up
2016-02-19,-0.09,1.38,1.47,neg_then_up,negative,up
2016-05-10,-0.06,-1.05,-0.99,neg_then_down,negative,down
2016-08-05,0.2,-0.12,-0.31,pos_then_down,positive,down
2016-11-04,0.79,2.94,2.13,pos_then_up,positive,up
2017-02-16,0.3,0.81,0.51,pos_then_up,positive,up
2017-05-04,0.26,-0.05,-0.31,pos_then_down,positive,down
2017-08-04,0.12,0.77,0.64,pos_then_up,positive,up
2017-11-03,0.35,-0.11,-0.46,pos_then_down,positive,down
2018-02-16,-0.53,-2.2,-1.68,neg_then_down,negative,down
2018-05-09,0.82,0.21,-0.6,pos_then_down,positive,down
2018-08-03,0.37,0.19,-0.18,pos_then_down,positive,down
2018-10-31,0.56,-0.36,-0.91,pos_then_down,positive,down
2019-02-14,0.74,0.94,0.2,pos_then_up,positive,up
2019-05-09,-0.38,1.93,2.32,neg_then_up,negative,up
2019-08-02,0.45,-0.91,-1.35,pos_then_down,positive,down
2019-11-08,-0.01,0.38,0.39,neg_then_up,negative,up
2020-02-26,-0.07,-4.27,-4.2,neg_then_down,negative,down
2020-05-11,-0.88,-2.63,-1.77,neg_then_down,negative,down
2020-08-06,-2.12,1.38,3.58,neg_then_up,negative,up
2020-11-04,0.78,-1.17,-1.94,pos_then_down,positive,down
2021-02-19,0.06,-1.84,-1.89,pos_then_down,positive,down
2021-08-05,0.13,0.85,0.72,pos_then_up,positive,up
2021-11-03,-0.19,0.21,0.4,neg_then_up,negative,up
2022-02-17,-1.15,0.19,1.35,neg_then_up,negative,up
2022-05-05,-0.69,-0.64,0.04,neg_then_up,negative,up
2022-08-04,-0.15,-0.32,-0.16,neg_then_down,negative,down
2022-11-03,0.17,-0.14,-0.31,pos_then_down,positive,down
2023-02-15,-0.66,0.01,0.68,neg_then_up,negative,up
2023-05-04,0.13,0.8,0.67,pos_then_up,positive,up
2023-08-02,-0.17,-1.74,-1.58,neg_then_down,negative,down
2023-11-08,0.97,-1.92,-2.86,pos_then_down,positive,down
2024-02-22,0.18,1.12,0.93,pos_then_up,positive,up
2024-05-02,-0.21,-1.54,-1.33,neg_then_down,negative,down
2024-08-01,1.74,1.56,-0.17,pos_then_down,positive,down
2024-11-06,-1.04,-1.39,-0.36,neg_then_down,negative,down
2025-02-13,0.58,-0.2,-0.78,pos_then_down,positive,down
2025-05-01,0.81,1.42,0.61,pos_then_up,positive,up
2025-07-31,1.39,0.97,-0.42,pos_then_down,positive,down
2025-11-05,1.48,0.72,-0.75,pos_then_down,positive,down
