date,close_to_open_pct,open_to_close_pct,close_to_close_pct,scenario,conditional_sign,next_day_sign
2003-07-30,0.79,-0.94,-0.16,pos_then_down,positive,down
2003-10-30,0.9,-2.45,-1.57,pos_then_down,positive,down
2004-04-05,-1.15,2.33,1.15,neg_then_up,negative,up
2004-10-28,1.78,0.46,2.25,pos_then_up,positive,up
2005-02-03,0.27,1.4,1.67,pos_then_up,positive,up
2005-05-05,0.82,0.13,0.95,pos_then_up,positive,up
2005-07-27,-1.01,2.35,1.32,neg_then_up,negative,up
2006-01-19,6.79,-6.57,-0.23,pos_then_down,positive,down
2006-04-03,1.02,1.66,2.7,pos_then_up,positive,up
2006-08-07,-0.2,1.35,1.15,neg_then_up,negative,up
2006-11-06,-0.84,-1.92,-2.74,neg_then_down,negative,down
2007-02-26,-0.89,-3.45,-4.31,neg_then_down,negative,down
2007-05-23,-0.25,-2.94,-3.18,neg_then_down,negative,down
2007-08-09,3.27,-1.58,1.63,pos_then_down,positive,down
2007-11-06,-1.33,-1.71,-3.02,neg_then_down,negative,down
2008-03-17,1.68,0.43,2.12,pos_then_up,positive,up
2008-08-08,0.45,0.63,1.08,pos_then_up,positive,up
2008-11-07,5.42,-13.98,-9.32,pos_then_down,positive,down
2009-02-27,-2.54,-8.79,-11.11,neg_then_down,negative,down
2009-05-08,-1.46,-4.85,-6.24,neg_then_down,negative,down
2009-08-07,-0.36,1.08,0.72,neg_then_up,negative,up
2009-11-06,-0.36,-0.43,-0.78,neg_then_down,negative,down
2010-02-26,0.43,-4.86,-4.45,pos_then_down,positive,down
2010-05-07,5.97,1.62,7.68,pos_then_up,positive,up
2010-08-06,0.47,3.46,3.94,pos_then_up,positive,up
2010-11-04,-0.17,-1.42,-1.59,neg_then_down,negative,down
2011-02-28,0.32,2.58,2.91,pos_then_up,positive,up
2011-05-09,0.68,-1.36,-0.68,pos_then_down,positive,down
2011-08-05,-3.51,-8.05,-11.28,neg_then_down,negative,down
2011-11-04,-0.5,0.68,0.17,neg_then_up,negative,up
2012-02-27,0.29,-2.18,-1.9,pos_then_down,positive,down
2012-05-04,-0.66,0.58,-0.08,neg_then_up,negative,up
2012-08-06,-0.26,-1.28,-1.54,neg_then_down,negative,down
2012-11-07,0.1,0.69,0.79,pos_then_up,positive,up
2013-02-27,0.26,-0.43,-0.17,pos_then_down,positive,down
2013-05-09,-1.66,2.38,0.68,neg_then_up,negative,up
2013-11-07,0.29,3.42,3.72,pos_then_up,positive,up
2014-02-26,-0.64,-2.13,-2.75,neg_then_down,negative,down
2014-05-08,-0.21,-0.07,-0.28,neg_then_down,negative,down
2014-08-07,0.35,2.15,2.5,pos_then_up,positive,up
2014-11-06,0.23,2.83,3.06,pos_then_up,positive,up
2015-02-26,0.4,2.29,2.69,pos_then_up,positive,up
2015-05-11,-0.8,1.03,0.22,neg_then_up,negative,up
2015-08-10,-0.24,-2.37,-2.6,neg_then_down,negative,down
2015-11-05,-1.11,4.4,3.24,neg_then_up,negative,up
2016-08-05,0.41,-0.81,-0.41,pos_then_down,positive,down
2016-11-04,1.32,1.14,2.48,pos_then_up,positive,up
2017-02-27,1.08,2.31,3.41,pos_then_up,positive,up
2017-05-08,-0.44,0.71,0.27,neg_then_up,negative,up
2017-08-08,0.62,-1.75,-1.14,pos_then_down,positive,down
2017-11-02,-0.65,-2.15,-2.78,neg_then_down,negative,down
2018-01-16,0.84,-0.46,0.37,pos_then_down,positive,down
2018-05-08,1.19,1.68,2.9,pos_then_up,positive,up
2018-08-07,1.17,1.16,2.35,pos_then_up,positive,up
2018-11-06,0.5,-3.05,-2.56,pos_then_down,positive,down
2019-02-27,0.58,-0.17,0.41,pos_then_down,positive,down
2019-05-07,0.3,-3.62,-3.33,pos_then_down,positive,down
2019-08-06,-0.32,0.13,-0.19,neg_then_up,negative,up
2019-11-06,0.28,-0.9,-0.62,pos_then_down,positive,down
2020-02-28,0.24,8.65,8.91,pos_then_up,positive,up
2020-05-07,2.39,3.71,6.19,pos_then_up,positive,up
2020-08-06,-0.73,4.44,3.69,neg_then_up,negative,up
2020-11-06,7.45,-4.38,2.74,pos_then_down,positive,down
2021-02-25,0.19,0.61,0.8,pos_then_up,positive,up
2021-05-06,0.47,0.86,1.34,pos_then_up,positive,up
2021-08-05,1.13,-2.11,-1.01,pos_then_down,positive,down
2021-11-03,2.17,-2.82,-0.71,pos_then_down,positive,down
2022-05-05,-1.64,-0.19,-1.83,neg_then_down,negative,down
2022-08-05,0.99,-2.41,-1.45,pos_then_down,positive,down
2022-11-04,0.34,0.87,1.21,pos_then_up,positive,up
2023-02-27,-0.36,-0.44,-0.8,neg_then_down,negative,down
2023-05-04,0.49,0.35,0.85,pos_then_up,positive,up
2023-08-03,0.19,-5.07,-4.89,pos_then_down,positive,down
2023-11-02,3.23,4.94,8.32,pos_then_up,positive,up
2024-02-26,1.54,-4.37,-2.89,pos_then_down,positive,down
2024-05-02,-1.11,-0.27,-1.37,neg_then_down,negative,down
2024-08-01,-3.41,-0.98,-4.36,neg_then_down,negative,down
2024-10-31,-1.39,-8.58,-9.85,neg_then_down,negative,down
2025-02-28,-3.8,0.36,-3.45,neg_then_up,negative,up
2025-05-01,1.51,0.79,2.31,pos_then_up,positive,up
2025-08-01,0.83,0.67,1.51,pos_then_up,positive,up
2025-11-04,0.3,5.49,5.8,pos_then_up,positive,up
