date,close_to_open_pct,close_to_close_pct,open_to_close_pct,scenario,gap_sign,intraday_sign
2003-10-21,-3.01,-2.47,0.56,neg_then_up,negative,up
2004-01-27,0.55,-1.96,-2.5,pos_then_down,positive,down
2004-07-27,4.79,2.28,-2.39,pos_then_down,positive,down
2004-10-26,-1.87,-5.4,-3.6,neg_then_down,negative,down
2005-01-25,-0.52,-2.88,-2.37,neg_then_down,negative,down
2005-04-26,-1.1,-2.57,-1.48,neg_then_down,negative,down
2005-07-26,1.92,2.74,0.81,pos_then_up,positive,up
2005-10-25,-1.48,-2.35,-0.89,neg_then_down,negative,down
2006-04-20,-0.14,-4.11,-3.97,neg_then_down,negative,down
2006-07-25,3.66,10.05,6.17,pos_then_up,positive,up
2007-04-24,-2.14,-3.45,-1.34,neg_then_down,negative,down
2007-07-24,1.5,4.67,3.13,pos_then_up,positive,up
2007-10-23,-4.62,-3.92,0.74,neg_then_up,negative,up
2008-01-30,-1.26,0.24,1.52,neg_then_up,negative,up
2008-04-24,-2.34,0.82,3.24,neg_then_up,negative,up
2008-07-29,-3.71,-0.75,3.07,neg_then_up,negative,up
2008-10-28,0.21,-0.68,-0.89,pos_then_down,positive,down
2009-02-03,-11.66,-22.35,-12.1,neg_then_down,negative,down
2009-04-28,15.49,17.85,2.05,pos_then_up,positive,up
2009-07-28,0.44,2.61,2.16,pos_then_up,positive,up
2009-10-27,-3.46,-6.75,-3.41,neg_then_down,negative,down
2010-02-02,0.44,4.58,4.12,pos_then_up,positive,up
2010-04-22,0.72,0.76,0.04,pos_then_up,positive,up
2010-07-27,-0.96,-2.46,-1.52,neg_then_down,negative,down
2011-02-01,0.23,-0.2,-0.43,pos_then_down,positive,down
2011-04-27,-0.33,0.6,0.94,neg_then_up,negative,up
2011-07-26,1.05,2.32,1.26,pos_then_up,positive,up
2011-10-25,2.78,1.6,-1.15,pos_then_down,positive,down
2012-01-31,1.56,2.88,1.3,pos_then_up,positive,up
2012-05-01,-0.9,-1.03,-0.13,neg_then_down,negative,down
2012-07-31,1.86,1.32,-0.53,pos_then_down,positive,down
2013-01-29,0.92,1.34,0.41,pos_then_up,positive,up
2013-04-30,3.06,0.21,-2.77,pos_then_down,positive,down
2013-07-30,1.12,1.42,0.29,pos_then_up,positive,up
2013-10-29,-0.21,0.0,0.21,neg_then_up,negative,up
2014-01-28,-5.14,-0.93,4.44,neg_then_up,negative,up
2014-04-07,0.04,-2.46,-2.51,pos_then_down,positive,down
2014-07-29,0.89,1.66,0.77,pos_then_up,positive,up
2014-10-28,-0.13,2.51,2.64,neg_then_up,negative,up
2015-02-03,0.59,1.51,0.92,pos_then_up,positive,up
2015-07-28,-0.15,1.5,1.66,neg_then_up,negative,up
2015-10-27,0.87,0.92,0.05,pos_then_up,positive,up
2016-02-02,0.83,2.8,1.96,pos_then_up,positive,up
2016-04-28,2.81,3.62,0.79,pos_then_up,positive,up
2016-07-28,-0.73,-0.45,0.29,neg_then_up,negative,up
2016-10-27,1.83,0.48,-1.33,pos_then_down,positive,down
2017-01-26,-0.17,1.54,1.71,neg_then_up,negative,up
2017-04-27,-0.74,-1.62,-0.89,neg_then_down,negative,down
2017-07-27,1.02,2.38,1.35,pos_then_up,positive,up
2017-10-26,0.96,0.47,-0.49,pos_then_down,positive,down
2018-01-25,2.51,7.37,4.74,pos_then_up,positive,up
2018-05-01,-1.7,-1.82,-0.12,neg_then_down,negative,down
2018-07-26,0.42,-0.44,-0.85,pos_then_down,positive,down
2018-10-25,-0.56,1.45,2.03,neg_then_up,negative,up
2019-01-31,0.39,2.9,2.51,pos_then_up,positive,up
2019-04-25,0.25,0.43,0.18,pos_then_up,positive,up
2019-07-25,-0.27,0.52,0.8,neg_then_up,negative,up
2019-10-24,0.14,-1.93,-2.07,pos_then_down,positive,down
2020-01-30,2.79,2.37,-0.42,pos_then_down,positive,down
2020-07-30,1.37,2.79,1.41,pos_then_up,positive,up
2020-10-29,-0.54,0.69,1.24,neg_then_up,negative,up
2021-01-28,-0.56,-0.09,0.48,neg_then_up,negative,up
2021-04-29,0.75,2.98,2.22,pos_then_up,positive,up
2021-07-29,0.24,-0.14,-0.38,pos_then_down,positive,down
2021-10-28,0.15,2.16,2.01,pos_then_up,positive,up
2022-01-27,0.33,3.49,3.15,pos_then_up,positive,up
2022-04-28,-1.68,-6.04,-4.44,neg_then_down,negative,down
2022-07-28,5.01,1.66,-3.19,pos_then_down,positive,down
2022-10-27,4.21,6.22,1.94,pos_then_up,positive,up
2023-01-26,1.29,-1.74,-3.0,pos_then_down,positive,down
2023-07-27,2.14,-0.43,-2.52,pos_then_down,positive,down
2023-10-26,1.79,-0.72,-2.46,pos_then_down,positive,down
2024-01-25,-0.74,-1.99,-1.25,neg_then_down,negative,down
2024-07-25,-1.77,3.51,5.37,neg_then_up,negative,up
2024-10-24,-1.58,-1.59,-0.01,neg_then_down,negative,down
2025-01-30,-0.28,0.93,1.21,neg_then_up,negative,up
2025-05-01,4.02,4.23,0.2,pos_then_up,positive,up
2025-07-31,-0.78,-1.07,-0.29,neg_then_down,negative,down
2025-10-30,-7.36,-4.79,2.78,neg_then_up,negative,up
