date,close_to_open_pct,open_to_close_pct,close_to_close_pct,scenario,conditional_sign,next_day_sign
2003-10-21,-0.9,-3.23,-4.1,neg_then_down,negative,down
2004-10-28,-0.06,0.28,0.22,neg_then_up,negative,up
2005-02-03,0.06,1.31,1.37,pos_then_up,positive,up
2005-04-26,-0.25,0.14,-0.11,neg_then_up,negative,up
2005-10-25,-0.03,-0.43,-0.46,neg_then_down,negative,down
2006-01-26,0.12,3.91,4.03,pos_then_up,positive,up
2006-04-26,0.02,-2.33,-2.31,pos_then_down,positive,down
2006-07-25,0.08,1.29,1.37,pos_then_up,positive,up
2006-10-19,0.13,0.65,0.78,pos_then_up,positive,up
2007-01-23,2.85,3.65,6.6,pos_then_up,positive,up
2007-07-25,0.19,-2.16,-1.97,pos_then_down,positive,down
2007-10-23,-1.23,2.41,1.16,neg_then_up,negative,up
2008-01-29,3.99,-3.18,0.68,pos_then_down,positive,down
2008-04-24,-0.1,0.5,0.39,neg_then_up,negative,up
2008-07-21,-1.17,-2.85,-3.99,neg_then_down,negative,down
2008-10-28,-0.44,6.31,5.85,neg_then_up,negative,up
2009-01-27,3.76,4.26,8.18,pos_then_up,positive,up
2009-07-22,1.95,8.77,10.89,pos_then_up,positive,up
2009-10-26,-1.53,-1.14,-2.65,neg_then_down,negative,down
2010-01-26,-0.29,-1.07,-1.36,neg_then_down,negative,down
2010-04-26,-0.22,-0.98,-1.21,neg_then_down,negative,down
2010-07-26,1.08,-2.71,-1.66,pos_then_down,positive,down
2010-10-21,1.95,-1.23,0.7,pos_then_down,positive,down
2011-01-24,0.52,-1.72,-1.21,pos_then_down,positive,down
2011-04-19,7.99,3.89,12.19,pos_then_up,positive,up
2011-07-21,-1.34,-3.02,-4.32,neg_then_down,negative,down
2011-10-24,-0.16,5.01,4.83,neg_then_up,negative,up
2012-01-23,-0.13,4.42,4.28,neg_then_up,negative,up
2012-04-18,-0.43,-1.91,-2.33,neg_then_down,negative,down
2012-07-17,-3.48,0.67,-2.83,neg_then_up,negative,up
2012-10-17,-2.63,5.43,2.65,neg_then_up,negative,up
2013-01-22,2.18,-1.61,0.53,pos_then_down,positive,down
2013-04-17,-2.12,-2.05,-4.13,neg_then_down,negative,down
2013-07-17,-2.65,-0.48,-3.12,neg_then_down,negative,down
2013-10-16,0.36,4.33,4.7,pos_then_up,positive,up
2014-01-28,1.0,2.22,3.24,pos_then_up,positive,up
2014-04-16,1.01,-0.4,0.6,pos_then_down,positive,down
2014-10-22,3.62,-0.77,2.82,pos_then_down,positive,down
2015-01-28,-2.82,-11.22,-13.73,neg_then_down,negative,down
2015-04-13,0.26,0.75,1.01,pos_then_up,positive,up
2015-08-06,0.31,-1.33,-1.02,pos_then_down,positive,down
2015-11-05,0.1,2.43,2.53,pos_then_up,positive,up
2016-02-17,-2.71,6.21,3.34,neg_then_up,negative,up
2016-05-10,4.27,5.5,10.01,pos_then_up,positive,up
2016-08-03,0.21,-2.44,-2.23,pos_then_down,positive,down
2016-11-08,-1.02,-1.82,-2.82,neg_then_down,negative,down
2017-02-27,3.61,5.96,9.79,pos_then_up,positive,up
2017-05-03,4.03,-2.93,0.98,pos_then_down,positive,down
2017-08-07,-3.21,-3.12,-6.23,neg_then_down,negative,down
2017-11-08,-1.71,-0.89,-2.59,neg_then_down,negative,down
2018-02-27,0.92,-10.81,-9.98,pos_then_down,positive,down
2018-05-09,-0.29,-3.03,-3.3,neg_then_down,negative,down
2018-08-07,4.96,1.4,6.42,pos_then_up,positive,up
2018-11-07,-3.42,1.51,-1.96,neg_then_up,negative,up
2019-02-20,6.98,0.76,7.79,pos_then_up,positive,up
2019-05-08,-1.43,1.5,0.04,neg_then_up,negative,up
2019-08-07,10.53,-1.63,8.73,pos_then_down,positive,down
2019-10-25,-1.32,1.58,0.24,neg_then_up,negative,up
2020-02-19,-0.38,5.97,5.56,neg_then_up,negative,up
2020-05-06,3.4,-0.27,3.12,pos_then_down,positive,down
2020-08-05,-2.21,-3.81,-5.94,neg_then_down,negative,down
2020-11-04,2.8,9.84,12.92,pos_then_up,positive,up
2021-02-02,-1.62,-2.77,-4.35,neg_then_down,negative,down
2021-05-05,-5.63,-3.1,-8.56,neg_then_down,negative,down
2021-08-04,1.46,4.17,5.7,pos_then_up,positive,up
2021-11-03,4.51,-0.41,4.09,pos_then_down,positive,down
2022-02-16,-11.18,-9.83,-19.91,neg_then_down,negative,down
2022-05-04,10.46,-0.63,9.76,pos_then_down,positive,down
2022-08-03,2.78,-4.59,-1.94,pos_then_down,positive,down
2022-11-02,-5.07,8.52,3.02,neg_then_up,negative,up
2023-01-24,-0.11,2.55,2.44,neg_then_up,negative,up
2023-05-03,0.05,1.53,1.58,pos_then_up,positive,up
2023-08-02,5.74,-7.08,-1.74,pos_then_down,positive,down
2023-11-01,-3.22,4.72,1.35,neg_then_up,negative,up
2024-02-14,-2.09,4.91,2.72,neg_then_up,negative,up
2024-05-01,-1.26,6.64,5.29,neg_then_up,negative,up
2024-07-31,0.35,-0.88,-0.53,pos_then_down,positive,down
2024-11-06,0.85,2.6,3.47,pos_then_up,positive,up
2025-02-12,4.31,-0.81,3.46,pos_then_down,positive,down
2025-04-30,4.82,-3.34,1.32,pos_then_down,positive,down
2025-07-30,1.68,-3.14,-1.51,pos_then_down,positive,down
2025-11-05,2.22,-2.91,-0.76,pos_then_down,positive,down
