date,close_to_open_pct,close_to_close_pct,open_to_close_pct,scenario,gap_sign,intraday_sign
2019-08-20,-1.2,-3.21,-2.03,neg_then_down,negative,down
2019-11-07,2.05,-0.1,-2.1,pos_then_down,positive,down
2020-02-11,-1.91,-4.56,-2.7,neg_then_down,negative,down
2020-05-11,1.93,3.17,1.22,pos_then_up,positive,up
2020-08-18,2.44,1.9,-0.53,pos_then_down,positive,down
2020-11-05,1.82,0.09,-1.71,pos_then_down,positive,down
2021-02-02,2.74,0.73,-1.96,pos_then_down,positive,down
2021-05-04,-2.65,-1.21,1.49,neg_then_up,negative,up
2021-08-17,-1.57,0.33,1.93,neg_then_up,negative,up
2021-11-02,1.24,1.82,0.57,pos_then_up,positive,up
2022-02-01,-2.21,-0.57,1.68,neg_then_up,negative,up
2022-05-03,5.85,9.61,3.55,pos_then_up,positive,up
2022-11-01,-2.5,-6.47,-4.07,neg_then_down,negative,down
2023-02-07,-2.94,-5.3,-2.43,neg_then_down,negative,down
2023-05-02,-6.5,-8.33,-1.96,neg_then_down,negative,down
2023-08-16,-1.59,1.7,3.35,neg_then_up,negative,up
2023-10-31,1.01,-2.02,-3.01,pos_then_down,positive,down
2024-02-06,1.85,2.18,0.32,pos_then_up,positive,up
2024-04-30,6.94,9.62,2.51,pos_then_up,positive,up
2024-08-15,-4.88,-3.69,1.26,neg_then_up,negative,up
2024-10-31,-6.02,-7.82,-1.91,neg_then_down,negative,down
2025-02-04,0.7,1.69,0.99,pos_then_up,positive,up
2025-04-30,-0.11,-1.3,-1.2,neg_then_down,negative,down
2025-11-05,2.97,1.86,-1.08,pos_then_down,positive,down
