date,close_to_open_pct,close_to_close_pct,open_to_close_pct,scenario,gap_sign,intraday_sign
2008-11-03,1.93,-0.58,-2.47,pos_then_down,positive,down
2009-02-26,-1.01,1.11,2.14,neg_then_up,negative,up
2009-04-29,0.66,-4.6,-5.22,pos_then_down,positive,down
2009-07-29,1.35,3.24,1.87,pos_then_up,positive,up
2009-11-03,-0.44,-0.18,0.26,neg_then_up,negative,up
2010-02-24,-0.66,0.42,1.09,neg_then_up,negative,up
2010-05-04,-1.19,-0.32,0.89,neg_then_up,negative,up
2010-08-03,-0.02,1.03,1.05,neg_then_up,negative,up
2010-11-05,0.04,0.87,0.83,pos_then_up,positive,up
2011-02-23,0.29,1.93,1.63,pos_then_up,positive,up
2011-05-03,-0.06,-1.49,-1.43,neg_then_down,negative,down
2011-08-02,0.99,6.28,5.24,pos_then_up,positive,up
2011-11-01,0.54,-0.39,-0.93,pos_then_down,positive,down
2012-02-23,0.17,0.39,0.22,pos_then_up,positive,up
2012-05-03,-0.39,-0.91,-0.52,neg_then_down,negative,down
2012-08-01,-0.17,0.88,1.05,neg_then_up,negative,up
2012-10-31,-0.16,-0.94,-0.78,neg_then_down,negative,down
2013-05-01,0.38,-0.1,-0.47,pos_then_down,positive,down
2013-07-31,0.86,0.69,-0.17,pos_then_down,positive,down
2013-10-30,-0.55,-1.66,-1.12,neg_then_down,negative,down
2014-02-25,0.5,0.84,0.34,pos_then_up,positive,up
2014-05-01,-0.19,0.89,1.08,neg_then_up,negative,up
2014-07-30,-0.43,-1.93,-1.51,neg_then_down,negative,down
2014-10-30,0.66,-1.42,-2.06,pos_then_down,positive,down
2015-02-23,-1.96,-2.75,-0.81,neg_then_down,negative,down
2015-04-30,0.13,-1.11,-1.24,pos_then_down,positive,down
2015-07-29,-0.29,-1.42,-1.13,neg_then_down,negative,down
2015-10-29,0.15,0.26,0.12,pos_then_up,positive,up
2016-02-26,0.17,2.43,2.26,pos_then_up,positive,up
2016-04-29,0.11,0.6,0.49,pos_then_up,positive,up
2016-07-28,-0.33,-0.75,-0.42,neg_then_down,negative,down
2016-10-27,0.55,0.63,0.08,pos_then_up,positive,up
2017-02-27,-0.18,1.28,1.46,neg_then_up,negative,up
2017-07-27,0.23,2.58,2.35,pos_then_up,positive,up
2017-10-31,0.4,-1.99,-2.38,pos_then_down,positive,down
2018-02-27,0.43,-0.97,-1.4,pos_then_down,positive,down
2018-05-01,-0.53,1.01,1.55,neg_then_up,negative,up
2018-07-31,-0.38,1.3,1.69,neg_then_up,negative,up
2018-10-30,-0.59,-3.19,-2.62,neg_then_down,negative,down
2019-02-27,-0.39,1.7,2.1,neg_then_up,negative,up
2019-05-03,-0.27,-0.4,-0.13,neg_then_down,negative,down
2019-07-31,-0.71,-0.1,0.62,neg_then_up,negative,up
2019-10-31,0.49,-1.17,-1.66,pos_then_down,positive,down
2020-04-29,-1.14,0.5,1.66,neg_then_up,negative,up
2020-07-30,-0.21,-0.42,-0.21,neg_then_down,negative,down
2020-10-29,-0.71,-0.86,-0.15,neg_then_down,negative,down
2021-02-25,-0.04,-3.84,-3.8,neg_then_down,negative,down
2021-04-29,-0.17,1.74,1.92,neg_then_up,negative,up
2021-07-29,0.6,-0.07,-0.66,pos_then_down,positive,down
2021-10-28,-0.62,-1.41,-0.8,neg_then_down,negative,down
2022-02-24,-0.02,0.82,0.85,neg_then_up,negative,up
2022-04-27,-0.09,-0.26,-0.17,neg_then_down,negative,down
2022-07-28,0.54,0.72,0.18,pos_then_up,positive,up
2022-10-27,-0.69,3.04,3.76,neg_then_up,negative,up
2023-02-23,-1.57,-3.08,-1.54,neg_then_down,negative,down
2023-07-27,0.88,-2.2,-3.06,pos_then_down,positive,down
2023-10-26,0.25,-1.75,-2.0,pos_then_down,positive,down
2024-02-27,-0.1,3.79,3.89,neg_then_up,negative,up
2024-04-30,1.0,3.08,2.05,pos_then_up,positive,up
2024-07-30,-0.69,-1.19,-0.5,neg_then_down,negative,down
2024-10-29,0.32,0.27,-0.05,pos_then_down,positive,down
2025-02-25,0.41,-1.48,-1.89,pos_then_down,positive,down
2025-04-29,0.01,1.84,1.83,pos_then_up,positive,up
2025-07-29,-1.47,-2.78,-1.33,neg_then_down,negative,down
2025-10-28,-0.03,-1.99,-1.97,neg_then_down,negative,down
