date,close_to_open_pct,open_to_close_pct,close_to_close_pct,scenario,conditional_sign,next_day_sign
2003-10-21,-5.56,-3.6,-8.96,neg_then_down,negative,down
2004-01-27,-3.77,-3.13,-6.78,neg_then_down,negative,down
2004-04-22,-5.85,0.63,-5.26,neg_then_up,negative,up
2004-07-22,-7.31,-5.86,-12.75,neg_then_down,negative,down
2004-10-21,-8.23,-4.47,-12.34,neg_then_down,negative,down
2005-02-02,-16.67,2.44,-14.64,neg_then_up,negative,up
2005-04-26,-5.72,2.85,-3.03,neg_then_up,negative,up
2005-07-26,11.31,3.9,15.66,pos_then_up,positive,up
2005-10-25,-11.2,-3.05,-13.91,neg_then_down,negative,down
2006-02-02,-11.79,1.67,-10.32,neg_then_up,negative,up
2006-04-25,-0.59,1.27,0.68,neg_then_up,negative,up
2006-07-25,-14.38,-8.69,-21.82,neg_then_down,negative,down
2006-10-24,10.91,1.02,12.04,pos_then_up,positive,up
2007-02-01,-3.8,0.43,-3.39,neg_then_up,negative,up
2007-04-24,18.7,6.95,26.95,pos_then_up,positive,up
2007-07-24,22.25,1.8,24.45,pos_then_up,positive,up
2007-10-23,-9.87,-2.36,-11.99,neg_then_down,negative,down
2008-01-30,-7.14,12.76,4.7,neg_then_up,negative,up
2008-04-23,-4.06,-0.03,-4.09,neg_then_down,negative,down
2008-07-23,8.17,3.17,11.6,pos_then_up,positive,up
2008-10-22,-13.24,16.02,0.66,neg_then_up,negative,up
2009-01-29,14.72,2.55,17.64,pos_then_up,positive,up
2009-04-23,1.76,2.96,4.78,pos_then_up,positive,up
2009-07-23,-6.68,-1.27,-7.86,neg_then_down,negative,down
2009-10-22,18.83,6.7,26.8,pos_then_up,positive,up
2010-01-28,2.97,-3.36,-0.49,pos_then_down,positive,down
2010-04-22,-3.14,-1.2,-4.3,neg_then_down,negative,down
2010-07-22,-11.78,12.22,-1.0,neg_then_up,negative,up
2010-10-21,-1.53,4.11,2.52,neg_then_up,negative,up
2011-01-27,-7.05,-0.18,-7.22,neg_then_down,negative,down
2011-04-26,0.49,7.33,7.86,pos_then_up,positive,up
2011-07-26,4.77,-0.83,3.89,pos_then_down,positive,down
2011-10-25,-10.33,-2.6,-12.66,neg_then_down,negative,down
2012-01-31,-10.61,3.25,-7.7,neg_then_up,negative,up
2012-04-26,14.72,0.9,15.75,pos_then_up,positive,up
2012-07-26,2.38,5.36,7.87,pos_then_up,positive,up
2012-10-25,2.55,4.22,6.87,pos_then_up,positive,up
2013-01-29,8.7,-3.62,4.77,pos_then_down,positive,down
2013-04-25,-1.72,-5.62,-7.24,neg_then_down,negative,down
2013-07-25,-1.27,4.16,2.84,neg_then_up,negative,up
2013-10-24,7.94,1.34,9.39,pos_then_up,positive,up
2014-01-30,-7.75,-3.52,-11.0,neg_then_down,negative,down
2014-04-24,-6.2,-3.93,-9.88,neg_then_down,negative,down
2014-07-24,-11.52,2.11,-9.65,neg_then_up,negative,up
2014-10-23,-9.19,0.94,-8.34,neg_then_up,negative,up
2015-01-29,11.08,2.37,13.71,pos_then_up,positive,up
2015-04-23,12.57,1.39,14.13,pos_then_up,positive,up
2015-07-23,20.08,-8.56,9.8,pos_then_down,positive,down
2015-10-22,9.54,-3.02,6.23,pos_then_down,positive,down
2016-01-28,-9.97,2.63,-7.61,neg_then_up,negative,up
2016-04-28,10.63,-0.96,9.57,pos_then_down,positive,down
2016-07-28,1.65,-0.81,0.82,pos_then_down,positive,down
2016-10-27,-4.44,-0.73,-5.14,neg_then_down,negative,down
2017-02-02,-3.96,0.43,-3.54,neg_then_up,negative,up
2017-04-27,3.32,-2.51,0.72,pos_then_down,positive,down
2017-07-27,-3.24,0.78,-2.48,neg_then_up,negative,up
2017-10-26,8.81,4.05,13.22,pos_then_up,positive,up
2018-02-01,6.29,-3.21,2.87,pos_then_down,positive,down
2018-04-26,7.65,-3.76,3.6,pos_then_down,positive,down
