date,close_to_open_pct,close_to_close_pct,open_to_close_pct,scenario,gap_sign,intraday_sign
2014-08-07,9.73,-0.26,-9.11,pos_then_down,positive,down
2014-11-06,-9.63,-10.8,-1.29,neg_then_down,negative,down
2015-02-19,6.21,0.75,-5.14,pos_then_down,positive,down
2015-05-14,-3.67,-5.06,-1.45,neg_then_down,negative,down
2015-08-06,1.32,3.06,1.72,pos_then_up,positive,up
2015-11-05,4.99,13.72,8.32,pos_then_up,positive,up
2016-02-18,6.6,11.78,4.86,pos_then_up,positive,up
2016-05-05,2.89,5.11,2.16,pos_then_up,positive,up
2016-08-04,-4.5,-0.33,4.36,neg_then_up,negative,up
2016-11-03,-1.44,1.5,2.98,neg_then_up,negative,up
2017-02-16,10.81,18.86,7.26,pos_then_up,positive,up
2017-05-04,-0.89,3.22,4.15,neg_then_up,negative,up
2017-08-03,16.35,19.44,2.66,pos_then_up,positive,up
2017-11-02,11.41,11.22,-0.17,pos_then_down,positive,down
2018-02-15,-16.22,-18.99,-3.3,neg_then_down,negative,down
2018-05-03,-8.94,-8.51,0.47,neg_then_up,negative,up
2018-08-02,-0.89,-5.26,-4.41,neg_then_down,negative,down
2018-11-01,8.28,6.98,-1.2,pos_then_down,positive,down
2019-02-14,7.88,9.62,1.62,pos_then_up,positive,up
2019-05-02,-15.75,-10.44,6.3,neg_then_up,negative,up
2019-08-01,-6.42,-10.32,-4.17,neg_then_down,negative,down
2019-10-31,-28.99,-24.23,6.7,neg_then_up,negative,up
2020-01-02,-2.31,-1.89,0.43,neg_then_up,negative,up
2020-05-05,-6.32,-5.64,0.73,neg_then_up,negative,up
2020-08-04,-6.06,-10.93,-5.19,neg_then_down,negative,down
2020-11-02,12.49,15.44,2.62,pos_then_up,positive,up
2021-02-18,5.23,0.68,-4.32,pos_then_down,positive,down
2021-05-04,3.56,3.67,0.1,pos_then_up,positive,up
2021-08-02,-3.37,0.53,4.03,neg_then_up,negative,up
2021-11-01,19.83,20.39,0.47,pos_then_up,positive,up
2022-02-14,8.17,5.8,-2.19,pos_then_down,positive,down
2022-05-02,-4.54,-3.58,1.01,neg_then_up,negative,up
2022-08-01,4.51,-0.4,-4.69,pos_then_down,positive,down
2022-10-31,-0.4,5.67,6.09,neg_then_up,negative,up
2023-02-13,-1.08,4.01,5.15,neg_then_up,negative,up
2023-05-01,-9.27,-15.72,-7.11,neg_then_down,negative,down
2023-07-31,14.45,19.68,4.57,pos_then_up,positive,up
2023-10-30,10.57,14.03,3.12,pos_then_up,positive,up
2024-02-12,-8.18,-5.47,2.95,neg_then_up,negative,up
2024-05-07,3.34,6.45,3.01,pos_then_up,positive,up
2024-07-30,8.54,11.28,2.53,pos_then_up,positive,up
2024-11-07,-5.7,-7.09,-1.48,neg_then_down,negative,down
2025-02-18,-5.91,-6.43,-0.56,neg_then_down,negative,down
2025-05-06,-5.39,-4.76,0.66,neg_then_up,negative,up
2025-08-05,13.27,17.49,3.73,pos_then_up,positive,up
2025-11-04,-7.09,-8.55,-1.58,neg_then_down,negative,down
