date,close_to_open_pct,close_to_close_pct,open_to_close_pct,scenario,gap_sign,intraday_sign
2004-10-20,-0.32,2.48,2.81,neg_then_up,negative,up
2005-04-20,1.99,2.7,0.69,pos_then_up,positive,up
2005-07-20,0.24,0.09,-0.15,pos_then_down,positive,down
2005-10-19,-4.62,-2.7,2.01,neg_then_up,negative,up
2006-01-18,1.12,10.57,9.35,pos_then_up,positive,up
2006-10-18,0.63,1.67,1.04,pos_then_up,positive,up
2007-01-17,0.86,-1.45,-2.29,pos_then_down,positive,down
2007-04-18,-0.39,0.78,1.18,neg_then_up,negative,up
2007-07-18,1.43,2.24,0.8,pos_then_up,positive,up
2007-10-17,0.54,0.79,0.26,pos_then_up,positive,up
2008-01-17,0.49,5.53,5.01,pos_then_up,positive,up
2008-04-17,1.26,1.31,0.04,pos_then_up,positive,up
2008-07-17,-0.74,-0.1,0.65,neg_then_up,negative,up
2008-10-16,2.67,-5.35,-7.81,pos_then_down,positive,down
2009-01-15,3.06,1.51,-1.5,pos_then_down,positive,down
2009-04-16,-1.08,-3.14,-2.09,neg_then_down,negative,down
2009-07-16,-0.03,-1.79,-1.76,neg_then_down,negative,down
2009-10-15,-0.59,-0.49,0.1,neg_then_up,negative,up
2010-01-21,-0.66,-4.61,-3.98,neg_then_down,negative,down
2010-04-20,-0.51,-1.48,-0.97,neg_then_down,negative,down
2010-07-21,1.41,3.32,1.88,pos_then_up,positive,up
2010-10-20,0.68,1.5,0.82,pos_then_up,positive,up
2011-01-19,0.47,-0.93,-1.39,pos_then_down,positive,down
2011-04-20,0.91,-0.22,-1.12,pos_then_down,positive,down
2011-07-20,0.38,0.82,0.44,pos_then_up,positive,up
2011-10-19,-0.57,0.69,1.27,neg_then_up,negative,up
2012-01-18,-0.35,2.48,2.85,neg_then_up,negative,up
2012-04-18,0.52,-0.79,-1.3,pos_then_down,positive,down
2012-07-18,-0.29,0.12,0.41,neg_then_up,negative,up
2012-10-17,0.44,0.39,-0.05,pos_then_down,positive,down
2013-01-17,0.46,-0.38,-0.84,pos_then_down,positive,down
2013-04-18,-0.06,0.76,0.82,neg_then_up,negative,up
2013-07-18,-0.22,0.56,0.79,neg_then_up,negative,up
2013-10-17,0.97,1.49,0.51,pos_then_up,positive,up
2014-01-22,-0.47,-2.83,-2.37,neg_then_down,negative,down
2014-04-23,0.64,0.83,0.19,pos_then_up,positive,up
2014-07-23,0.18,0.75,0.58,pos_then_up,positive,up
2014-10-22,1.87,1.89,0.02,pos_then_up,positive,up
2015-01-21,0.41,1.54,1.13,pos_then_up,positive,up
2015-04-22,-0.79,-0.19,0.6,neg_then_up,negative,up
2015-07-22,0.37,-0.92,-1.28,pos_then_down,positive,down
2015-10-21,0.28,3.27,2.99,pos_then_up,positive,up
2016-01-20,0.9,2.73,1.81,pos_then_up,positive,up
2016-04-20,0.05,-1.71,-1.76,pos_then_down,positive,down
2016-07-20,-0.02,0.1,0.12,neg_then_up,negative,up
2016-10-19,0.49,2.66,2.15,pos_then_up,positive,up
2017-01-25,0.69,-0.58,-1.26,pos_then_down,positive,down
2017-04-26,0.42,1.46,1.04,pos_then_up,positive,up
2017-07-26,0.04,1.2,1.16,pos_then_up,positive,up
2018-01-24,0.33,0.0,-0.33,pos_then_down,positive,down
2018-04-25,0.33,1.1,0.77,pos_then_up,positive,up
2018-07-25,0.54,2.68,2.13,pos_then_up,positive,up
2018-10-24,1.15,2.97,1.8,pos_then_up,positive,up
2019-01-23,0.44,2.12,1.67,pos_then_up,positive,up
2019-04-24,-0.2,-1.84,-1.64,neg_then_down,negative,down
2019-07-24,-0.29,1.6,1.9,neg_then_up,negative,up
2019-10-23,0.4,0.2,-0.21,pos_then_down,positive,down
2020-01-22,-0.79,-0.27,0.52,neg_then_up,negative,up
2020-04-22,2.64,2.83,0.18,pos_then_up,positive,up
2020-07-22,1.15,2.26,1.09,pos_then_up,positive,up
2020-10-21,0.16,3.11,2.94,pos_then_up,positive,up
2021-01-27,1.56,1.02,-0.53,pos_then_down,positive,down
2021-04-28,1.23,1.66,0.42,pos_then_up,positive,up
2021-07-28,0.92,1.68,0.76,pos_then_up,positive,up
2021-10-27,0.69,1.13,0.45,pos_then_up,positive,up
2022-01-26,1.56,-1.72,-3.22,pos_then_down,positive,down
2022-04-27,1.67,4.83,3.11,pos_then_up,positive,up
2022-07-27,0.64,3.06,2.4,pos_then_up,positive,up
2022-10-26,0.79,0.96,0.16,pos_then_up,positive,up
2023-01-25,0.21,-1.22,-1.43,pos_then_down,positive,down
2023-04-26,-0.26,1.19,1.45,neg_then_up,negative,up
2023-07-26,1.05,0.19,-0.85,pos_then_down,positive,down
2023-10-25,1.12,0.68,-0.43,pos_then_down,positive,down
2024-01-24,-1.23,0.15,1.4,neg_then_up,negative,up
2024-04-24,-0.94,2.32,3.29,neg_then_up,negative,up
2024-07-24,1.32,-0.37,-1.67,pos_then_down,positive,down
2024-10-23,1.45,1.94,0.49,pos_then_up,positive,up
2025-01-22,0.19,0.91,0.72,pos_then_up,positive,up
2025-04-23,1.87,6.86,4.9,pos_then_up,positive,up
2025-07-23,2.07,3.72,1.62,pos_then_up,positive,up
2025-10-22,0.52,4.95,4.41,pos_then_up,positive,up
