date,close_to_open_pct,close_to_close_pct,open_to_close_pct,scenario,gap_sign,intraday_sign
2022-01-27,-0.68,2.91,3.62,neg_then_up,negative,up
2022-05-05,-0.17,-0.88,-0.71,neg_then_down,negative,down
2022-08-04,-1.41,-0.79,0.63,neg_then_up,negative,up
2022-11-02,-1.63,1.85,3.54,neg_then_up,negative,up
2023-02-09,-0.94,3.3,4.28,neg_then_up,negative,up
2023-05-09,2.23,2.22,-0.02,pos_then_down,positive,down
2023-08-03,1.04,0.24,-0.78,pos_then_down,positive,down
2023-11-01,0.88,0.56,-0.32,pos_then_down,positive,down
2024-02-08,-0.61,2.35,2.97,neg_then_up,negative,up
2024-05-02,0.83,-2.33,-3.13,pos_then_down,positive,down
2024-08-01,-5.05,-10.73,-5.98,neg_then_down,negative,down
2024-11-05,7.36,9.65,2.13,pos_then_up,positive,up
2025-02-04,-0.87,1.94,2.84,neg_then_up,negative,up
2025-05-02,-1.38,-1.03,0.36,neg_then_up,negative,up
2025-08-05,0.65,0.23,-0.42,pos_then_down,positive,down
2025-11-04,0.67,2.48,1.8,pos_then_up,positive,up
