date,close_to_open_pct,close_to_close_pct,open_to_close_pct,scenario,gap_sign,intraday_sign
2012-01-26,3.89,4.66,0.74,pos_then_up,positive,up
2012-04-24,0.93,2.08,1.15,pos_then_up,positive,up
2012-07-31,0.07,-1.44,-1.51,pos_then_down,positive,down
2012-11-01,1.41,0.92,-0.48,pos_then_down,positive,down
2013-02-05,-0.66,-1.88,-1.23,neg_then_down,negative,down
2013-05-01,0.4,0.07,-0.33,pos_then_down,positive,down
2013-07-31,1.21,3.18,1.95,pos_then_up,positive,up
2013-11-05,1.76,1.55,-0.21,pos_then_down,positive,down
2014-01-14,0.37,0.69,0.32,pos_then_up,positive,up
2014-04-24,-0.63,-2.72,-2.11,neg_then_down,negative,down
2014-07-31,0.06,0.12,0.06,pos_then_up,positive,up
2014-10-24,0.18,0.15,-0.03,pos_then_down,positive,down
2015-01-13,-1.26,-0.75,0.51,neg_then_up,negative,up
2015-04-02,0.57,3.23,2.65,pos_then_up,positive,up
2015-07-30,1.95,0.75,-1.18,pos_then_down,positive,down
2015-10-29,0.17,3.94,3.75,pos_then_up,positive,up
2016-01-12,0.65,-6.4,-7.01,pos_then_down,positive,down
2016-04-13,0.22,1.01,0.78,pos_then_up,positive,up
2016-08-03,0.52,-0.87,-1.38,pos_then_down,positive,down
2016-11-02,-0.01,-0.55,-0.54,neg_then_down,negative,down
2017-02-02,0.72,0.31,-0.41,pos_then_down,positive,down
2017-05-03,-0.13,1.21,1.33,neg_then_up,negative,up
2017-08-02,0.24,2.02,1.78,pos_then_up,positive,up
2017-11-02,-0.14,-2.44,-2.3,neg_then_down,negative,down
2018-01-08,0.39,0.89,0.5,pos_then_up,positive,up
2018-05-02,1.06,1.21,0.15,pos_then_up,positive,up
2018-07-31,-0.06,-2.22,-2.16,neg_then_down,negative,down
2018-10-31,0.6,0.83,0.23,pos_then_up,positive,up
2019-01-31,-1.16,-1.4,-0.24,neg_then_down,negative,down
2019-05-02,-0.24,0.5,0.74,neg_then_up,negative,up
2019-07-31,1.03,-4.59,-5.56,pos_then_down,positive,down
2019-10-30,-0.24,-3.11,-2.87,neg_then_down,negative,down
2020-01-30,-1.07,-3.3,-2.25,neg_then_down,negative,down
2020-05-05,4.1,-0.7,-4.61,pos_then_down,positive,down
2020-07-30,-0.24,-3.37,-3.14,neg_then_down,negative,down
2020-10-29,-0.36,-1.86,-1.51,neg_then_down,negative,down
2021-02-03,4.79,-0.7,-5.23,pos_then_down,positive,down
2021-05-06,0.46,5.17,4.69,pos_then_up,positive,up
2021-08-05,1.37,2.19,0.82,pos_then_up,positive,up
2021-11-04,1.24,-1.37,-2.58,pos_then_down,positive,down
2022-02-03,-1.96,0.26,2.26,neg_then_up,negative,up
2022-05-05,-0.15,-2.67,-2.52,neg_then_down,negative,down
2022-08-04,-1.88,-0.67,1.23,neg_then_up,negative,up
2022-11-03,3.3,6.56,3.16,pos_then_up,positive,up
2023-02-02,-3.96,-2.49,1.54,neg_then_up,negative,up
2023-05-04,2.74,1.49,-1.22,pos_then_down,positive,down
2023-08-03,1.04,-2.54,-3.54,pos_then_down,positive,down
2023-11-02,3.56,0.39,-3.06,pos_then_down,positive,down
2024-01-31,0.54,2.67,2.12,pos_then_up,positive,up
2024-05-02,2.13,3.9,1.72,pos_then_up,positive,up
2024-08-01,-2.69,-4.79,-2.15,neg_then_down,negative,down
2024-10-31,1.16,-0.81,-1.95,pos_then_down,positive,down
2025-01-22,0.59,1.9,1.3,pos_then_up,positive,up
2025-05-01,3.18,3.53,0.34,pos_then_up,positive,up
2025-07-31,-1.44,-4.36,-2.96,neg_then_down,negative,down
