date,close_to_open_pct,close_to_close_pct,open_to_close_pct,scenario,gap_sign,intraday_sign
2005-04-01,-1.54,-3.17,-1.66,neg_then_down,negative,down
2007-02-21,2.22,-1.29,-3.44,pos_then_down,positive,down
2007-07-23,-2.96,-8.15,-5.35,neg_then_down,negative,down
2007-10-24,2.21,-2.33,-4.44,pos_then_down,positive,down
2008-02-14,-0.76,0.67,1.44,neg_then_up,negative,up
2008-04-24,1.59,-2.79,-4.31,pos_then_down,positive,down
2008-07-24,-3.75,-0.4,3.49,neg_then_up,negative,up
2008-10-28,1.42,8.53,7.01,pos_then_up,positive,up
2009-07-29,1.15,2.48,1.32,pos_then_up,positive,up
2009-10-22,-2.22,-2.89,-0.68,neg_then_down,negative,down
2010-02-19,0.14,6.71,6.56,pos_then_up,positive,up
2010-04-23,0.61,-2.65,-3.25,pos_then_down,positive,down
2010-07-27,0.24,-3.29,-3.52,pos_then_down,positive,down
2010-10-27,0.48,-4.36,-4.82,pos_then_down,positive,down
2011-02-23,-0.51,-5.05,-4.57,neg_then_down,negative,down
2011-07-28,-0.97,-0.72,0.24,neg_then_up,negative,up
2011-10-31,-2.21,-0.4,1.85,neg_then_up,negative,up
2012-02-23,-1.19,-0.95,0.24,neg_then_up,negative,up
2012-04-26,4.85,2.77,-1.98,pos_then_down,positive,down
2012-07-26,0.94,1.51,0.56,pos_then_up,positive,up
2012-10-26,-0.87,-3.22,-2.38,neg_then_down,negative,down
2013-02-21,6.96,3.19,-3.52,pos_then_down,positive,down
2013-04-25,-0.23,0.79,1.02,neg_then_up,negative,up
2013-07-31,1.13,0.34,-0.78,pos_then_down,positive,down
2013-10-30,0.17,-1.06,-1.22,pos_then_down,positive,down
2014-02-26,0.21,8.29,8.07,pos_then_up,positive,up
2014-04-30,-0.99,-5.57,-4.63,neg_then_down,negative,down
2014-07-30,-1.72,-9.73,-8.15,neg_then_down,negative,down
2014-10-30,1.86,6.44,4.49,pos_then_up,positive,up
2015-02-26,3.17,3.48,0.3,pos_then_up,positive,up
2015-04-30,1.03,7.22,6.13,pos_then_up,positive,up
2015-07-30,1.78,-3.17,-4.86,pos_then_down,positive,down
2015-11-03,2.44,-1.58,-3.92,pos_then_down,positive,down
2016-02-29,-1.39,0.31,1.73,neg_then_up,negative,up
2016-05-04,3.28,3.68,0.38,pos_then_up,positive,up
2016-08-04,2.25,1.07,-1.15,pos_then_down,positive,down
2016-11-09,11.28,13.31,1.82,pos_then_up,positive,up
2017-02-28,-3.51,-5.18,-1.74,neg_then_down,negative,down
2017-05-09,7.11,4.25,-2.67,pos_then_down,positive,down
2017-08-08,-3.99,-9.05,-5.27,neg_then_down,negative,down
2017-11-07,-1.01,-6.21,-5.26,neg_then_down,negative,down
2018-02-27,17.47,27.82,8.81,pos_then_up,positive,up
2018-05-08,12.88,22.33,8.37,pos_then_up,positive,up
2018-08-07,-6.55,-11.59,-5.4,neg_then_down,negative,down
2018-11-06,-8.79,-15.61,-7.48,neg_then_down,negative,down
2019-02-26,-7.9,-7.85,0.05,neg_then_up,negative,up
2019-05-09,0.4,-4.5,-4.88,pos_then_down,positive,down
2019-08-08,-12.29,-15.09,-3.18,neg_then_down,negative,down
2019-11-07,18.18,24.58,5.41,pos_then_up,positive,up
2020-02-27,-6.64,0.32,7.46,neg_then_up,negative,up
2020-05-07,9.97,22.55,11.44,pos_then_up,positive,up
2020-08-06,-6.73,-8.5,-1.89,neg_then_down,negative,down
2020-11-05,6.92,12.99,5.67,pos_then_up,positive,up
2021-02-25,0.63,3.5,2.85,pos_then_up,positive,up
2021-05-06,5.52,2.97,-2.42,pos_then_down,positive,down
2021-08-05,1.5,-0.47,-1.93,pos_then_down,positive,down
2021-11-15,24.75,6.2,-14.87,pos_then_down,positive,down
2022-02-24,4.1,3.07,-1.0,pos_then_down,positive,down
2022-05-10,-2.57,-5.69,-3.2,neg_then_down,negative,down
2022-08-09,7.0,12.95,5.56,pos_then_up,positive,up
2022-11-08,8.0,14.56,6.07,pos_then_up,positive,up
2023-02-28,4.21,10.36,5.9,pos_then_up,positive,up
2023-05-09,-1.83,-15.05,-13.47,neg_then_down,negative,down
2023-08-08,12.74,14.06,1.17,pos_then_up,positive,up
2023-11-07,3.76,6.11,2.26,pos_then_up,positive,up
2024-02-27,3.27,13.76,10.16,pos_then_up,positive,up
2024-05-06,-4.52,-4.55,-0.03,neg_then_down,negative,down
2024-08-06,11.86,18.39,5.83,pos_then_up,positive,up
2024-11-07,15.2,28.68,11.7,pos_then_up,positive,up
2025-02-25,17.78,15.25,-2.15,pos_then_down,positive,down
2025-05-07,7.4,14.13,6.26,pos_then_up,positive,up
2025-08-04,9.82,16.41,6.0,pos_then_up,positive,up
2025-11-04,-20.15,-9.43,13.42,neg_then_up,negative,up
