date,close_to_open_pct,open_to_close_pct,close_to_close_pct,scenario,conditional_sign,next_day_sign
2015-02-05,-1.47,-0.79,-2.25,neg_then_down,negative,down
2015-04-24,-0.14,-1.3,-1.43,neg_then_down,negative,down
2015-07-30,0.74,-0.59,0.15,pos_then_down,positive,down
2016-02-04,-0.98,-0.46,-1.44,neg_then_down,negative,down
2016-04-29,0.52,0.58,1.1,pos_then_up,positive,up
2016-07-28,-0.82,0.38,-0.44,neg_then_up,negative,up
2016-11-10,-0.25,1.34,1.08,neg_then_up,negative,up
2017-02-02,-0.04,1.34,1.31,neg_then_up,negative,up
2017-04-27,-0.91,-1.08,-1.98,neg_then_down,negative,down
2017-07-27,1.56,3.2,4.81,pos_then_up,positive,up
2017-11-09,-1.27,0.67,-0.6,neg_then_up,negative,up
2018-02-02,-1.64,-4.33,-5.91,neg_then_down,negative,down
2018-05-18,1.54,-0.27,1.27,pos_then_down,positive,down
2018-07-26,0.31,-0.1,0.21,pos_then_down,positive,down
2018-11-08,0.89,-0.1,0.79,pos_then_down,positive,down
2019-02-14,0.78,1.56,2.35,pos_then_up,positive,up
2019-04-26,1.5,-0.99,0.5,pos_then_down,positive,down
2019-07-25,0.82,1.16,1.99,pos_then_up,positive,up
2019-10-24,0.36,0.53,0.89,pos_then_up,positive,up
2020-02-14,2.32,0.31,2.63,pos_then_up,positive,up
2020-04-29,6.41,-3.13,3.08,pos_then_down,positive,down
2020-07-30,-0.12,-3.53,-3.64,neg_then_down,negative,down
2020-11-05,0.96,-0.31,0.65,pos_then_down,positive,down
2021-02-11,1.68,1.49,3.19,pos_then_up,positive,up
2021-04-30,0.57,0.62,1.19,pos_then_up,positive,up
2021-07-29,-0.33,-0.37,-0.69,neg_then_down,negative,down
2021-11-12,1.9,-0.23,1.67,pos_then_down,positive,down
2022-02-10,-0.89,-0.07,-0.96,neg_then_down,negative,down
2022-04-29,-0.66,0.71,0.05,neg_then_up,negative,up
2022-07-29,0.44,-1.31,-0.88,pos_then_down,positive,down
2022-11-10,-2.03,-1.57,-3.56,neg_then_down,negative,down
2023-02-09,1.77,0.39,2.17,pos_then_up,positive,up
2023-04-27,-1.03,0.27,-0.76,neg_then_up,negative,up
2023-07-28,0.53,-0.01,0.52,pos_then_down,positive,down
2023-11-09,-1.33,-0.11,-1.44,neg_then_down,negative,down
2024-02-08,-1.28,-0.72,-1.98,neg_then_down,negative,down
2024-04-25,-0.04,0.23,0.19,neg_then_up,negative,up
2024-07-25,-0.05,-0.45,-0.5,neg_then_down,negative,down
2024-11-12,0.46,-0.31,0.15,pos_then_down,positive,down
2025-02-06,0.47,-0.98,-0.51,pos_then_down,positive,down
2025-04-29,1.13,-1.01,0.11,pos_then_down,positive,down
2025-07-29,2.14,1.36,3.53,pos_then_up,positive,up
