date,close_to_open_pct,open_to_close_pct,close_to_close_pct,scenario,conditional_sign,next_day_sign
2004-09-21,-2.63,1.56,-1.11,neg_then_up,negative,up
2004-12-08,-0.97,4.82,3.81,neg_then_up,negative,up
2005-05-25,0.29,1.56,1.85,pos_then_up,positive,up
2005-09-21,0.98,2.04,3.03,pos_then_up,positive,up
2005-12-06,-0.05,1.57,1.52,neg_then_up,negative,up
2006-03-01,0.11,-2.71,-2.6,pos_then_down,positive,down
2006-05-24,0.33,-1.74,-1.41,pos_then_down,positive,down
2006-09-19,1.14,1.49,2.65,pos_then_up,positive,up
2006-12-05,-0.45,0.56,0.1,neg_then_up,negative,up
2007-02-27,0.08,1.1,1.18,pos_then_up,positive,up
2007-05-22,-0.75,-3.65,-4.38,neg_then_down,negative,down
2007-09-18,2.24,-0.96,1.26,pos_then_down,positive,down
2007-12-04,0.72,-2.71,-2.0,pos_then_down,positive,down
2008-02-26,-0.8,-1.36,-2.15,neg_then_down,negative,down
2008-05-20,0.46,-1.5,-1.04,pos_then_down,positive,down
2008-09-22,0.38,-1.84,-1.46,pos_then_down,positive,down
2008-12-09,-0.31,3.63,3.3,neg_then_up,negative,up
2009-03-03,-0.02,2.24,2.22,neg_then_up,negative,up
2009-05-27,0.21,-3.1,-2.89,pos_then_down,positive,down
2009-09-23,0.86,-0.15,0.71,pos_then_down,positive,down
2009-12-08,0.68,-1.04,-0.38,pos_then_down,positive,down
2010-03-02,-0.52,0.42,-0.1,neg_then_up,negative,up
2010-05-25,-0.17,-2.09,-2.26,neg_then_down,negative,down
2010-09-21,-0.27,2.62,2.34,neg_then_up,negative,up
2010-12-07,0.13,0.8,0.93,pos_then_up,positive,up
2011-03-01,0.08,-0.34,-0.26,pos_then_down,positive,down
2011-05-24,0.39,1.2,1.6,pos_then_up,positive,up
2011-09-20,-0.14,-1.37,-1.51,neg_then_down,negative,down
2011-12-06,-0.02,-1.15,-1.17,neg_then_down,negative,down
2012-02-28,-0.38,-0.13,-0.51,neg_then_down,negative,down
2012-05-22,-0.98,4.26,3.24,neg_then_up,negative,up
2012-09-19,1.85,-1.34,0.48,pos_then_down,positive,down
2012-12-04,-0.19,-1.59,-1.78,neg_then_down,negative,down
2013-02-26,0.51,-0.34,0.17,pos_then_down,positive,down
2013-05-21,-0.25,-2.12,-2.37,neg_then_down,negative,down
2013-09-25,-0.04,-0.75,-0.8,neg_then_down,negative,down
2013-12-10,-0.21,-0.65,-0.86,neg_then_down,negative,down
2014-03-04,0.21,0.77,0.98,pos_then_up,positive,up
2014-05-27,0.35,2.16,2.52,pos_then_up,positive,up
2014-09-22,-0.76,1.24,0.48,neg_then_up,negative,up
2014-12-09,0.07,-1.3,-1.23,pos_then_down,positive,down
2015-03-03,0.24,-0.15,0.09,pos_then_down,positive,down
2015-05-26,-0.93,-0.19,-1.12,neg_then_down,negative,down
2015-09-22,0.33,2.17,2.5,pos_then_up,positive,up
2015-12-08,-0.26,-1.28,-1.54,neg_then_down,negative,down
2016-03-01,-0.32,-0.9,-1.22,neg_then_down,negative,down
2016-05-24,0.04,0.9,0.95,pos_then_up,positive,up
2016-09-22,-0.29,-0.16,-0.45,neg_then_down,negative,down
2016-12-06,1.3,2.52,3.85,pos_then_up,positive,up
2017-02-28,0.47,-0.14,0.33,pos_then_down,positive,down
2017-05-23,-0.04,1.69,1.65,neg_then_up,negative,up
2017-09-19,-0.27,1.84,1.57,neg_then_up,negative,up
2017-12-05,-1.0,-0.99,-1.98,neg_then_down,negative,down
2018-02-27,0.6,0.96,1.57,pos_then_up,positive,up
2018-05-22,-0.8,4.17,3.34,neg_then_up,negative,up
2018-09-18,0.85,2.07,2.94,pos_then_up,positive,up
2018-12-04,-1.66,0.37,-1.29,neg_then_up,negative,up
2019-02-26,-3.74,1.33,-2.47,neg_then_up,negative,up
2019-05-21,-1.05,2.21,1.13,neg_then_up,negative,up
2019-09-24,0.02,-0.34,-0.33,pos_then_down,positive,down
2019-12-10,1.32,-1.72,-0.41,pos_then_down,positive,down
2020-03-03,1.49,1.75,3.27,pos_then_up,positive,up
2020-05-26,1.5,2.14,3.67,pos_then_up,positive,up
2020-09-22,0.66,-3.87,-3.24,pos_then_down,positive,down
2020-12-08,1.02,2.66,3.71,pos_then_up,positive,up
2021-03-02,0.34,-0.36,-0.02,pos_then_down,positive,down
2021-05-25,-0.35,-0.4,-0.74,neg_then_down,negative,down
2021-09-21,0.73,1.74,2.48,pos_then_up,positive,up
2021-12-07,-0.48,-1.24,-1.72,neg_then_down,negative,down
2022-03-01,0.16,3.23,3.4,pos_then_up,positive,up
2022-05-24,-0.43,3.3,2.85,neg_then_up,negative,up
2022-09-19,-0.42,2.05,1.62,neg_then_up,negative,up
2022-12-06,0.13,-0.19,-0.07,pos_then_down,positive,down
2023-02-28,-1.13,-0.09,-1.21,neg_then_down,negative,down
2023-09-19,0.92,3.42,4.37,pos_then_up,positive,up
2023-12-05,1.19,0.29,1.48,pos_then_up,positive,up
2024-02-27,0.61,1.3,1.92,pos_then_up,positive,up
2024-05-21,-0.49,-1.22,-1.71,neg_then_down,negative,down
2024-09-24,1.11,1.01,2.14,pos_then_up,positive,up
2024-12-10,-0.22,0.08,-0.13,neg_then_up,negative,up
2025-03-04,0.04,2.33,2.37,pos_then_up,positive,up
2025-05-27,0.2,1.12,1.32,pos_then_up,positive,up
2025-09-23,-0.25,1.63,1.38,neg_then_up,negative,up
