date,close_to_open_pct,open_to_close_pct,close_to_close_pct,scenario,conditional_sign,next_day_sign
2005-10-19,0.24,-0.8,-0.57,pos_then_down,positive,down
2006-01-23,0.27,0.36,0.64,pos_then_up,positive,up
2006-04-20,0.15,1.12,1.27,pos_then_up,positive,up
2006-07-19,-0.24,-0.36,-0.6,neg_then_down,negative,down
2006-10-19,0.13,0.54,0.68,pos_then_up,positive,up
2007-01-23,0.28,-0.5,-0.23,pos_then_down,positive,down
2007-04-19,0.77,-0.51,0.26,pos_then_down,positive,down
2007-07-19,-0.02,-1.93,-1.95,neg_then_down,negative,down
2007-10-18,-0.45,-2.18,-2.62,neg_then_down,negative,down
2008-01-22,-1.5,10.15,8.5,neg_then_up,negative,up
2008-04-21,0.03,-1.65,-1.62,pos_then_down,positive,down
2008-07-21,-2.49,16.16,13.27,neg_then_up,negative,up
2008-10-06,-7.98,-19.83,-26.23,neg_then_down,negative,down
2009-01-16,-9.75,-21.3,-28.97,neg_then_down,negative,down
2009-04-20,-10.1,21.5,9.23,neg_then_up,negative,up
2009-07-17,-0.47,-4.6,-5.04,neg_then_down,negative,down
2009-10-16,0.06,-0.64,-0.58,pos_then_down,positive,down
2010-01-20,-0.18,-6.01,-6.19,neg_then_down,negative,down
2010-04-16,-1.68,1.6,-0.11,neg_then_up,negative,up
2010-07-16,-0.07,-2.58,-2.65,neg_then_down,negative,down
2010-10-19,-1.69,1.29,-0.42,neg_then_up,negative,up
2011-04-15,-1.79,-1.35,-3.12,neg_then_down,negative,down
2011-07-19,0.94,1.97,2.93,pos_then_up,positive,up
2011-10-18,0.6,-4.19,-3.61,pos_then_down,positive,down
2012-01-19,-0.14,1.73,1.58,neg_then_up,negative,up
2012-04-19,0.11,-4.78,-4.68,pos_then_down,positive,down
2012-07-18,0.4,-3.97,-3.59,pos_then_down,positive,down
2012-10-17,-0.64,0.96,0.32,neg_then_up,negative,up
2013-04-17,-0.77,-1.46,-2.22,neg_then_down,negative,down
2013-07-17,0.63,2.5,3.14,pos_then_up,positive,up
2013-10-16,-0.76,1.45,0.69,neg_then_up,negative,up
2014-01-15,-0.35,-0.06,-0.41,neg_then_down,negative,down
2014-04-16,0.06,0.06,0.12,pos_then_up,positive,up
2014-07-16,-0.39,-1.62,-2.0,neg_then_down,negative,down
2014-10-15,-0.95,3.01,2.03,neg_then_up,negative,up
2015-01-15,-0.26,1.45,1.18,neg_then_up,negative,up
2015-07-15,1.3,0.22,1.53,pos_then_up,positive,up
2015-10-14,1.09,2.4,3.52,pos_then_up,positive,up
2016-01-19,-3.16,-0.73,-3.86,neg_then_down,negative,down
2016-04-14,0.92,-1.89,-0.99,pos_then_down,positive,down
2016-07-18,-0.35,1.42,1.06,neg_then_up,negative,up
2016-10-17,0.87,0.43,1.31,pos_then_up,positive,up
2017-01-13,-1.43,-2.78,-4.17,neg_then_down,negative,down
2017-04-18,0.92,-0.79,0.13,pos_then_down,positive,down
2017-07-18,0.63,0.04,0.67,pos_then_up,positive,up
2017-10-13,0.15,1.43,1.59,pos_then_up,positive,up
2018-01-17,0.48,0.48,0.96,pos_then_up,positive,up
2018-04-16,0.8,-0.43,0.37,pos_then_down,positive,down
2018-07-16,0.37,0.4,0.77,pos_then_up,positive,up
2018-10-15,1.15,1.03,2.18,pos_then_up,positive,up
2019-01-16,-0.39,2.29,1.9,neg_then_up,negative,up
2019-04-16,-0.17,0.67,0.5,neg_then_up,negative,up
2019-07-17,0.31,0.68,0.99,pos_then_up,positive,up
2019-10-16,0.43,-0.13,0.3,pos_then_down,positive,down
2020-01-15,0.66,-0.52,0.14,pos_then_down,positive,down
2020-04-15,-0.18,-3.3,-3.47,neg_then_down,negative,down
2020-07-16,-0.21,-2.76,-2.97,neg_then_down,negative,down
2020-10-14,-0.13,2.37,2.24,neg_then_up,negative,up
2021-01-19,-0.03,-1.28,-1.31,neg_then_down,negative,down
2021-04-15,1.47,-0.41,1.06,pos_then_down,positive,down
2021-07-14,-1.21,1.15,-0.08,neg_then_up,negative,up
2021-10-14,1.55,1.31,2.88,pos_then_up,positive,up
2022-01-19,0.54,-2.01,-1.49,pos_then_down,positive,down
2022-04-18,0.93,0.92,1.85,pos_then_up,positive,up
2022-07-18,1.98,1.37,3.38,pos_then_up,positive,up
2022-10-17,4.05,-0.29,3.75,pos_then_down,positive,down
2023-01-13,-1.53,-0.49,-2.02,neg_then_down,negative,down
2023-04-18,-1.41,-0.23,-1.64,neg_then_down,negative,down
2023-07-18,0.62,2.07,2.7,pos_then_up,positive,up
2023-10-17,-0.29,-0.84,-1.12,neg_then_down,negative,down
2024-01-08,-1.0,-0.56,-1.55,neg_then_down,negative,down
2024-04-16,0.61,0.97,1.59,pos_then_up,positive,up
2024-07-16,-1.09,0.76,-0.34,neg_then_up,negative,up
2024-10-15,0.17,1.4,1.57,pos_then_up,positive,up
2025-01-16,-0.06,-0.17,-0.24,neg_then_down,negative,down
2025-04-15,-0.34,-1.4,-1.74,neg_then_down,negative,down
2025-07-16,-0.85,3.02,2.15,neg_then_up,negative,up
2025-10-15,0.61,-4.11,-3.52,pos_then_down,positive,down
