date,close_to_open_pct,close_to_close_pct,open_to_close_pct,scenario,gap_sign,intraday_sign
2004-10-28,-0.12,-0.55,-0.42,neg_then_down,negative,down
2005-01-27,-0.24,-1.75,-1.52,neg_then_down,negative,down
2005-04-28,0.13,1.33,1.2,pos_then_up,positive,up
2005-07-28,0.03,-0.16,-0.18,pos_then_down,positive,down
2005-10-27,3.87,4.93,1.02,pos_then_up,positive,up
2006-01-26,0.88,1.0,0.12,pos_then_up,positive,up
2006-04-27,1.79,1.99,0.2,pos_then_up,positive,up
2006-07-27,0.18,-0.44,-0.62,pos_then_down,positive,down
2007-01-25,0.35,0.67,0.33,pos_then_up,positive,up
2007-04-26,1.7,-0.82,-2.48,pos_then_down,positive,down
2007-07-26,0.76,1.25,0.49,pos_then_up,positive,up
2007-10-25,0.39,-1.9,-2.28,pos_then_down,positive,down
2008-01-24,-0.43,-1.52,-1.09,neg_then_down,negative,down
2008-04-24,0.62,1.18,0.56,pos_then_up,positive,up
2008-07-24,0.04,-0.62,-0.66,pos_then_down,positive,down
2008-10-30,0.18,0.71,0.53,pos_then_up,positive,up
2009-01-29,0.17,-4.58,-4.75,pos_then_down,positive,down
2009-04-23,0.51,-2.09,-2.59,pos_then_down,positive,down
2009-07-23,0.39,2.8,2.4,pos_then_up,positive,up
2009-10-29,-0.52,-2.18,-1.67,neg_then_down,negative,down
2010-01-28,0.53,0.49,-0.04,pos_then_down,positive,down
2010-04-29,0.22,-1.13,-1.35,pos_then_down,positive,down
2010-07-29,-0.75,2.09,2.86,neg_then_up,negative,up
2010-10-28,0.39,4.14,3.74,pos_then_up,positive,up
2011-01-27,0.66,-1.99,-2.64,pos_then_down,positive,down
2011-04-28,0.16,-0.35,-0.51,pos_then_down,positive,down
2011-07-28,-0.75,0.57,1.33,neg_then_up,negative,up
2011-10-27,-0.08,-0.2,-0.11,neg_then_down,negative,down
2012-01-26,0.3,0.2,-0.1,pos_then_down,positive,down
2012-04-26,0.38,0.36,-0.02,pos_then_down,positive,down
2012-07-26,0.63,2.27,1.63,pos_then_up,positive,up
2012-10-25,0.16,0.73,0.56,pos_then_up,positive,up
2013-01-31,0.45,2.4,1.95,pos_then_up,positive,up
2013-04-25,-0.31,-2.35,-2.05,neg_then_down,negative,down
2013-07-25,-0.11,-0.62,-0.51,neg_then_down,negative,down
2013-10-24,0.21,1.55,1.33,pos_then_up,positive,up
2014-01-30,-1.24,-0.79,0.45,neg_then_up,negative,up
2014-05-01,0.11,-2.21,-2.32,pos_then_down,positive,down
2014-07-31,-0.05,0.69,0.73,neg_then_up,negative,up
2014-10-30,0.98,1.79,0.8,pos_then_up,positive,up
2015-02-05,-1.33,-1.97,-0.65,neg_then_down,negative,down
2015-04-30,0.25,1.4,1.16,pos_then_up,positive,up
2015-07-30,0.29,-2.44,-2.72,pos_then_down,positive,down
2015-10-29,0.48,1.75,1.27,pos_then_up,positive,up
2016-01-28,-0.34,-0.1,0.24,neg_then_up,negative,up
2016-04-28,-0.64,-2.13,-1.49,neg_then_down,negative,down
2016-11-03,-0.28,-2.25,-1.97,neg_then_down,negative,down
2017-02-02,1.94,0.71,-1.2,pos_then_down,positive,down
2017-05-04,-0.61,-0.56,0.05,neg_then_up,negative,up
2017-08-03,-0.1,-0.12,-0.02,neg_then_down,negative,down
2017-11-02,0.05,-0.12,-0.17,pos_then_down,positive,down
2018-02-07,-0.61,-2.26,-1.66,neg_then_down,negative,down
2018-05-03,-0.82,1.63,2.47,neg_then_up,negative,up
2018-08-02,-0.3,2.2,2.5,neg_then_up,negative,up
2019-01-31,0.17,-0.48,-0.65,pos_then_down,positive,down
2019-05-02,0.17,2.57,2.4,pos_then_up,positive,up
2019-08-01,-0.67,-0.01,0.66,neg_then_up,negative,up
2019-10-31,-0.2,-2.3,-2.11,neg_then_down,negative,down
2020-02-06,-0.26,-1.38,-1.13,neg_then_down,negative,down
2020-05-07,0.27,-2.02,-2.29,pos_then_down,positive,down
2020-08-06,0.46,1.46,1.0,pos_then_up,positive,up
2020-11-05,0.52,0.31,-0.22,pos_then_down,positive,down
2021-02-04,0.76,0.55,-0.21,pos_then_down,positive,down
2021-05-06,-0.1,0.15,0.25,neg_then_up,negative,up
2021-08-05,0.67,5.52,4.82,pos_then_up,positive,up
2021-11-04,-0.28,-1.08,-0.8,neg_then_down,negative,down
2022-01-27,0.27,-0.52,-0.79,pos_then_down,positive,down
2022-05-05,-2.57,-6.37,-3.9,neg_then_down,negative,down
2022-08-04,-1.4,-4.93,-3.58,neg_then_down,negative,down
2022-11-03,-0.55,-0.35,0.2,neg_then_up,negative,up
2023-02-02,-1.25,-3.15,-1.93,neg_then_down,negative,down
2023-05-04,0.35,-1.11,-1.46,pos_then_down,positive,down
2023-08-03,-0.42,-2.12,-1.7,neg_then_down,negative,down
2023-11-02,0.94,4.87,3.89,pos_then_up,positive,up
2024-02-01,-1.01,0.12,1.14,neg_then_up,negative,up
2024-04-26,0.64,1.32,0.67,pos_then_up,positive,up
2024-08-01,-0.7,0.34,1.05,neg_then_up,negative,up
2024-10-31,1.28,-0.41,-1.67,pos_then_down,positive,down
2025-02-04,1.33,-1.25,-2.55,pos_then_down,positive,down
2025-05-06,1.78,-1.97,-3.69,pos_then_down,positive,down
2025-08-05,-0.07,-3.22,-3.15,neg_then_down,negative,down
2025-11-04,0.1,2.22,2.11,pos_then_up,positive,up
