date,close_to_open_pct,close_to_close_pct,open_to_close_pct,scenario,gap_sign,intraday_sign
2003-10-16,-2.46,-1.82,0.66,neg_then_up,negative,up
2004-01-29,0.03,1.36,1.32,pos_then_up,positive,up
2004-04-22,-1.19,-1.33,-0.15,neg_then_down,negative,down
2004-07-22,-0.78,-2.14,-1.37,neg_then_down,negative,down
2004-10-21,-0.65,-2.09,-1.45,neg_then_down,negative,down
2005-01-27,-0.44,-1.26,-0.82,neg_then_down,negative,down
2005-04-21,-0.53,1.5,2.03,neg_then_up,negative,up
2005-07-21,-0.38,-0.66,-0.28,neg_then_down,negative,down
2005-10-20,0.66,0.69,0.03,pos_then_up,positive,up
2006-01-26,0.32,-0.87,-1.18,pos_then_down,positive,down
2006-04-20,0.68,0.13,-0.54,pos_then_down,positive,down
2006-07-20,1.17,2.83,1.64,pos_then_up,positive,up
2006-10-19,0.24,2.36,2.11,pos_then_up,positive,up
2007-01-25,-2.22,-1.73,0.49,neg_then_up,negative,up
2007-04-19,2.71,0.41,-2.24,pos_then_down,positive,down
2007-07-19,-0.07,-0.18,-0.11,neg_then_down,negative,down
2007-10-18,-0.79,-2.65,-1.88,neg_then_down,negative,down
2008-01-24,1.14,-1.66,-2.77,pos_then_down,positive,down
2008-04-17,1.87,1.44,-0.42,pos_then_down,positive,down
2008-07-17,0.24,1.44,1.2,pos_then_up,positive,up
2008-10-16,4.06,0.93,-3.01,pos_then_down,positive,down
2009-01-22,-0.62,1.23,1.86,neg_then_up,negative,up
2009-04-16,0.59,1.77,1.17,pos_then_up,positive,up
2009-07-16,0.16,-1.08,-1.24,pos_then_down,positive,down
2009-10-15,0.46,1.23,0.77,pos_then_up,positive,up
2010-01-28,0.05,-1.05,-1.1,pos_then_down,positive,down
2010-04-22,0.23,-3.54,-3.77,pos_then_down,positive,down
2010-07-22,2.2,1.71,-0.48,pos_then_down,positive,down
2010-10-21,-0.25,0.1,0.35,neg_then_up,negative,up
2011-01-27,-0.16,-0.78,-0.61,neg_then_down,negative,down
2011-04-21,-0.97,-0.99,-0.02,neg_then_down,negative,down
2011-07-21,-0.29,-0.99,-0.71,neg_then_down,negative,down
2011-10-20,0.82,1.76,0.94,pos_then_up,positive,up
2012-01-26,-0.22,0.4,0.61,neg_then_up,negative,up
2012-04-19,0.35,-0.02,-0.37,pos_then_down,positive,down
2012-07-19,-0.09,-0.41,-0.32,neg_then_down,negative,down
2013-01-24,0.21,0.32,0.12,pos_then_up,positive,up
2013-04-18,0.52,0.28,-0.25,pos_then_down,positive,down
2013-07-18,0.18,1.29,1.11,pos_then_up,positive,up
2013-10-17,-1.62,-1.84,-0.23,neg_then_down,negative,down
2014-01-23,-0.68,-1.97,-1.3,neg_then_down,negative,down
2014-04-17,-0.4,0.47,0.87,neg_then_up,negative,up
2014-07-17,0.37,0.35,-0.01,pos_then_down,positive,down
2014-10-16,0.25,-1.38,-1.62,pos_then_down,positive,down
2015-01-29,-0.48,-1.5,-1.03,neg_then_down,negative,down
2015-04-23,-0.17,-0.52,-0.35,neg_then_down,negative,down
2015-07-29,-1.77,3.92,5.79,neg_then_up,negative,up
2015-10-27,-0.19,1.66,1.86,neg_then_up,negative,up
2016-02-02,0.74,0.82,0.08,pos_then_up,positive,up
2016-04-26,0.84,0.48,-0.36,pos_then_down,positive,down
2016-10-25,-0.06,-3.5,-3.44,neg_then_down,negative,down
2017-02-01,-0.37,0.06,0.44,neg_then_up,negative,up
2017-04-26,0.11,-0.31,-0.41,pos_then_down,positive,down
2017-07-26,0.69,-1.37,-2.04,pos_then_down,positive,down
2017-10-25,0.23,0.85,0.62,pos_then_up,positive,up
2018-02-01,-0.41,-2.0,-1.59,neg_then_down,negative,down
2018-04-26,0.07,0.31,0.24,pos_then_up,positive,up
2018-07-26,-0.58,-2.71,-2.14,neg_then_down,negative,down
2018-10-31,0.19,0.9,0.7,pos_then_up,positive,up
2019-01-31,1.74,-0.5,-2.2,pos_then_down,positive,down
2019-04-25,-0.12,-0.09,0.03,neg_then_up,negative,up
2019-07-25,0.74,-0.01,-0.75,pos_then_down,positive,down
2019-10-24,-2.45,-2.28,0.18,neg_then_up,negative,up
2020-01-13,-0.68,-0.18,0.51,neg_then_up,negative,up
2020-03-17,-5.35,5.07,11.01,neg_then_up,negative,up
2020-07-30,-0.38,0.43,0.82,neg_then_up,negative,up
2020-10-29,-1.05,-0.65,0.4,neg_then_up,negative,up
2021-01-11,-0.52,-2.32,-1.8,neg_then_down,negative,down
2021-04-29,0.29,0.4,0.11,pos_then_up,positive,up
2021-07-29,-0.44,-0.04,0.4,neg_then_up,negative,up
2021-10-28,-0.64,0.45,1.09,neg_then_up,negative,up
2022-02-17,-0.5,-0.54,-0.05,neg_then_down,negative,down
2022-04-28,-0.79,0.37,1.17,neg_then_up,negative,up
2022-07-28,-0.13,-1.41,-1.28,neg_then_down,negative,down
2022-10-27,-0.69,1.91,2.61,neg_then_up,negative,up
2023-02-09,0.4,2.02,1.61,pos_then_up,positive,up
2023-04-27,0.3,1.88,1.58,pos_then_up,positive,up
2023-07-27,0.2,3.36,3.16,pos_then_up,positive,up
2023-11-02,2.45,-0.85,-3.22,pos_then_down,positive,down
2024-02-08,0.1,-2.25,-2.35,pos_then_down,positive,down
2024-05-02,0.87,-0.05,-0.91,pos_then_down,positive,down
2024-08-06,1.63,-0.89,-2.48,pos_then_down,positive,down
2024-11-08,1.04,-1.21,-2.23,pos_then_down,positive,down
2025-02-03,-0.41,-0.7,-0.29,neg_then_down,negative,down
2025-05-01,1.27,0.13,-1.13,pos_then_down,positive,down
2025-07-31,-1.15,0.92,2.09,neg_then_up,negative,up
2025-10-30,-1.83,-3.6,-1.81,neg_then_down,negative,down
