date,close_to_open_pct,close_to_close_pct,open_to_close_pct,scenario,gap_sign,intraday_sign
2004-09-03,1.1,1.0,-0.1,pos_then_down,positive,down
2004-12-03,-0.86,-0.79,0.07,neg_then_up,negative,up
2005-06-14,-0.44,2.23,2.68,neg_then_up,negative,up
2005-09-13,1.16,0.16,-0.99,pos_then_down,positive,down
2005-12-13,0.14,1.71,1.57,pos_then_up,positive,up
2006-03-30,0.86,2.1,1.23,pos_then_up,positive,up
2006-06-13,-0.35,-0.56,-0.21,neg_then_down,negative,down
2006-09-12,-0.36,0.42,0.79,neg_then_up,negative,up
2006-12-12,0.41,-1.64,-2.04,pos_then_down,positive,down
2007-04-04,0.67,1.17,0.5,pos_then_up,positive,up
2007-06-19,0.27,-0.58,-0.84,pos_then_down,positive,down
2007-09-18,1.75,0.02,-1.7,pos_then_down,positive,down
2008-04-02,-1.57,-3.21,-1.66,neg_then_down,negative,down
2008-06-17,-0.58,-1.66,-1.09,neg_then_down,negative,down
2008-09-16,-3.18,-6.16,-3.07,neg_then_down,negative,down
2008-12-16,-1.01,3.25,4.31,neg_then_up,negative,up
2009-03-26,-1.54,0.98,2.56,neg_then_up,negative,up
2009-06-16,-0.75,0.08,0.84,neg_then_up,negative,up
2009-09-15,0.97,0.63,-0.34,pos_then_down,positive,down
2009-12-15,0.89,-0.58,-1.46,pos_then_down,positive,down
2010-03-25,-0.02,1.17,1.2,neg_then_up,negative,up
2010-06-15,-0.73,-0.99,-0.26,neg_then_down,negative,down
2010-09-14,-0.19,0.08,0.27,neg_then_up,negative,up
2010-12-14,-0.62,-2.87,-2.27,neg_then_down,negative,down
2011-03-24,-1.1,-3.02,-1.95,neg_then_down,negative,down
2011-06-14,-0.8,0.93,1.74,neg_then_up,negative,up
2011-09-13,-1.2,2.83,4.07,neg_then_up,negative,up
2011-12-13,0.42,-1.6,-2.01,pos_then_down,positive,down
2012-03-29,-0.97,-4.4,-3.47,neg_then_down,negative,down
2012-08-21,-1.68,-1.06,0.62,neg_then_up,negative,up
2012-11-20,-1.09,-3.26,-2.2,neg_then_down,negative,down
2013-03-01,-0.47,3.55,4.04,neg_then_up,negative,up
2013-08-20,-0.4,-3.02,-2.63,neg_then_down,negative,down
2013-11-19,0.59,-0.18,-0.77,pos_then_down,positive,down
2014-02-27,1.1,4.15,3.02,pos_then_up,positive,up
2014-05-22,-0.11,3.01,3.13,neg_then_up,negative,up
2014-08-26,0.5,6.34,5.81,pos_then_up,positive,up
2014-11-20,1.71,0.03,-1.66,pos_then_down,positive,down
2015-03-03,0.82,1.56,0.73,pos_then_up,positive,up
2015-05-21,1.08,-2.22,-3.27,pos_then_down,positive,down
2015-08-25,2.97,6.98,3.89,pos_then_up,positive,up
2015-11-19,1.27,-0.52,-1.77,pos_then_down,positive,down
2016-02-25,-0.37,0.65,1.03,neg_then_up,negative,up
2016-05-24,-0.82,4.98,5.84,neg_then_up,negative,up
2016-08-23,-0.08,0.69,0.77,neg_then_up,negative,up
2016-11-17,-0.67,-2.61,-1.95,neg_then_down,negative,down
2017-03-01,0.19,6.43,6.23,pos_then_up,positive,up
2017-05-25,-1.37,-3.72,-2.38,neg_then_down,negative,down
2017-08-29,0.58,-1.51,-2.08,pos_then_down,positive,down
2017-11-16,0.58,1.05,0.47,pos_then_up,positive,up
2018-03-01,-0.6,-3.0,-2.42,neg_then_down,negative,down
2018-05-24,0.14,-3.46,-3.59,pos_then_down,positive,down
2018-08-28,0.28,0.08,-0.21,pos_then_down,positive,down
2018-11-20,1.4,-2.27,-3.62,pos_then_down,positive,down
2019-02-27,0.97,0.03,-0.94,pos_then_down,positive,down
2019-05-23,-0.59,0.18,0.78,neg_then_up,negative,up
2019-08-29,-0.95,0.25,1.21,neg_then_up,negative,up
2019-11-26,0.88,-1.02,-1.88,pos_then_down,positive,down
2020-02-27,-2.87,-3.4,-0.54,neg_then_down,negative,down
2020-05-21,1.3,-1.36,-2.62,pos_then_down,positive,down
2020-08-25,0.68,-0.29,-0.97,pos_then_down,positive,down
2020-11-24,0.46,0.32,-0.14,pos_then_down,positive,down
2021-02-25,-1.79,-2.52,-0.74,neg_then_down,negative,down
2021-05-27,2.04,-1.61,-3.58,pos_then_down,positive,down
2021-08-24,0.78,0.33,-0.45,pos_then_down,positive,down
2021-11-23,-0.65,-3.57,-2.94,neg_then_down,negative,down
2022-03-03,-2.02,-3.67,-1.69,neg_then_down,negative,down
2022-05-24,-3.35,8.97,12.74,neg_then_up,negative,up
2022-08-30,-0.53,-5.61,-5.1,neg_then_down,negative,down
2022-11-22,0.14,3.14,3.0,pos_then_up,positive,up
2023-03-02,0.98,3.06,2.06,pos_then_up,positive,up
2023-05-25,-0.13,4.28,4.41,neg_then_up,negative,up
2023-08-29,0.01,-1.3,-1.31,pos_then_down,positive,down
2023-11-21,0.55,0.61,0.06,pos_then_up,positive,up
2024-02-29,0.53,-3.66,-4.17,pos_then_down,positive,down
2024-05-30,-0.43,4.01,4.46,neg_then_up,negative,up
2024-08-29,0.59,0.22,-0.37,pos_then_down,positive,down
2025-03-04,0.35,0.44,0.09,pos_then_up,positive,up
2025-05-29,-0.42,-0.06,0.36,neg_then_up,negative,up
2025-08-28,0.21,1.35,1.14,pos_then_up,positive,up
