date,close_to_open_pct,close_to_close_pct,open_to_close_pct,scenario,gap_sign,intraday_sign
2004-10-04,-0.86,-1.24,-0.38,neg_then_down,negative,down
2005-01-26,-0.79,0.86,1.66,neg_then_up,negative,up
2005-04-27,-0.22,-0.94,-0.72,neg_then_down,negative,down
2005-11-03,1.6,2.5,0.88,pos_then_up,positive,up
2006-01-26,-1.96,-0.33,1.66,neg_then_up,negative,up
2006-07-28,-0.63,0.78,1.42,neg_then_up,negative,up
2006-11-02,0.44,0.2,-0.24,pos_then_down,positive,down
2007-01-25,-0.55,-0.17,0.38,neg_then_up,negative,up
2007-04-25,-0.55,-0.79,-0.24,neg_then_down,negative,down
2007-07-26,-0.32,-0.54,-0.22,neg_then_down,negative,down
2007-11-01,0.52,2.73,2.2,pos_then_up,positive,up
2008-01-24,0.76,-0.65,-1.4,pos_then_down,positive,down
2008-04-23,0.42,0.82,0.4,pos_then_up,positive,up
2008-07-24,0.63,-1.47,-2.08,pos_then_down,positive,down
2008-11-05,-0.43,-2.33,-1.91,neg_then_down,negative,down
2009-01-28,-0.69,1.83,2.53,neg_then_up,negative,up
2009-04-28,0.9,-1.99,-2.87,pos_then_down,positive,down
2009-07-30,-1.83,-3.32,-1.53,neg_then_down,negative,down
2009-11-04,0.22,0.5,0.28,pos_then_up,positive,up
2010-01-28,0.34,-1.45,-1.79,pos_then_down,positive,down
2010-04-29,0.18,-0.3,-0.48,pos_then_down,positive,down
2010-07-29,-0.58,1.87,2.46,neg_then_up,negative,up
2010-11-03,1.02,3.59,2.54,pos_then_up,positive,up
2011-02-07,-3.41,-5.38,-2.04,neg_then_down,negative,down
2011-04-26,-0.09,0.72,0.81,neg_then_up,negative,up
2011-08-02,0.11,0.25,0.14,pos_then_up,positive,up
2011-11-02,0.85,-0.3,-1.15,pos_then_down,positive,down
2012-02-07,-0.18,-0.9,-0.72,neg_then_down,negative,down
2012-05-01,-0.25,0.01,0.26,neg_then_up,negative,up
2012-08-02,0.2,-0.09,-0.3,pos_then_down,positive,down
2012-11-07,-0.01,-0.6,-0.58,neg_then_down,negative,down
2013-02-05,-0.25,0.24,0.49,neg_then_up,negative,up
2013-05-02,0.74,1.32,0.58,pos_then_up,positive,up
2013-08-01,0.21,-1.55,-1.76,pos_then_down,positive,down
2013-11-05,-0.22,0.05,0.27,neg_then_up,negative,up
2014-02-04,0.23,1.17,0.94,pos_then_up,positive,up
2014-05-01,0.16,0.91,0.74,pos_then_up,positive,up
2014-07-31,-0.34,-0.14,0.21,neg_then_up,negative,up
2014-11-04,0.37,0.7,0.32,pos_then_up,positive,up
2015-02-05,0.08,-1.36,-1.43,pos_then_down,positive,down
2015-05-07,0.25,-0.55,-0.8,pos_then_down,positive,down
2015-08-06,-0.16,-0.85,-0.69,neg_then_down,negative,down
2015-11-04,0.32,0.81,0.49,pos_then_up,positive,up
2016-02-03,-0.43,-2.25,-1.82,neg_then_down,negative,down
2016-05-05,-1.34,-0.22,1.13,neg_then_up,negative,up
2016-08-04,0.04,1.28,1.24,pos_then_up,positive,up
2016-11-03,0.03,1.05,1.02,pos_then_up,positive,up
2017-02-02,0.44,0.79,0.35,pos_then_up,positive,up
2017-05-02,-0.24,-0.82,-0.58,neg_then_down,negative,down
2017-08-03,0.44,-0.93,-1.36,pos_then_down,positive,down
2017-11-02,-2.5,0.17,2.74,neg_then_up,negative,up
2018-02-05,-3.48,1.2,4.85,neg_then_up,negative,up
2018-05-03,-0.48,-1.09,-0.61,neg_then_down,negative,down
2018-08-02,0.62,0.82,0.2,pos_then_up,positive,up
2018-11-06,0.88,-1.59,-2.45,pos_then_down,positive,down
2019-01-17,0.51,2.53,2.01,pos_then_up,positive,up
2019-05-09,-0.67,-1.91,-1.26,neg_then_down,negative,down
2019-08-06,-0.7,1.05,1.77,neg_then_up,negative,up
2020-02-06,-0.26,-2.12,-1.86,neg_then_down,negative,down
2020-05-07,1.16,-0.69,-1.83,pos_then_down,positive,down
2020-08-06,0.23,-1.23,-1.46,pos_then_down,positive,down
2020-11-05,0.23,0.84,0.61,pos_then_up,positive,up
2021-01-12,-0.24,-0.03,0.22,neg_then_up,negative,up
2021-08-05,-0.32,-0.84,-0.52,neg_then_down,negative,down
2021-11-04,-1.3,-0.15,1.16,neg_then_up,negative,up
2022-02-03,-1.32,-0.64,0.69,neg_then_up,negative,up
2022-04-14,-0.25,-4.26,-4.03,neg_then_down,negative,down
2022-08-04,-0.42,0.68,1.11,neg_then_up,negative,up
2022-11-10,0.5,-0.7,-1.19,pos_then_down,positive,down
2023-02-02,0.05,-1.06,-1.11,pos_then_down,positive,down
2023-05-04,0.76,0.48,-0.28,pos_then_down,positive,down
2023-08-03,-0.17,0.78,0.95,neg_then_up,negative,up
2023-11-09,0.68,1.04,0.35,pos_then_up,positive,up
2024-02-01,0.96,-2.13,-3.06,pos_then_down,positive,down
2024-05-02,-0.66,-2.36,-1.71,neg_then_down,negative,down
2024-08-01,0.42,2.48,2.05,pos_then_up,positive,up
2024-11-07,0.69,1.99,1.29,pos_then_up,positive,up
2025-02-05,-4.7,-7.28,-2.71,neg_then_down,negative,down
2025-05-01,1.01,-0.45,-1.45,pos_then_down,positive,down
2025-08-07,-0.43,3.1,3.55,neg_then_up,negative,up
2025-10-15,-2.12,-0.8,1.35,neg_then_up,negative,up
