date,close_to_open_pct,open_to_close_pct,close_to_close_pct,scenario,conditional_sign,next_day_sign
2004-11-03,0.75,3.95,4.72,pos_then_up,positive,up
2005-02-23,-0.68,2.83,2.13,neg_then_up,negative,up
2005-05-10,-0.38,-0.38,-0.75,neg_then_down,negative,down
2005-07-20,0.66,-1.56,-0.91,pos_then_down,positive,down
2005-11-02,20.05,5.08,26.15,pos_then_up,positive,up
2006-02-17,0.9,-2.79,-1.92,pos_then_down,positive,down
2006-05-04,-0.68,0.52,-0.17,neg_then_up,negative,up
2006-08-08,-0.29,2.18,1.88,neg_then_up,negative,up
2006-11-09,-0.65,2.63,1.96,neg_then_up,negative,up
2007-05-09,-0.19,-2.84,-3.02,neg_then_down,negative,down
2007-08-08,-2.02,-2.53,-4.5,neg_then_down,negative,down
2007-11-09,0.43,-3.87,-3.45,pos_then_down,positive,down
2008-02-15,0.02,-1.03,-1.01,pos_then_down,positive,down
2008-05-09,-0.31,0.48,0.17,neg_then_up,negative,up
2008-08-06,-1.45,0.25,-1.2,neg_then_up,negative,up
2008-11-07,2.82,-3.24,-0.51,pos_then_down,positive,down
2009-02-19,-1.47,6.04,4.48,neg_then_up,negative,up
2009-05-11,0.44,-1.03,-0.6,pos_then_down,positive,down
2009-08-10,-0.82,3.16,2.32,neg_then_up,negative,up
2009-11-10,-1.21,-2.45,-3.63,neg_then_down,negative,down
2010-02-18,-0.19,-0.83,-1.02,neg_then_down,negative,down
2010-05-11,0.99,-1.75,-0.77,pos_then_down,positive,down
2010-08-04,-0.64,4.72,4.04,neg_then_up,negative,up
2010-11-09,0.22,-0.59,-0.38,pos_then_down,positive,down
2011-02-25,0.16,-1.49,-1.34,pos_then_down,positive,down
2011-05-06,0.04,1.92,1.96,pos_then_up,positive,up
2011-08-05,-3.33,-1.03,-4.32,neg_then_down,negative,down
2011-11-08,-1.78,-1.19,-2.95,neg_then_down,negative,down
2012-02-28,-0.06,-0.85,-0.91,neg_then_down,negative,down
2012-05-10,-1.41,0.58,-0.84,neg_then_up,negative,up
2012-08-08,0.12,-0.13,-0.01,pos_then_down,positive,down
2013-02-26,4.5,-1.85,2.57,pos_then_down,positive,down
2013-05-09,0.61,3.15,3.78,pos_then_up,positive,up
2013-08-08,6.24,-2.23,3.87,pos_then_down,positive,down
2013-11-07,3.23,1.63,4.92,pos_then_up,positive,up
2014-02-20,3.5,-0.92,2.54,pos_then_down,positive,down
2014-05-08,0.69,1.82,2.52,pos_then_up,positive,up
2014-08-11,0.22,-1.36,-1.14,pos_then_down,positive,down
2014-11-04,0.48,-0.69,-0.21,pos_then_down,positive,down
2015-02-19,-0.09,-0.06,-0.15,neg_then_down,negative,down
2015-05-07,0.8,-1.5,-0.72,pos_then_down,positive,down
2015-08-05,0.02,0.02,0.04,pos_then_up,positive,up
2015-11-09,-0.69,1.65,0.94,neg_then_up,negative,up
2016-02-17,0.76,0.56,1.33,pos_then_up,positive,up
2016-05-04,0.07,-1.04,-0.97,pos_then_down,positive,down
2016-08-04,5.52,-1.45,3.99,pos_then_down,positive,down
2016-10-06,0.56,-1.26,-0.71,pos_then_down,positive,down
2017-02-27,4.4,1.19,5.64,pos_then_up,positive,up
2017-05-09,-3.0,-1.56,-4.52,neg_then_down,negative,down
2017-08-08,-6.76,-0.19,-6.94,neg_then_down,negative,down
2017-11-07,0.26,0.67,0.94,pos_then_up,positive,up
2018-02-27,7.66,-0.83,6.77,pos_then_down,positive,down
2018-05-09,-6.12,1.46,-4.74,neg_then_up,negative,up
2018-08-09,-1.68,-0.64,-2.3,neg_then_down,negative,down
2018-11-05,6.28,-1.97,4.19,pos_then_down,positive,down
2019-02-27,-7.97,-3.25,-10.96,neg_then_down,negative,down
2019-05-09,5.12,0.27,5.4,pos_then_up,positive,up
2019-08-07,4.31,2.16,6.56,pos_then_up,positive,up
2019-11-07,4.92,-3.18,1.58,pos_then_down,positive,down
2020-02-26,-3.89,2.91,-1.09,neg_then_up,negative,up
2020-05-07,-0.2,-0.71,-0.91,neg_then_down,negative,down
2020-08-06,3.52,-3.25,0.15,pos_then_down,positive,down
2020-11-05,-2.67,3.64,0.87,neg_then_up,negative,up
2021-02-24,-0.96,-6.06,-6.97,neg_then_down,negative,down
2021-05-05,-1.72,-0.8,-2.51,neg_then_down,negative,down
2021-08-04,3.09,2.68,5.85,pos_then_up,positive,up
2021-11-03,4.26,-4.02,0.07,pos_then_down,positive,down
2022-02-23,-12.48,6.17,-7.08,neg_then_up,negative,up
2022-05-04,9.35,-5.57,3.26,pos_then_down,positive,down
2022-08-03,-3.34,2.44,-0.98,neg_then_up,negative,up
2022-11-02,3.98,-1.26,2.67,pos_then_down,positive,down
2023-02-23,0.14,0.93,1.07,pos_then_up,positive,up
2023-05-04,1.03,-2.32,-1.32,pos_then_down,positive,down
2023-08-03,11.1,-2.91,7.86,pos_then_down,positive,down
2023-11-02,-2.07,2.83,0.71,neg_then_up,negative,up
2024-02-22,-5.22,-5.2,-10.15,neg_then_down,negative,down
2024-05-02,6.54,-3.31,3.01,pos_then_down,positive,down
2024-08-01,-9.62,0.5,-9.17,neg_then_up,negative,up
2024-10-30,6.05,-1.22,4.76,pos_then_down,positive,down
2025-02-20,3.89,-4.27,-0.55,pos_then_down,positive,down
2025-04-29,-3.61,7.76,3.87,neg_then_up,negative,up
2025-07-29,-1.8,2.24,0.4,neg_then_up,negative,up
2025-10-28,1.55,-2.39,-0.87,pos_then_down,positive,down
