date,close_to_open_pct,close_to_close_pct,open_to_close_pct,scenario,gap_sign,intraday_sign
2005-10-27,1.23,-0.36,-1.56,pos_then_down,positive,down
2006-02-23,-0.38,2.25,2.64,neg_then_up,negative,up
2006-04-26,7.09,-4.71,-11.01,pos_then_down,positive,down
2006-07-28,-0.4,-1.92,-1.53,neg_then_down,negative,down
2006-10-26,-8.19,-3.0,5.65,neg_then_up,negative,up
2007-02-22,-3.46,-1.35,2.18,neg_then_up,negative,up
2007-04-25,-4.46,-4.34,0.12,neg_then_up,negative,up
2007-07-26,-1.22,2.97,4.24,neg_then_up,negative,up
2007-10-25,0.82,-8.88,-9.62,pos_then_down,positive,down
2008-02-20,4.93,-2.82,-7.38,pos_then_down,positive,down
2008-04-24,-3.26,-0.71,2.64,neg_then_up,negative,up
2008-07-31,1.37,3.66,2.26,pos_then_up,positive,up
2008-10-23,10.42,-7.74,-16.44,pos_then_down,positive,down
2009-02-19,-3.39,-11.44,-8.33,neg_then_down,negative,down
2009-04-23,-2.92,12.77,16.17,neg_then_up,negative,up
2009-07-23,0.22,2.63,2.41,pos_then_up,positive,up
2009-10-22,-1.76,-3.74,-2.01,neg_then_down,negative,down
2010-04-22,-0.98,-1.96,-0.99,neg_then_down,negative,down
2010-07-22,-1.62,4.86,6.58,neg_then_up,negative,up
2010-10-21,0.45,0.0,-0.45,pos_then_down,positive,down
2011-02-17,1.43,-2.87,-4.24,pos_then_down,positive,down
2011-04-25,0.38,3.45,3.05,pos_then_up,positive,up
2011-07-21,4.27,5.98,1.64,pos_then_up,positive,up
2011-10-20,7.14,2.86,-4.0,pos_then_down,positive,down
2012-02-16,4.7,-0.34,-4.81,pos_then_down,positive,down
2012-04-19,5.9,-10.07,-15.08,pos_then_down,positive,down
2012-07-19,-2.46,-15.78,-13.66,neg_then_down,negative,down
2012-10-18,-2.24,-0.81,1.46,neg_then_up,negative,up
2013-02-21,1.97,6.27,4.22,pos_then_up,positive,up
2013-04-25,-0.17,5.94,6.13,neg_then_up,negative,up
2013-07-25,1.59,-2.54,-4.06,pos_then_down,positive,down
2013-10-25,3.04,5.95,2.82,pos_then_up,positive,up
2014-02-21,-6.75,-3.78,3.19,neg_then_up,negative,up
2014-07-24,-3.65,-8.81,-5.36,neg_then_down,negative,down
2014-10-24,1.05,-5.05,-6.03,pos_then_down,positive,down
2015-02-19,-0.71,-7.41,-6.74,neg_then_down,negative,down
2015-04-23,0.31,-0.7,-1.01,pos_then_down,positive,down
2015-07-23,3.94,-4.01,-7.66,pos_then_down,positive,down
2015-11-06,0.98,-3.87,-4.81,pos_then_down,positive,down
2016-05-05,1.68,-3.81,-5.4,pos_then_down,positive,down
2016-11-03,-1.06,-2.66,-1.61,neg_then_down,negative,down
2017-02-28,8.11,12.36,3.93,pos_then_up,positive,up
2017-05-08,2.52,-1.03,-3.46,pos_then_down,positive,down
2017-08-03,3.41,9.71,6.09,pos_then_up,positive,up
2017-11-08,-2.51,4.79,7.49,neg_then_up,negative,up
2018-02-28,9.38,10.48,1.0,pos_then_up,positive,up
2018-05-09,-0.91,-3.24,-2.35,neg_then_down,negative,down
2018-08-07,-0.28,-1.79,-1.52,neg_then_down,negative,down
2018-11-01,7.03,11.47,4.14,pos_then_up,positive,up
2019-02-28,2.23,0.72,-1.47,pos_then_down,positive,down
2019-05-02,2.31,14.14,11.56,pos_then_up,positive,up
2019-08-01,6.9,12.32,5.07,pos_then_up,positive,up
2019-10-31,3.94,7.47,3.4,pos_then_up,positive,up
2020-02-20,-6.21,-5.29,0.98,neg_then_up,negative,up
2020-04-21,3.04,-0.15,-3.1,pos_then_down,positive,down
2020-07-30,8.66,1.11,-6.95,pos_then_down,positive,down
2020-10-29,6.63,0.97,-5.31,pos_then_down,positive,down
2021-02-26,3.14,3.63,0.47,pos_then_up,positive,up
2021-08-05,1.46,-0.08,-1.52,pos_then_down,positive,down
2021-11-04,3.91,2.81,-1.06,pos_then_down,positive,down
2022-03-01,2.0,5.78,3.7,pos_then_up,positive,up
2022-05-10,0.31,-3.29,-3.58,pos_then_down,positive,down
2022-08-01,-1.95,-4.19,-2.28,neg_then_down,negative,down
2022-11-08,-1.82,-6.34,-4.6,neg_then_down,negative,down
2023-02-28,0.24,1.16,0.92,pos_then_up,positive,up
2023-05-03,1.6,-0.62,-2.19,pos_then_down,positive,down
2023-08-02,-0.33,-2.68,-2.36,neg_then_down,negative,down
2023-11-01,2.15,3.22,1.05,pos_then_up,positive,up
2024-02-22,0.32,0.16,-0.16,pos_then_down,positive,down
2024-05-07,-0.38,0.52,0.9,neg_then_up,negative,up
2024-08-06,2.34,-1.84,-4.08,pos_then_down,positive,down
2024-11-05,-4.3,-2.33,2.06,neg_then_up,negative,up
2025-02-20,0.12,-4.88,-4.99,pos_then_down,positive,down
2025-05-01,1.24,1.97,0.71,pos_then_up,positive,up
2025-07-31,-0.34,2.4,2.75,neg_then_up,negative,up
2025-10-30,0.73,4.01,3.26,pos_then_up,positive,up
