date,close_to_open_pct,open_to_close_pct,close_to_close_pct,scenario,conditional_sign,next_day_sign
2007-11-07,0.48,5.87,6.38,pos_then_up,positive,up
2008-02-07,-0.05,0.6,0.56,neg_then_up,negative,up
2008-05-08,-0.96,-0.15,-1.11,neg_then_down,negative,down
2008-08-14,-0.4,-0.7,-1.1,neg_then_down,negative,down
2008-11-06,-0.23,0.47,0.23,neg_then_up,negative,up
2009-02-03,0.34,-1.34,-1.01,pos_then_down,positive,down
2009-05-11,0.96,-2.23,-1.3,pos_then_down,positive,down
2009-08-11,0.52,1.97,2.51,pos_then_up,positive,up
2010-02-04,-0.36,-2.09,-2.45,neg_then_down,negative,down
2010-05-10,-0.99,-0.09,-1.08,neg_then_down,negative,down
2010-08-12,-0.25,2.54,2.28,neg_then_up,negative,up
2010-11-04,-0.45,-3.8,-4.23,neg_then_down,negative,down
2011-02-08,-0.5,-0.18,-0.69,neg_then_down,negative,down
2011-05-10,-0.22,-2.0,-2.21,neg_then_down,negative,down
2011-08-11,0.76,2.18,2.96,pos_then_up,positive,up
2011-11-03,-1.01,-0.35,-1.36,neg_then_down,negative,down
2012-02-07,0.58,-0.62,-0.04,pos_then_down,positive,down
2012-05-08,-1.24,-1.07,-2.29,neg_then_down,negative,down
2012-08-09,-0.82,1.28,0.45,neg_then_up,negative,up
2012-11-06,-1.0,-3.11,-4.08,neg_then_down,negative,down
2013-02-07,0.18,-1.88,-1.7,pos_then_down,positive,down
2013-08-08,-0.2,2.39,2.19,neg_then_up,negative,up
2013-11-07,1.66,1.83,3.53,pos_then_up,positive,up
2014-02-06,0.22,2.73,2.96,pos_then_up,positive,up
2014-05-09,0.52,0.62,1.14,pos_then_up,positive,up
2014-08-07,-0.23,1.46,1.23,neg_then_up,negative,up
2014-11-06,0.9,-0.67,0.23,pos_then_down,positive,down
2015-02-05,-0.92,1.86,0.92,neg_then_up,negative,up
2015-05-08,-0.1,0.49,0.39,neg_then_up,negative,up
2015-08-07,0.59,1.33,1.93,pos_then_up,positive,up
2015-11-05,0.56,-0.83,-0.28,pos_then_down,positive,down
2016-02-04,-0.44,-1.92,-2.35,neg_then_down,negative,down
2016-05-05,-0.54,2.45,1.89,neg_then_up,negative,up
2016-08-09,-0.63,1.92,1.28,neg_then_up,negative,up
2016-11-09,-0.34,-1.99,-2.32,neg_then_down,negative,down
2017-05-10,-0.1,0.16,0.06,neg_then_up,negative,up
2017-08-10,-0.61,3.38,2.75,neg_then_up,negative,up
2017-11-08,0.3,-3.22,-2.93,pos_then_down,positive,down
2018-02-08,1.15,0.45,1.6,pos_then_up,positive,up
2018-05-08,0.36,1.14,1.5,pos_then_up,positive,up
2018-08-07,0.52,-0.3,0.22,pos_then_down,positive,down
2018-11-06,1.01,2.21,3.24,pos_then_up,positive,up
2019-02-07,0.82,-0.15,0.66,pos_then_down,positive,down
2019-05-07,-0.14,0.62,0.48,neg_then_up,negative,up
2019-08-01,-0.02,-0.55,-0.58,neg_then_down,negative,down
2019-11-06,0.32,2.79,3.12,pos_then_up,positive,up
2020-01-31,1.28,-3.51,-2.28,pos_then_down,positive,down
2020-05-08,-0.56,2.67,2.1,neg_then_up,negative,up
2020-08-11,-0.29,-1.82,-2.1,neg_then_down,negative,down
2020-10-30,0.54,1.76,2.3,pos_then_up,positive,up
2021-02-02,0.91,-2.22,-1.33,pos_then_down,positive,down
2021-05-04,0.95,0.38,1.34,pos_then_up,positive,up
2021-08-12,0.47,0.37,0.84,pos_then_up,positive,up
2021-11-03,0.25,0.63,0.88,pos_then_up,positive,up
2022-02-01,0.35,0.28,0.63,pos_then_up,positive,up
2022-05-03,-0.96,2.98,1.99,neg_then_up,negative,up
2022-08-12,-0.85,-1.94,-2.77,neg_then_down,negative,down
2022-11-02,-1.26,-1.54,-2.77,neg_then_down,negative,down
2023-02-02,-0.85,1.05,0.19,neg_then_up,negative,up
2023-05-02,1.17,0.01,1.19,pos_then_up,positive,up
2023-08-08,0.18,0.79,0.97,pos_then_up,positive,up
2023-11-02,0.46,-1.4,-0.95,pos_then_down,positive,down
2024-02-01,-0.3,0.35,0.05,neg_then_up,negative,up
2024-05-08,0.72,0.64,1.37,pos_then_up,positive,up
2024-08-06,0.16,-3.2,-3.04,pos_then_down,positive,down
2024-11-05,3.15,-2.54,0.53,pos_then_down,positive,down
2025-01-31,-0.46,0.65,0.18,neg_then_up,negative,up
2025-05-01,1.42,0.72,2.15,pos_then_up,positive,up
2025-08-05,0.64,-0.05,0.59,pos_then_down,positive,down
2025-11-04,-0.68,-1.25,-1.92,neg_then_down,negative,down
