date,close_to_open_pct,open_to_close_pct,close_to_close_pct,scenario,conditional_sign,next_day_sign
2004-01-13,0.96,1.69,2.66,pos_then_up,positive,up
2004-10-19,1.85,1.23,3.1,pos_then_up,positive,up
2005-01-10,-0.79,-0.32,-1.11,neg_then_down,negative,down
2005-07-19,-0.07,1.87,1.8,neg_then_up,negative,up
2005-10-14,-1.09,-0.13,-1.22,neg_then_down,negative,down
2006-02-07,0.45,-0.58,-0.13,pos_then_down,positive,down
2006-07-27,0.73,-2.13,-1.41,pos_then_down,positive,down
2006-10-18,3.04,2.69,5.81,pos_then_up,positive,up
2007-01-10,-1.23,2.44,1.18,neg_then_up,negative,up
2007-04-23,-2.11,0.57,-1.55,neg_then_up,negative,up
2007-07-20,-0.27,-0.34,-0.61,neg_then_down,negative,down
2007-10-19,-0.9,0.07,-0.83,neg_then_up,negative,up
2008-02-05,0.86,-1.94,-1.1,pos_then_down,positive,down
2008-04-21,3.3,-4.16,-1.0,pos_then_down,positive,down
2008-07-21,-2.1,-9.1,-11.01,neg_then_down,negative,down
2008-10-08,3.24,-9.2,-6.26,pos_then_down,positive,down
2009-01-29,3.88,-2.53,1.26,pos_then_down,positive,down
2009-04-15,-0.77,0.44,-0.33,neg_then_up,negative,up
2009-07-21,0.19,-1.74,-1.55,pos_then_down,positive,down
2009-10-20,-0.35,-3.86,-4.2,neg_then_down,negative,down
2010-02-10,-6.27,-3.86,-9.89,neg_then_down,negative,down
2010-04-26,-2.55,3.2,0.57,neg_then_up,negative,up
2010-07-20,0.8,-5.54,-4.78,pos_then_down,positive,down
2010-10-19,3.69,1.78,5.53,pos_then_up,positive,up
2011-01-10,0.27,0.81,1.08,pos_then_up,positive,up
2011-04-20,2.97,-1.78,1.13,pos_then_down,positive,down
2011-10-20,1.3,-1.28,0.0,pos_then_down,positive,down
2012-02-02,0.86,2.38,3.25,pos_then_up,positive,up
2012-04-19,0.68,0.85,1.54,pos_then_up,positive,up
2012-07-26,1.01,3.98,5.03,pos_then_up,positive,up
2012-10-18,-0.74,-2.61,-3.33,neg_then_down,negative,down
2013-01-29,0.28,2.67,2.96,pos_then_up,positive,up
2013-04-25,0.8,-1.97,-1.19,pos_then_down,positive,down
2013-07-25,-0.28,1.48,1.2,neg_then_up,negative,up
2013-10-24,0.09,0.61,0.69,pos_then_up,positive,up
2014-02-04,-0.62,-0.08,-0.7,neg_then_down,negative,down
2014-04-29,0.08,-1.02,-0.94,pos_then_down,positive,down
2014-10-22,1.22,1.92,3.17,pos_then_up,positive,up
2015-02-04,0.87,0.27,1.14,pos_then_up,positive,up
2015-04-28,-0.34,-0.57,-0.9,neg_then_down,negative,down
2015-07-23,-0.8,-0.63,-1.42,neg_then_down,negative,down
2015-10-28,-0.11,-1.09,-1.2,neg_then_down,negative,down
2016-02-04,-0.52,-3.65,-4.15,neg_then_down,negative,down
2016-04-27,0.82,-1.09,-0.27,pos_then_down,positive,down
2016-07-28,-0.04,-0.21,-0.25,neg_then_down,negative,down
2016-10-26,0.36,-3.07,-2.72,pos_then_down,positive,down
2017-02-02,0.36,0.12,0.48,pos_then_up,positive,up
2017-04-27,-0.8,1.58,0.76,neg_then_up,negative,up
2017-07-27,0.11,-0.26,-0.15,pos_then_down,positive,down
2017-10-26,0.38,-1.49,-1.11,pos_then_down,positive,down
2018-01-09,-0.93,-0.65,-1.57,neg_then_down,negative,down
2018-04-25,0.51,-0.41,0.1,pos_then_down,positive,down
2018-07-25,0.52,-0.49,0.03,pos_then_down,positive,down
2018-10-24,0.48,1.51,1.99,pos_then_up,positive,up
2019-01-08,0.82,0.59,1.41,pos_then_up,positive,up
2019-04-24,0.08,4.12,4.2,pos_then_up,positive,up
2019-07-24,0.02,-2.03,-2.01,pos_then_down,positive,down
2019-10-23,0.32,0.8,1.12,pos_then_up,positive,up
2020-01-14,0.35,-0.56,-0.21,pos_then_down,positive,down
2020-03-30,-0.32,3.46,3.13,neg_then_up,negative,up
2020-07-29,-1.63,-0.56,-2.19,neg_then_down,negative,down
2020-10-28,-0.26,-1.41,-1.67,neg_then_down,negative,down
2021-01-12,-0.23,2.3,2.07,neg_then_up,negative,up
2021-04-28,0.09,-0.41,-0.32,pos_then_down,positive,down
2021-07-27,-0.22,0.04,-0.18,neg_then_up,negative,up
2021-10-27,-0.46,-0.67,-1.12,neg_then_down,negative,down
2022-02-02,-0.34,3.17,2.82,neg_then_up,negative,up
2022-04-27,0.88,-1.63,-0.77,pos_then_down,positive,down
2022-07-27,-0.12,2.24,2.11,neg_then_up,negative,up
2022-10-26,0.05,-0.55,-0.5,pos_then_down,positive,down
2023-02-01,0.23,0.88,1.11,pos_then_up,positive,up
2023-04-26,-0.39,2.22,1.82,neg_then_up,negative,up
2023-07-27,0.78,-2.56,-1.8,pos_then_down,positive,down
2023-10-26,0.98,-1.49,-0.52,pos_then_down,positive,down
2024-01-31,1.91,0.54,2.47,pos_then_up,positive,up
2024-04-24,0.3,0.18,0.48,pos_then_up,positive,up
2024-07-24,0.63,-5.1,-4.5,pos_then_down,positive,down
2024-10-23,1.05,-3.7,-2.69,pos_then_down,positive,down
2025-02-05,0.71,-0.66,0.05,pos_then_down,positive,down
2025-04-23,0.11,2.13,2.24,pos_then_up,positive,up
2025-07-23,0.55,-1.98,-1.44,pos_then_down,positive,down
2025-10-22,0.42,-1.82,-1.41,pos_then_down,positive,down
