date,close_to_open_pct,close_to_close_pct,open_to_close_pct,scenario,gap_sign,intraday_sign
2004-10-27,-0.3,0.88,1.19,neg_then_up,negative,up
2005-04-27,1.19,1.31,0.12,pos_then_up,positive,up
2005-10-26,-0.36,-1.06,-0.7,neg_then_down,negative,down
2006-04-26,0.99,2.2,1.2,pos_then_up,positive,up
2006-07-27,0.63,2.26,1.62,pos_then_up,positive,up
2006-10-25,0.18,0.56,0.38,pos_then_up,positive,up
2007-04-25,0.01,0.21,0.2,pos_then_up,positive,up
2007-10-24,0.6,1.01,0.41,pos_then_up,positive,up
2008-01-30,0.47,2.68,2.2,pos_then_up,positive,up
2008-04-30,1.02,4.53,3.47,pos_then_up,positive,up
2008-07-23,-2.5,-6.88,-4.49,neg_then_down,negative,down
2008-10-29,2.67,2.82,0.15,pos_then_up,positive,up
2009-01-29,1.4,-2.17,-3.52,pos_then_down,positive,down
2009-04-30,-1.54,-5.85,-4.38,neg_then_down,negative,down
2009-07-21,-1.55,2.09,3.69,neg_then_up,negative,up
2009-10-27,-1.77,-6.01,-4.31,neg_then_down,negative,down
2010-01-27,1.05,0.49,-0.55,pos_then_down,positive,down
2010-04-28,0.86,5.82,4.92,pos_then_up,positive,up
2010-07-28,0.78,-0.54,-1.31,pos_then_down,positive,down
2010-10-27,0.65,-1.25,-1.89,pos_then_down,positive,down
2011-01-26,0.71,1.51,0.79,pos_then_up,positive,up
2011-05-03,-0.02,0.69,0.71,neg_then_up,negative,up
2011-08-02,-0.19,-0.35,-0.15,neg_then_down,negative,down
2011-10-25,-1.75,1.2,3.01,neg_then_up,negative,up
2012-02-01,-0.03,0.07,0.09,neg_then_up,negative,up
2012-05-02,0.18,-1.38,-1.56,pos_then_down,positive,down
2012-08-06,-0.4,-0.57,-0.17,neg_then_down,negative,down
2012-10-24,1.03,-0.33,-1.35,pos_then_down,positive,down
2013-01-30,0.01,-1.15,-1.16,pos_then_down,positive,down
2013-05-01,0.17,0.32,0.15,pos_then_up,positive,up
2013-07-31,-0.03,-1.82,-1.8,neg_then_down,negative,down
2013-10-30,-0.06,-1.48,-1.43,neg_then_down,negative,down
2014-01-29,0.69,2.08,1.38,pos_then_up,positive,up
2014-04-30,0.16,0.93,0.77,pos_then_up,positive,up
2014-07-30,-0.22,-1.26,-1.04,neg_then_down,negative,down
2014-10-29,-0.48,0.67,1.15,neg_then_up,negative,up
2015-01-30,0.47,1.02,0.55,pos_then_up,positive,up
2015-04-28,-0.72,-2.51,-1.8,neg_then_down,negative,down
2015-07-30,0.79,-0.05,-0.84,pos_then_down,positive,down
2015-10-30,-0.05,3.11,3.16,neg_then_up,negative,up
2016-02-04,-1.04,-1.84,-0.81,neg_then_down,negative,down
2016-04-27,-0.26,-0.73,-0.47,neg_then_down,negative,down
2016-07-27,0.06,0.57,0.5,pos_then_up,positive,up
2016-10-26,-0.91,-2.53,-1.63,neg_then_down,negative,down
2017-02-01,-0.14,0.93,1.07,neg_then_up,negative,up
2017-08-02,0.02,1.54,1.53,pos_then_up,positive,up
2017-11-02,-0.57,-1.7,-1.14,neg_then_down,negative,down
2018-01-31,-0.1,-3.65,-3.56,neg_then_down,negative,down
2018-04-25,0.16,1.9,1.74,pos_then_up,positive,up
2018-08-01,-0.55,-0.72,-0.17,neg_then_down,negative,down
2018-10-31,-0.05,-0.7,-0.65,neg_then_down,negative,down
2019-01-30,-0.09,1.08,1.17,neg_then_up,negative,up
2019-05-01,-0.04,-1.94,-1.9,neg_then_down,negative,down
2019-07-30,1.12,-0.05,-1.15,pos_then_down,positive,down
2019-10-30,-0.4,-1.25,-0.85,neg_then_down,negative,down
2020-01-29,-0.28,0.46,0.74,neg_then_up,negative,up
2020-04-28,4.05,1.22,-2.72,pos_then_down,positive,down
2020-07-29,-2.47,-2.56,-0.09,neg_then_down,negative,down
2020-10-27,-0.98,-3.51,-2.56,neg_then_down,negative,down
2021-01-26,-0.78,-3.24,-2.48,neg_then_down,negative,down
2021-04-27,0.26,-0.52,-0.78,pos_then_down,positive,down
2021-07-27,1.32,1.51,0.2,pos_then_up,positive,up
2021-10-26,1.1,-2.92,-3.98,pos_then_down,positive,down
2022-01-26,1.25,-3.64,-4.82,pos_then_down,positive,down
2022-05-02,3.59,3.53,-0.06,pos_then_down,positive,down
2022-07-26,1.83,1.89,0.06,pos_then_up,positive,up
2022-10-26,1.43,-2.7,-4.07,pos_then_down,positive,down
2023-02-01,2.84,5.35,2.44,pos_then_up,positive,up
2023-04-25,3.42,1.75,-1.61,pos_then_down,positive,down
2023-08-01,-0.9,3.6,4.54,neg_then_up,negative,up
2023-11-01,2.58,4.37,1.75,pos_then_up,positive,up
2024-01-30,-0.71,-5.0,-4.32,neg_then_down,negative,down
2024-04-30,-6.29,-4.27,2.16,neg_then_up,negative,up
2024-07-30,-1.38,-1.82,-0.45,neg_then_down,negative,down
2024-10-29,-1.01,-3.99,-3.01,neg_then_down,negative,down
2025-01-28,-3.77,-5.93,-2.24,neg_then_down,negative,down
2025-04-29,-4.61,-2.13,2.59,neg_then_up,negative,up
2025-07-30,-0.9,-1.51,-0.61,neg_then_down,negative,down
2025-10-28,-1.4,-5.03,-3.68,neg_then_down,negative,down
