date,close_to_open_pct,close_to_close_pct,open_to_close_pct,scenario,gap_sign,intraday_sign
2003-09-18,0.22,-1.39,-1.61,pos_then_down,positive,down
2003-12-22,0.11,0.96,0.84,pos_then_up,positive,up
2004-03-25,-0.34,-0.08,0.26,neg_then_up,negative,up
2004-07-01,-0.34,0.67,1.02,neg_then_up,negative,up
2004-09-22,-0.39,-0.73,-0.35,neg_then_down,negative,down
2004-12-22,0.64,2.25,1.59,pos_then_up,positive,up
2005-03-24,-2.1,0.5,2.65,neg_then_up,negative,up
2005-06-07,-0.61,-1.06,-0.45,neg_then_down,negative,down
2005-09-21,-0.04,-0.96,-0.91,neg_then_down,negative,down
2005-12-05,-3.01,-2.5,0.53,neg_then_up,negative,up
2006-03-23,0.29,1.7,1.41,pos_then_up,positive,up
2006-06-16,0.23,-0.54,-0.77,pos_then_down,positive,down
2006-09-07,0.26,-0.04,-0.3,pos_then_down,positive,down
2006-12-21,-0.15,-0.44,-0.29,neg_then_down,negative,down
2007-03-22,-0.36,0.12,0.48,neg_then_up,negative,up
2007-06-27,0.71,1.12,0.41,pos_then_up,positive,up
2007-09-20,1.1,-0.42,-1.5,pos_then_down,positive,down
2007-12-05,2.09,6.31,4.14,pos_then_up,positive,up
2008-03-27,0.6,2.73,2.12,pos_then_up,positive,up
2008-06-24,0.87,-3.36,-4.2,pos_then_down,positive,down
2008-09-02,-8.99,-8.53,0.51,neg_then_up,negative,up
2008-12-17,1.91,1.85,-0.06,pos_then_down,positive,down
2009-03-26,-0.35,-0.24,0.12,neg_then_up,negative,up
2009-09-22,0.5,-0.64,-1.13,pos_then_down,positive,down
2009-12-21,2.02,4.31,2.25,pos_then_up,positive,up
2010-03-25,-0.36,-1.2,-0.85,neg_then_down,negative,down
2010-06-07,-0.13,1.83,1.96,neg_then_up,negative,up
2010-09-21,-0.56,-0.7,-0.14,neg_then_down,negative,down
2011-03-24,0.13,1.84,1.71,pos_then_up,positive,up
2011-06-23,-0.16,-0.67,-0.51,neg_then_down,negative,down
2011-09-20,0.22,0.17,-0.04,pos_then_down,positive,down
2011-12-20,0.5,1.03,0.53,pos_then_up,positive,up
2012-03-22,-0.11,-0.61,-0.5,neg_then_down,negative,down
2012-06-21,0.75,0.36,-0.39,pos_then_down,positive,down
2012-09-20,0.7,0.99,0.29,pos_then_up,positive,up
2012-12-20,-0.5,-1.19,-0.7,neg_then_down,negative,down
2013-04-03,0.29,-0.63,-0.92,pos_then_down,positive,down
2013-06-27,-0.11,-0.31,-0.2,neg_then_down,negative,down
2013-09-10,0.79,1.11,0.31,pos_then_up,positive,up
2013-12-19,-0.03,0.21,0.24,neg_then_up,negative,up
2014-03-20,0.47,0.27,-0.2,pos_then_down,positive,down
2014-06-18,-1.15,-3.58,-2.46,neg_then_down,negative,down
2014-09-18,0.48,0.39,-0.09,pos_then_down,positive,down
2014-12-18,-0.14,0.77,0.9,neg_then_up,negative,up
2015-03-26,0.29,5.78,5.48,pos_then_up,positive,up
2015-06-30,0.41,2.01,1.59,pos_then_up,positive,up
2015-09-22,0.41,0.25,-0.15,pos_then_down,positive,down
2015-12-22,0.02,2.39,2.36,pos_then_up,positive,up
2016-04-07,0.61,0.11,-0.5,pos_then_down,positive,down
2016-06-30,0.21,1.21,1.0,pos_then_up,positive,up
2016-09-29,0.69,1.86,1.16,pos_then_up,positive,up
2016-12-22,-0.18,1.22,1.4,neg_then_up,negative,up
2017-03-23,0.35,0.3,-0.05,pos_then_down,positive,down
2017-06-29,0.39,-0.89,-1.27,pos_then_down,positive,down
2017-09-28,0.71,-0.62,-1.32,pos_then_down,positive,down
2017-12-21,0.5,0.61,0.11,pos_then_up,positive,up
2018-03-22,0.45,0.14,-0.31,pos_then_down,positive,down
2018-06-27,-0.2,1.07,1.27,neg_then_up,negative,up
2018-09-27,0.06,3.0,2.94,pos_then_up,positive,up
2018-12-20,-1.11,-8.77,-7.75,neg_then_down,negative,down
2019-03-21,0.5,2.44,1.93,pos_then_up,positive,up
2019-06-27,0.08,4.29,4.2,pos_then_up,positive,up
2019-09-23,0.03,2.28,2.25,pos_then_up,positive,up
2019-12-19,0.03,4.19,4.16,pos_then_up,positive,up
2020-03-31,-3.41,1.43,5.01,neg_then_up,negative,up
2020-06-30,0.65,1.42,0.76,pos_then_up,positive,up
2021-01-07,0.33,0.86,0.53,pos_then_up,positive,up
2021-04-08,-0.21,-2.98,-2.77,neg_then_down,negative,down
2021-07-13,-1.74,-0.26,1.5,neg_then_up,negative,up
2021-10-07,-1.55,-1.46,0.09,neg_then_up,negative,up
2022-01-06,0.39,3.64,3.24,pos_then_up,positive,up
2022-07-14,0.36,1.75,1.38,pos_then_up,positive,up
2023-01-05,1.0,2.48,1.46,pos_then_up,positive,up
2023-04-05,0.86,0.29,-0.57,pos_then_down,positive,down
2023-07-13,-0.36,-0.78,-0.42,neg_then_down,negative,down
2023-10-05,0.04,1.58,1.54,pos_then_up,positive,up
2024-01-04,-0.38,-1.78,-1.4,neg_then_down,negative,down
2024-04-04,0.23,1.47,1.24,pos_then_up,positive,up
2024-10-02,-0.57,-2.43,-1.87,neg_then_down,negative,down
2024-12-19,-0.34,1.12,1.46,neg_then_up,negative,up
2025-04-03,-0.3,-0.37,-0.07,neg_then_down,negative,down
2025-07-10,0.21,-0.46,-0.67,pos_then_down,positive,down
2025-10-01,-1.09,-0.62,0.47,neg_then_up,negative,up
