date,close_to_open_pct,open_to_close_pct,close_to_close_pct,scenario,conditional_sign,next_day_sign
2007-02-09,-0.29,-1.81,-2.09,neg_then_down,negative,down
2007-05-02,0.14,-3.04,-2.9,pos_then_down,positive,down
2007-08-01,0.76,4.34,5.12,pos_then_up,positive,up
2007-10-31,-0.41,-2.32,-2.73,neg_then_down,negative,down
2008-02-07,-0.24,2.32,2.08,neg_then_up,negative,up
2008-04-24,-0.33,1.06,0.72,neg_then_up,negative,up
2008-11-05,0.14,-15.64,-15.52,pos_then_down,positive,down
2009-02-25,2.93,-3.17,-0.34,pos_then_down,positive,down
2009-04-30,0.9,-2.43,-1.55,pos_then_down,positive,down
2009-10-20,-0.18,-1.98,-2.16,neg_then_down,negative,down
2010-01-28,0.11,-0.73,-0.62,pos_then_down,positive,down
2010-04-29,-0.21,-1.07,-1.28,neg_then_down,negative,down
2010-07-29,-0.03,0.84,0.82,neg_then_up,negative,up
2010-10-28,-0.28,1.41,1.13,neg_then_up,negative,up
2011-01-27,0.09,-1.94,-1.85,pos_then_down,positive,down
2011-04-28,-0.11,-1.74,-1.85,neg_then_down,negative,down
2011-07-28,-0.82,-0.34,-1.16,neg_then_down,negative,down
2011-10-26,2.38,-0.02,2.35,pos_then_down,positive,down
2012-01-25,0.3,-1.09,-0.79,pos_then_down,positive,down
2012-04-25,0.14,0.16,0.3,pos_then_up,positive,up
2012-07-26,0.26,1.38,1.65,pos_then_up,positive,up
2012-10-25,-0.17,0.79,0.62,neg_then_up,negative,up
2013-01-24,0.35,-1.52,-1.17,pos_then_down,positive,down
2013-04-24,1.84,4.12,6.04,pos_then_up,positive,up
2013-07-24,0.22,-4.16,-3.95,pos_then_down,positive,down
2013-10-21,1.15,-0.86,0.28,pos_then_down,positive,down
2014-01-22,0.38,-1.15,-0.77,pos_then_down,positive,down
2014-04-24,-0.45,-0.99,-1.44,neg_then_down,negative,down
2014-07-23,-0.13,-3.49,-3.62,neg_then_down,negative,down
2014-10-30,-2.1,-4.14,-6.15,neg_then_down,negative,down
2015-01-21,2.95,1.78,4.78,pos_then_up,positive,up
2015-04-22,-0.49,1.21,0.72,neg_then_up,negative,up
2015-07-22,0.96,2.31,3.29,pos_then_up,positive,up
2015-10-21,0.76,3.62,4.4,pos_then_up,positive,up
2016-01-27,0.37,1.57,1.95,pos_then_up,positive,up
2016-04-21,0.2,1.96,2.17,pos_then_up,positive,up
2016-07-21,-0.08,0.69,0.61,neg_then_up,negative,up
2016-10-20,-1.04,4.78,3.69,neg_then_up,negative,up
2017-01-25,1.01,-0.06,0.95,pos_then_down,positive,down
2017-04-24,2.13,-2.54,-0.46,pos_then_down,positive,down
2017-07-19,0.04,-1.45,-1.41,pos_then_down,positive,down
2017-10-18,1.21,1.02,2.24,pos_then_up,positive,up
2018-01-24,-0.19,-0.7,-0.89,neg_then_down,negative,down
2018-04-18,-1.4,-2.34,-3.71,neg_then_down,negative,down
2018-07-18,-0.72,1.26,0.53,neg_then_up,negative,up
2018-10-17,-0.74,0.58,-0.16,neg_then_up,negative,up
2019-01-23,0.47,1.01,1.49,pos_then_up,positive,up
2019-04-17,-1.95,0.71,-1.25,neg_then_up,negative,up
2019-07-17,-4.79,1.24,-3.61,neg_then_up,negative,up
2019-10-16,0.62,3.0,3.63,pos_then_up,positive,up
2020-02-26,-8.57,-0.23,-8.78,neg_then_down,negative,down
2020-04-29,-3.11,5.86,2.57,neg_then_up,negative,up
2020-07-29,-2.83,0.75,-2.11,neg_then_up,negative,up
2020-10-21,-0.7,-3.93,-4.6,neg_then_down,negative,down
2021-01-27,-1.52,0.43,-1.09,neg_then_up,negative,up
2021-04-21,0.33,0.39,0.72,pos_then_up,positive,up
2021-07-21,-5.06,0.58,-4.51,neg_then_up,negative,up
2021-10-20,-1.06,2.77,1.68,neg_then_up,negative,up
2022-01-26,0.34,-3.34,-3.01,pos_then_down,positive,down
2022-04-20,0.6,-1.36,-0.77,pos_then_down,positive,down
2022-07-20,0.63,0.82,1.45,pos_then_up,positive,up
2022-10-19,-3.75,0.79,-2.98,neg_then_up,negative,up
2023-01-25,0.83,0.99,1.83,pos_then_up,positive,up
2023-04-19,-1.59,-3.42,-4.96,neg_then_down,negative,down
2023-07-19,-5.3,0.02,-5.29,neg_then_up,negative,up
2023-10-18,-3.18,-2.44,-5.54,neg_then_down,negative,down
2024-01-24,3.23,1.69,4.97,pos_then_up,positive,up
2024-04-17,2.84,-1.38,1.42,pos_then_down,positive,down
2024-07-17,-0.6,0.04,-0.56,neg_then_up,negative,up
2024-10-16,-3.18,-0.22,-3.4,neg_then_down,negative,down
2025-03-13,7.37,2.79,10.37,pos_then_up,positive,up
2025-07-23,2.95,0.83,3.81,pos_then_up,positive,up
2025-10-22,2.35,-1.73,0.58,pos_then_down,positive,down
