date,close_to_open_pct,close_to_close_pct,open_to_close_pct,scenario,gap_sign,intraday_sign
2010-03-02,0.33,1.15,0.82,pos_then_up,positive,up
2010-05-06,-1.43,-1.3,0.13,neg_then_up,negative,up
2010-11-03,1.95,7.2,5.15,pos_then_up,positive,up
2011-03-01,1.45,4.03,2.54,pos_then_up,positive,up
2011-05-03,-0.14,-0.77,-0.63,neg_then_down,negative,down
2011-08-02,0.04,0.73,0.69,pos_then_up,positive,up
2011-11-01,0.32,2.86,2.53,pos_then_up,positive,up
2012-02-27,0.2,-0.02,-0.22,pos_then_down,positive,down
2012-05-08,-1.03,3.34,4.42,neg_then_up,negative,up
2012-08-07,-1.54,-0.87,0.68,neg_then_up,negative,up
2012-11-06,-1.08,-3.0,-1.95,neg_then_down,negative,down
2013-02-22,-1.33,-2.02,-0.7,neg_then_down,negative,down
2013-05-07,-0.85,0.32,1.18,neg_then_up,negative,up
2013-08-06,-0.61,2.03,2.66,neg_then_up,negative,up
2013-11-05,-0.09,-1.63,-1.54,neg_then_down,negative,down
2014-02-21,-0.06,-1.2,-1.14,neg_then_down,negative,down
2014-04-28,-0.5,-2.07,-1.58,neg_then_down,negative,down
2014-07-31,0.75,-1.46,-2.2,pos_then_down,positive,down
2014-10-29,-0.82,0.45,1.28,neg_then_up,negative,up
2015-02-05,0.86,-0.5,-1.35,pos_then_down,positive,down
2015-05-01,0.41,0.03,-0.38,pos_then_down,positive,down
2015-08-04,1.84,-1.54,-3.32,pos_then_down,positive,down
2015-10-29,-0.07,-1.24,-1.16,neg_then_down,negative,down
2016-02-04,-6.04,-1.15,5.21,neg_then_up,negative,up
2016-04-28,-1.01,1.19,2.22,neg_then_up,negative,up
2016-11-03,-2.39,1.14,3.61,neg_then_up,negative,up
2017-02-16,-0.18,0.64,0.83,neg_then_up,negative,up
2017-05-02,-0.68,-3.91,-3.25,neg_then_down,negative,down
2017-07-27,-0.41,0.92,1.33,neg_then_up,negative,up
2017-10-26,-0.46,1.1,1.57,neg_then_up,negative,up
2018-02-02,1.06,-3.85,-4.86,pos_then_down,positive,down
2018-04-27,0.29,3.02,2.73,pos_then_up,positive,up
2018-07-31,0.13,-1.03,-1.17,pos_then_down,positive,down
2018-10-26,1.4,1.98,0.58,pos_then_up,positive,up
2019-01-31,0.25,2.99,2.74,pos_then_up,positive,up
2019-04-30,0.52,-0.04,-0.56,pos_then_down,positive,down
2019-10-25,0.79,1.06,0.27,pos_then_up,positive,up
2020-01-31,1.04,2.82,1.76,pos_then_up,positive,up
2020-05-01,0.88,1.19,0.31,pos_then_up,positive,up
2020-07-31,0.86,1.67,0.8,pos_then_up,positive,up
2020-10-30,0.21,-2.55,-2.75,pos_then_down,positive,down
2021-01-29,0.57,-1.41,-1.96,pos_then_down,positive,down
2021-04-30,0.84,0.57,-0.26,pos_then_down,positive,down
2021-07-30,0.63,0.78,0.15,pos_then_up,positive,up
2021-10-29,0.02,-0.52,-0.54,pos_then_down,positive,down
2022-01-28,-0.25,0.49,0.74,neg_then_up,negative,up
2022-04-29,0.7,0.95,0.24,pos_then_up,positive,up
2022-07-29,-1.75,-1.28,0.47,neg_then_up,negative,up
2022-10-28,-1.32,-0.17,1.16,neg_then_up,negative,up
2023-01-27,-0.61,-0.88,-0.28,neg_then_down,negative,down
2023-04-28,-0.02,-0.59,-0.58,neg_then_down,negative,down
2023-07-28,0.64,2.11,1.47,pos_then_up,positive,up
2023-10-27,-0.44,4.78,5.25,neg_then_up,negative,up
2024-02-02,-0.97,-4.87,-3.94,neg_then_down,negative,down
2024-04-26,0.4,2.02,1.62,pos_then_up,positive,up
2024-07-26,-0.3,2.65,2.96,neg_then_up,negative,up
2024-11-01,2.87,2.55,-0.31,pos_then_down,positive,down
2025-01-31,0.29,-1.15,-1.44,pos_then_down,positive,down
2025-07-25,-0.24,-3.71,-3.48,neg_then_down,negative,down
2025-10-31,-1.08,-4.98,-3.94,neg_then_down,negative,down
