date,close_to_open_pct,close_to_close_pct,open_to_close_pct,scenario,gap_sign,intraday_sign
2019-05-02,-0.03,-3.41,-3.38,neg_then_down,negative,down
2019-08-01,0.18,-1.78,-1.96,pos_then_down,positive,down
2019-10-31,0.42,0.59,0.17,pos_then_up,positive,up
2020-02-06,-0.56,-1.39,-0.83,neg_then_down,negative,down
2020-04-30,-1.93,-4.44,-2.56,neg_then_down,negative,down
2020-07-30,-0.8,-3.24,-2.46,neg_then_down,negative,down
2020-11-05,-0.73,-5.93,-5.23,neg_then_down,negative,down
2021-02-04,1.03,-0.95,-1.96,pos_then_down,positive,down
2021-05-07,0.66,2.19,1.53,pos_then_up,positive,up
2021-08-05,0.46,1.5,1.04,pos_then_up,positive,up
2021-11-04,0.7,0.45,-0.25,pos_then_down,positive,down
2022-02-03,-1.94,1.75,3.76,neg_then_up,negative,up
2022-05-06,-0.04,-2.06,-2.02,neg_then_down,negative,down
2022-08-04,-0.55,0.6,1.15,neg_then_up,negative,up
2022-11-03,0.85,-0.65,-1.49,pos_then_down,positive,down
2023-02-03,0.42,-1.42,-1.83,pos_then_down,positive,down
2023-05-05,-0.64,1.51,2.17,neg_then_up,negative,up
2023-08-03,0.04,-0.37,-0.41,pos_then_down,positive,down
2023-11-02,-0.37,-2.58,-2.22,neg_then_down,negative,down
2024-02-02,1.09,-0.79,-1.86,pos_then_down,positive,down
2024-05-02,-0.64,-0.87,-0.23,neg_then_down,negative,down
2024-08-01,0.2,1.42,1.22,pos_then_up,positive,up
2024-10-31,-0.48,0.53,1.02,neg_then_up,negative,up
2025-01-30,0.61,3.97,3.34,pos_then_up,positive,up
2025-05-02,0.68,-0.52,-1.19,pos_then_down,positive,down
2025-07-31,0.79,-1.93,-2.69,pos_then_down,positive,down
2025-10-30,0.39,-1.09,-1.47,pos_then_down,positive,down
