date,close_to_open_pct,open_to_close_pct,close_to_close_pct,scenario,conditional_sign,next_day_sign
2004-05-06,0.02,0.37,0.39,pos_then_up,positive,up
2004-11-02,0.89,0.74,1.64,pos_then_up,positive,up
2005-02-07,0.37,-0.2,0.17,pos_then_down,positive,down
2005-05-05,-2.61,1.04,-1.61,neg_then_up,negative,up
2005-08-04,-0.12,-0.85,-0.97,neg_then_down,negative,down
2005-10-11,-0.11,-0.2,-0.32,neg_then_down,negative,down
2006-02-02,-1.79,-0.32,-2.11,neg_then_down,negative,down
2006-05-03,1.45,-0.63,0.81,pos_then_down,positive,down
2006-08-02,-0.74,0.42,-0.32,neg_then_up,negative,up
2006-11-01,-0.33,0.61,0.28,neg_then_up,negative,up
2007-05-02,0.01,-1.07,-1.05,pos_then_down,positive,down
2007-08-02,-0.25,0.3,0.05,neg_then_up,negative,up
2007-10-31,-0.43,0.02,-0.42,neg_then_up,negative,up
2008-02-04,-0.41,-1.74,-2.14,neg_then_down,negative,down
2008-05-01,0.53,-2.75,-2.23,pos_then_down,positive,down
2008-07-15,-0.08,0.04,-0.04,neg_then_up,negative,up
2008-10-31,1.12,0.49,1.61,pos_then_up,positive,up
2009-02-04,-0.38,1.2,0.82,neg_then_up,negative,up
2009-05-01,1.93,-3.81,-1.95,pos_then_down,positive,down
2009-08-03,0.08,-0.51,-0.42,pos_then_down,positive,down
2009-11-02,1.2,-2.41,-1.25,pos_then_down,positive,down
2010-02-04,0.3,0.07,0.36,pos_then_up,positive,up
2010-05-03,-1.11,-0.47,-1.58,neg_then_down,negative,down
2010-08-03,0.33,0.34,0.67,pos_then_up,positive,up
2010-11-02,0.08,-0.91,-0.83,pos_then_down,positive,down
2011-01-03,-0.19,0.2,0.0,neg_then_up,negative,up
2011-05-03,0.03,0.59,0.62,pos_then_up,positive,up
2011-08-03,-1.0,-4.94,-5.89,neg_then_down,negative,down
2011-11-02,0.17,-1.75,-1.58,pos_then_down,positive,down
2012-02-03,-0.43,-0.22,-0.64,neg_then_down,negative,down
2012-05-02,0.21,-1.34,-1.14,pos_then_down,positive,down
2012-08-02,0.91,-1.54,-0.64,pos_then_down,positive,down
2012-10-31,0.24,0.44,0.68,pos_then_up,positive,up
2013-02-04,0.35,-0.01,0.34,pos_then_down,positive,down
2013-05-01,0.04,0.95,0.99,pos_then_up,positive,up
2013-08-01,-0.04,0.61,0.58,neg_then_up,negative,up
2013-10-31,-0.7,0.06,-0.64,neg_then_up,negative,up
2014-02-04,-1.39,-0.07,-1.46,neg_then_down,negative,down
2014-05-01,-0.07,0.27,0.2,neg_then_up,negative,up
2014-08-01,-0.28,-2.88,-3.15,neg_then_down,negative,down
2014-10-31,0.48,-0.15,0.33,pos_then_down,positive,down
2015-02-04,-0.16,-1.26,-1.42,neg_then_down,negative,down
2015-08-03,-0.01,1.62,1.61,neg_then_up,negative,up
2015-11-02,-0.36,-0.5,-0.85,neg_then_down,negative,down
2016-02-04,0.19,-0.46,-0.26,pos_then_down,positive,down
2016-05-03,-0.32,0.19,-0.14,neg_then_up,negative,up
2016-08-03,0.02,1.75,1.76,pos_then_up,positive,up
2016-11-02,-0.29,-0.53,-0.82,neg_then_down,negative,down
2017-02-03,0.3,-1.39,-1.09,pos_then_down,positive,down
2017-05-03,0.27,0.61,0.88,pos_then_up,positive,up
2017-08-03,0.02,-0.2,-0.18,pos_then_down,positive,down
2017-11-01,-0.28,1.27,0.98,neg_then_up,negative,up
2018-02-02,-0.54,-2.46,-2.99,neg_then_down,negative,down
2018-05-02,-0.32,2.47,2.15,neg_then_up,negative,up
2018-08-02,-0.03,0.48,0.45,neg_then_up,negative,up
2018-10-31,-0.15,3.72,3.56,neg_then_up,negative,up
2019-02-04,-0.56,-3.0,-3.55,neg_then_down,negative,down
2019-05-01,-0.04,0.43,0.39,neg_then_up,negative,up
2019-08-01,-0.02,0.51,0.49,neg_then_up,negative,up
2019-10-31,-0.24,-0.2,-0.44,neg_then_down,negative,down
2020-02-04,-0.21,1.26,1.05,neg_then_up,negative,up
2020-05-01,1.25,2.13,3.4,pos_then_up,positive,up
2020-08-03,-0.03,2.52,2.49,neg_then_up,negative,up
2020-11-02,0.5,-1.73,-1.24,pos_then_down,positive,down
2021-02-04,0.18,-0.39,-0.21,pos_then_down,positive,down
2021-04-30,-3.01,2.05,-1.02,neg_then_up,negative,up
2021-08-03,-0.94,1.91,0.94,neg_then_up,negative,up
2021-11-01,2.2,-0.96,1.22,pos_then_down,positive,down
2022-02-03,-12.35,-2.42,-14.47,neg_then_down,negative,down
2022-05-02,-0.99,4.02,2.99,neg_then_up,negative,up
2022-08-03,-5.44,0.78,-4.71,neg_then_up,negative,up
2022-11-01,1.94,-7.91,-6.13,pos_then_down,positive,down
2023-02-02,8.51,1.16,9.77,pos_then_up,positive,up
2023-05-02,0.79,3.89,4.7,pos_then_up,positive,up
2023-08-02,6.22,2.58,8.96,pos_then_up,positive,up
2023-10-04,-4.42,-0.85,-5.23,neg_then_down,negative,down
2024-02-01,7.07,-1.35,5.62,pos_then_down,positive,down
2024-04-30,-5.43,-0.15,-5.57,neg_then_down,negative,down
2024-08-01,5.86,1.47,7.42,pos_then_up,positive,up
2024-10-30,3.4,-2.03,1.3,pos_then_down,positive,down
2025-02-03,-3.62,-3.76,-7.24,neg_then_down,negative,down
2025-05-05,-3.17,0.78,-2.41,neg_then_up,negative,up
2025-07-31,1.35,-3.27,-1.96,pos_then_down,positive,down
2025-11-03,2.16,-0.97,1.17,pos_then_down,positive,down
