date,close_to_open_pct,close_to_close_pct,open_to_close_pct,scenario,gap_sign,intraday_sign
2004-10-20,2.37,1.64,-0.71,pos_then_down,positive,down
2005-04-27,-0.2,-0.61,-0.41,neg_then_down,negative,down
2005-07-27,0.48,2.5,2.01,pos_then_up,positive,up
2005-11-01,0.21,-0.13,-0.34,pos_then_down,positive,down
2006-01-25,0.23,-1.87,-2.1,pos_then_down,positive,down
2006-04-12,-0.84,-0.49,0.35,neg_then_up,negative,up
2006-07-25,-1.4,-1.98,-0.59,neg_then_down,negative,down
2006-10-25,1.01,0.98,-0.03,pos_then_down,positive,down
2007-01-30,0.43,1.31,0.87,pos_then_up,positive,up
2007-04-25,-0.37,-1.3,-0.94,neg_then_down,negative,down
2007-07-25,-1.16,-1.25,-0.09,neg_then_down,negative,down
2007-10-30,0.16,1.34,1.18,pos_then_up,positive,up
2008-01-31,0.48,-1.41,-1.89,pos_then_down,positive,down
2008-04-30,1.67,2.91,1.22,pos_then_up,positive,up
2008-07-29,0.74,1.11,0.36,pos_then_up,positive,up
2008-10-30,-0.31,-2.29,-1.98,neg_then_down,negative,down
2009-01-29,0.49,-0.28,-0.76,pos_then_down,positive,down
2009-04-30,0.2,4.07,3.86,pos_then_up,positive,up
2009-07-30,0.56,0.85,0.29,pos_then_up,positive,up
2009-10-29,0.05,-0.39,-0.44,pos_then_down,positive,down
2010-01-28,0.6,0.05,-0.55,pos_then_down,positive,down
2010-04-29,0.52,-0.83,-1.34,pos_then_down,positive,down
2010-07-29,-0.38,1.1,1.49,neg_then_up,negative,up
2010-10-28,0.59,2.94,2.34,pos_then_up,positive,up
2011-01-27,-0.16,-0.52,-0.36,neg_then_down,negative,down
2011-04-28,0.84,1.66,0.81,pos_then_up,positive,up
2011-07-28,-0.24,-0.59,-0.35,neg_then_down,negative,down
2011-10-27,-1.01,-0.12,0.9,neg_then_up,negative,up
2012-01-26,-0.62,-1.04,-0.42,neg_then_down,negative,down
2012-04-26,-0.71,-1.1,-0.38,neg_then_down,negative,down
2012-07-26,-1.48,0.74,2.25,neg_then_up,negative,up
2012-10-25,0.1,-0.7,-0.79,pos_then_down,positive,down
2013-01-31,1.37,2.3,0.92,pos_then_up,positive,up
2013-04-25,0.39,-0.36,-0.74,pos_then_down,positive,down
2013-07-25,-0.27,1.06,1.33,neg_then_up,negative,up
2013-10-24,0.32,0.89,0.57,pos_then_up,positive,up
2014-01-30,-1.43,-0.42,1.02,neg_then_up,negative,up
2014-04-25,0.63,2.45,1.8,pos_then_up,positive,up
2014-07-31,-0.54,0.87,1.41,neg_then_up,negative,up
2014-10-24,-0.03,1.16,1.19,neg_then_up,negative,up
2015-01-29,-0.99,-2.19,-1.21,neg_then_down,negative,down
2015-07-30,0.06,0.0,-0.06,pos_then_down,positive,down
2015-10-30,0.63,1.72,1.08,pos_then_up,positive,up
2016-01-29,-0.89,-1.97,-1.09,neg_then_down,negative,down
2016-04-28,-0.18,-0.34,-0.15,neg_then_down,negative,down
2016-07-28,-0.18,1.61,1.79,neg_then_up,negative,up
2016-10-27,0.26,0.85,0.59,pos_then_up,positive,up
2017-01-27,-0.6,-0.23,0.37,neg_then_up,negative,up
2017-04-28,0.35,-0.33,-0.68,pos_then_down,positive,down
2017-07-21,-0.29,-1.94,-1.66,neg_then_down,negative,down
2017-10-27,-0.37,-1.7,-1.34,neg_then_down,negative,down
2018-01-26,-0.2,0.31,0.52,neg_then_up,negative,up
2018-04-27,-0.99,-2.03,-1.05,neg_then_down,negative,down
2018-07-27,-1.85,-0.3,1.57,neg_then_up,negative,up
2018-10-26,-0.76,-2.85,-2.11,neg_then_down,negative,down
2019-01-25,-0.21,1.46,1.67,neg_then_up,negative,up
2019-04-26,-0.07,0.11,0.18,neg_then_up,negative,up
2019-07-26,0.22,2.55,2.33,pos_then_up,positive,up
2019-11-01,-0.42,-2.1,-1.68,neg_then_down,negative,down
2020-01-31,0.38,1.56,1.17,pos_then_up,positive,up
2020-05-01,0.18,1.39,1.21,pos_then_up,positive,up
2020-07-31,-0.65,-0.82,-0.17,neg_then_down,negative,down
2020-10-30,1.64,1.61,-0.02,pos_then_down,positive,down
2021-01-29,0.82,0.67,-0.15,pos_then_down,positive,down
2021-04-30,0.17,0.46,0.28,pos_then_up,positive,up
2021-07-30,-0.01,0.05,0.06,neg_then_up,negative,up
2021-10-29,-0.26,-0.32,-0.05,neg_then_down,negative,down
2022-01-28,-0.98,-0.72,0.26,neg_then_up,negative,up
2022-04-29,0.03,-2.43,-2.45,pos_then_down,positive,down
2022-07-29,0.28,3.0,2.71,pos_then_up,positive,up
2022-10-28,-0.04,-1.07,-1.03,neg_then_down,negative,down
2023-01-27,0.85,1.8,0.94,pos_then_up,positive,up
2023-04-28,0.05,1.12,1.06,pos_then_up,positive,up
2023-07-28,0.05,0.85,0.79,pos_then_up,positive,up
2023-10-27,1.37,2.91,1.53,pos_then_up,positive,up
2024-01-26,0.57,1.36,0.79,pos_then_up,positive,up
2024-04-26,-0.01,-0.57,-0.56,neg_then_down,negative,down
2024-07-26,1.42,1.5,0.08,pos_then_up,positive,up
2025-01-31,0.43,0.38,-0.05,pos_then_down,positive,down
2025-04-25,-0.29,-3.14,-2.86,neg_then_down,negative,down
2025-08-01,-0.14,-0.18,-0.04,neg_then_down,negative,down
2025-10-31,-0.62,-2.69,-2.08,neg_then_down,negative,down
