date,close_to_open_pct,close_to_close_pct,open_to_close_pct,scenario,gap_sign,intraday_sign
2003-10-22,-0.36,-2.75,-2.4,neg_then_down,negative,down
2004-02-03,-0.29,-1.9,-1.61,neg_then_down,negative,down
2004-07-22,1.56,-0.72,-2.24,pos_then_down,positive,down
2004-10-26,-0.39,2.76,3.16,neg_then_up,negative,up
2005-02-01,0.39,1.5,1.1,pos_then_up,positive,up
2005-04-26,0.32,4.59,4.26,pos_then_up,positive,up
2005-07-26,-0.41,-2.68,-2.28,neg_then_down,negative,down
2005-10-25,0.66,0.74,0.08,pos_then_up,positive,up
2006-01-31,-0.83,-2.15,-1.33,neg_then_down,negative,down
2006-04-25,0.37,-1.37,-1.73,pos_then_down,positive,down
2006-10-24,0.97,-1.68,-2.63,pos_then_down,positive,down
2007-01-30,0.34,-0.87,-1.21,pos_then_down,positive,down
2007-04-24,0.49,-0.11,-0.6,pos_then_down,positive,down
2007-07-24,0.55,-0.27,-0.81,pos_then_down,positive,down
2007-10-24,0.24,3.41,3.16,pos_then_up,positive,up
2008-02-05,-0.9,-17.59,-16.84,neg_then_down,negative,down
2008-04-22,0.31,0.85,0.54,pos_then_up,positive,up
2008-07-22,-0.75,6.65,7.45,neg_then_up,negative,up
2008-10-29,3.02,4.03,0.98,pos_then_up,positive,up
2009-02-03,0.92,0.61,-0.31,pos_then_down,positive,down
2009-04-23,-0.07,-0.69,-0.62,neg_then_down,negative,down
2009-10-29,-0.62,-3.56,-2.95,neg_then_down,negative,down
2010-02-04,0.64,4.27,3.62,pos_then_up,positive,up
2010-04-29,0.75,-0.67,-1.42,pos_then_down,positive,down
2010-07-29,-1.08,-2.46,-1.39,neg_then_down,negative,down
2010-10-28,-0.53,0.09,0.61,neg_then_up,negative,up
2011-04-28,-0.19,-2.72,-2.54,neg_then_down,negative,down
2011-07-28,-1.41,1.89,3.34,neg_then_up,negative,up
2011-11-01,1.97,2.98,1.0,pos_then_up,positive,up
2012-02-02,0.57,2.79,2.21,pos_then_up,positive,up
2012-04-26,0.11,-2.05,-2.15,pos_then_down,positive,down
2012-07-26,0.78,0.13,-0.64,pos_then_down,positive,down
2012-10-25,0.75,0.76,0.02,pos_then_up,positive,up
2013-02-05,-3.79,-4.14,-0.37,neg_then_down,negative,down
2013-05-02,0.45,0.4,-0.05,pos_then_down,positive,down
2013-08-01,-0.24,0.18,0.42,neg_then_up,negative,up
2013-11-04,0.12,-0.22,-0.34,pos_then_down,positive,down
2014-02-04,0.6,-0.07,-0.66,pos_then_down,positive,down
2014-05-01,-0.01,-1.57,-1.56,neg_then_down,negative,down
2014-07-31,-0.31,0.32,0.64,neg_then_up,negative,up
2014-10-30,1.46,2.76,1.28,pos_then_up,positive,up
2015-02-05,1.32,3.71,2.36,pos_then_up,positive,up
2015-04-30,0.8,-0.14,-0.94,pos_then_down,positive,down
2015-07-30,-0.04,-1.0,-0.96,neg_then_down,negative,down
2015-10-29,-0.83,-3.03,-2.22,neg_then_down,negative,down
2016-02-05,-0.16,1.85,2.01,neg_then_up,negative,up
2016-04-28,-0.63,-0.45,0.17,neg_then_up,negative,up
2016-07-28,0.28,0.29,0.01,pos_then_up,positive,up
2017-02-02,0.4,-1.08,-1.47,pos_then_down,positive,down
2017-04-27,0.15,0.93,0.78,pos_then_up,positive,up
2017-08-01,-0.41,0.3,0.71,neg_then_up,negative,up
2017-10-26,-0.52,0.7,1.22,neg_then_up,negative,up
2018-02-01,0.76,0.13,-0.63,pos_then_down,positive,down
2018-04-26,-0.97,-1.31,-0.35,neg_then_down,negative,down
2018-07-26,-0.28,-0.58,-0.31,neg_then_down,negative,down
2018-10-25,-0.36,0.66,1.02,neg_then_up,negative,up
2019-02-14,-0.45,-1.13,-0.68,neg_then_down,negative,down
2019-05-01,-0.22,-1.43,-1.21,neg_then_down,negative,down
2019-07-31,-0.19,3.18,3.38,neg_then_up,negative,up
2019-10-30,-0.38,0.38,0.76,neg_then_up,negative,up
2020-02-12,0.03,0.32,0.29,pos_then_up,positive,up
2020-04-29,-0.63,-1.8,-1.18,neg_then_down,negative,down
2020-07-29,-1.15,-1.08,0.07,neg_then_up,negative,up
2020-10-28,-0.21,0.29,0.5,neg_then_up,negative,up
2021-02-10,0.3,-1.34,-1.64,pos_then_down,positive,down
2021-04-28,0.01,1.35,1.34,pos_then_up,positive,up
2021-07-28,1.15,0.6,-0.55,pos_then_down,positive,down
2021-10-27,-0.32,0.59,0.91,neg_then_up,negative,up
2022-02-09,-1.2,-2.19,-1.0,neg_then_down,negative,down
2022-04-27,0.08,-0.09,-0.17,pos_then_down,positive,down
2022-07-27,-0.28,1.8,2.08,neg_then_up,negative,up
2022-10-26,0.48,0.47,-0.01,pos_then_down,positive,down
2023-02-08,0.58,-2.41,-2.97,pos_then_down,positive,down
2023-04-26,-0.1,-0.28,-0.18,neg_then_down,negative,down
2023-07-26,0.53,-0.05,-0.57,pos_then_down,positive,down
2024-02-14,-0.36,-1.93,-1.58,neg_then_down,negative,down
2024-04-24,-0.11,-0.02,0.09,neg_then_up,negative,up
2024-07-24,0.07,1.08,1.01,pos_then_up,positive,up
2024-10-23,-0.16,1.12,1.28,neg_then_up,negative,up
2025-02-12,0.59,0.46,-0.13,pos_then_down,positive,down
2025-07-23,-0.01,0.25,0.26,neg_then_up,negative,up
2025-10-22,1.86,0.41,-1.43,pos_then_down,positive,down
