date,close_to_open_pct,close_to_close_pct,open_to_close_pct,scenario,gap_sign,intraday_sign
2004-10-21,0.35,-2.23,-2.57,pos_then_down,positive,down
2005-02-03,0.07,2.41,2.34,pos_then_up,positive,up
2005-04-22,0.29,-0.56,-0.85,pos_then_down,positive,down
2005-07-22,0.29,-1.31,-1.6,pos_then_down,positive,down
2005-10-28,0.89,2.35,1.45,pos_then_up,positive,up
2006-04-28,0.96,3.1,2.12,pos_then_up,positive,up
2006-07-27,0.99,3.51,2.49,pos_then_up,positive,up
2006-11-01,-1.04,-1.53,-0.5,neg_then_down,negative,down
2007-01-29,0.98,2.13,1.14,pos_then_up,positive,up
2007-04-27,-0.86,-4.14,-3.3,neg_then_down,negative,down
2007-07-26,0.73,0.4,-0.32,pos_then_down,positive,down
2007-10-26,0.54,2.14,1.59,pos_then_up,positive,up
2008-02-01,0.13,6.48,6.34,pos_then_up,positive,up
2008-05-01,1.22,2.18,0.95,pos_then_up,positive,up
2008-07-31,1.3,1.96,0.65,pos_then_up,positive,up
2008-11-03,4.99,9.23,4.04,pos_then_up,positive,up
2009-02-04,-1.41,3.76,5.25,neg_then_up,negative,up
2009-04-30,-0.29,0.0,0.29,neg_then_up,negative,up
2009-07-30,-1.43,4.12,5.62,neg_then_up,negative,up
2009-10-30,0.56,2.42,1.85,pos_then_up,positive,up
2010-02-02,0.04,1.47,1.43,pos_then_up,positive,up
2010-04-27,1.1,1.95,0.83,pos_then_up,positive,up
2010-07-27,-0.23,0.42,0.64,neg_then_up,negative,up
2010-10-27,1.09,-0.28,-1.35,pos_then_down,positive,down
2011-02-01,-0.38,-0.48,-0.1,neg_then_down,negative,down
2011-04-26,0.87,2.31,1.43,pos_then_up,positive,up
2011-07-26,-1.3,-3.91,-2.64,neg_then_down,negative,down
2011-10-25,1.69,1.14,-0.55,pos_then_down,positive,down
2012-02-02,1.9,5.98,4.01,pos_then_up,positive,up
2012-05-01,-0.58,1.21,1.8,neg_then_up,negative,up
2012-07-10,-1.04,-3.89,-2.88,neg_then_down,negative,down
2012-10-09,-4.69,-3.36,1.4,neg_then_up,negative,up
2013-02-06,-0.44,-1.18,-0.74,neg_then_down,negative,down
2013-04-30,-1.07,-2.57,-1.51,neg_then_down,negative,down
2013-07-30,0.8,2.5,1.69,pos_then_up,positive,up
2013-10-29,-0.27,-1.92,-1.65,neg_then_down,negative,down
2014-02-06,1.32,2.71,1.38,pos_then_up,positive,up
2014-04-29,-0.3,0.03,0.33,neg_then_up,negative,up
2014-07-28,0.17,-1.14,-1.3,pos_then_down,positive,down
2014-10-28,-0.24,-0.06,0.18,neg_then_up,negative,up
2015-02-05,0.07,-1.63,-1.7,pos_then_down,positive,down
2015-04-28,-0.34,0.57,0.91,neg_then_up,negative,up
2015-07-28,-0.04,1.77,1.81,neg_then_up,negative,up
2016-02-04,-1.53,1.47,3.04,neg_then_up,negative,up
2016-05-03,-0.05,-3.51,-3.46,neg_then_down,negative,down
2016-08-02,-0.24,1.02,1.27,neg_then_up,negative,up
2016-11-01,-0.41,-0.47,-0.06,neg_then_down,negative,down
2017-02-09,0.24,0.28,0.04,pos_then_up,positive,up
2017-05-02,-0.69,-1.2,-0.51,neg_then_down,negative,down
2017-08-01,0.13,0.19,0.06,pos_then_up,positive,up
2017-10-31,1.35,-2.29,-3.59,pos_then_down,positive,down
2018-02-06,0.61,-1.2,-1.8,pos_then_down,positive,down
2018-05-01,-1.96,-4.67,-2.76,neg_then_down,negative,down
2018-07-31,-1.0,-2.16,-1.17,neg_then_down,negative,down
2018-10-30,2.02,1.7,-0.31,pos_then_down,positive,down
2019-02-06,0.04,0.18,0.14,pos_then_up,positive,up
2019-04-30,0.13,-0.49,-0.62,pos_then_down,positive,down
2019-07-30,-0.25,-0.71,-0.46,neg_then_down,negative,down
2019-10-29,0.07,-1.43,-1.5,pos_then_down,positive,down
2020-02-04,1.06,3.37,2.29,pos_then_up,positive,up
2020-04-28,2.99,2.56,-0.42,pos_then_down,positive,down
2020-07-28,1.53,1.98,0.44,pos_then_up,positive,up
2020-10-27,-2.27,-2.82,-0.56,neg_then_down,negative,down
2021-02-04,0.57,-1.06,-1.62,pos_then_down,positive,down
2021-05-04,0.25,2.1,1.84,pos_then_up,positive,up
2021-08-03,-0.48,-0.85,-0.37,neg_then_down,negative,down
2021-11-02,-1.14,-2.81,-1.68,neg_then_down,negative,down
2022-02-03,-0.48,0.59,1.08,neg_then_up,negative,up
2022-05-03,-0.64,3.28,3.94,neg_then_up,negative,up
2022-08-02,0.46,-0.38,-0.84,pos_then_down,positive,down
2022-11-03,1.63,2.41,0.77,pos_then_up,positive,up
2023-02-06,-0.21,0.3,0.52,neg_then_up,negative,up
2023-05-02,1.01,-1.4,-2.39,pos_then_down,positive,down
2023-08-03,0.15,-2.53,-2.67,pos_then_down,positive,down
2023-11-02,1.06,3.64,2.56,pos_then_up,positive,up
2024-02-06,0.54,-1.36,-1.89,pos_then_down,positive,down
2024-05-02,0.55,0.16,-0.38,pos_then_down,positive,down
2024-08-01,-0.78,-5.14,-4.4,neg_then_down,negative,down
2024-11-05,3.04,0.44,-2.52,pos_then_down,positive,down
2025-02-04,0.56,1.76,1.2,pos_then_up,positive,up
2025-05-05,-0.76,-1.31,-0.55,neg_then_down,negative,down
2025-08-05,0.72,2.26,1.54,pos_then_up,positive,up
