date,close_to_open_pct,close_to_close_pct,open_to_close_pct,scenario,gap_sign,intraday_sign
2003-10-08,1.43,0.18,-1.23,pos_then_down,positive,down
2003-12-09,1.33,0.28,-1.04,pos_then_down,positive,down
2004-03-03,-0.89,0.86,1.76,neg_then_up,negative,up
2004-05-27,1.18,-0.45,-1.61,pos_then_down,positive,down
2005-03-02,0.18,-0.49,-0.67,pos_then_down,positive,down
2005-10-06,0.4,1.6,1.2,pos_then_up,positive,up
2005-12-08,0.23,0.54,0.31,pos_then_up,positive,up
2006-03-02,-1.02,1.36,2.41,neg_then_up,negative,up
2006-05-31,0.32,2.46,2.13,pos_then_up,positive,up
2006-08-30,0.28,-0.83,-1.1,pos_then_down,positive,down
2006-12-14,0.72,-0.7,-1.41,pos_then_down,positive,down
2007-03-08,0.33,0.15,-0.18,pos_then_down,positive,down
2007-05-31,0.12,-0.32,-0.44,pos_then_down,positive,down
2007-10-10,-0.29,0.16,0.45,neg_then_up,negative,up
2007-12-13,-0.42,-0.07,0.35,neg_then_up,negative,up
2008-03-05,0.87,-1.3,-2.15,pos_then_down,positive,down
2008-05-29,-0.66,-2.27,-1.63,neg_then_down,negative,down
2008-10-08,0.61,-4.66,-5.24,pos_then_down,positive,down
2008-12-11,-1.34,2.57,3.97,neg_then_up,negative,up
2009-03-04,-0.66,-3.06,-2.42,neg_then_down,negative,down
2009-05-28,0.48,1.15,0.66,pos_then_up,positive,up
2009-12-10,0.48,0.95,0.47,pos_then_up,positive,up
2010-03-03,0.12,0.2,0.08,pos_then_up,positive,up
2010-05-27,0.09,-0.83,-0.92,pos_then_down,positive,down
2010-10-06,-0.29,-0.23,0.06,neg_then_up,negative,up
2010-12-08,0.65,2.56,1.89,pos_then_up,positive,up
2011-03-02,0.68,1.02,0.33,pos_then_up,positive,up
2011-05-25,-0.32,0.61,0.94,neg_then_up,negative,up
2011-09-01,-1.57,-1.16,0.42,neg_then_up,negative,up
2011-12-08,-1.26,-1.62,-0.37,neg_then_down,negative,down
2012-02-29,0.56,0.12,-0.44,pos_then_down,positive,down
2012-05-24,0.5,0.0,-0.49,pos_then_down,positive,down
2012-10-10,0.27,-3.19,-3.45,pos_then_down,positive,down
2012-12-12,0.34,0.13,-0.2,pos_then_down,positive,down
2013-03-12,0.23,-0.32,-0.55,pos_then_down,positive,down
2013-05-30,0.21,-2.01,-2.22,pos_then_down,positive,down
2013-10-09,0.34,0.97,0.63,pos_then_up,positive,up
2013-12-11,-0.04,-0.3,-0.25,neg_then_down,negative,down
2014-03-14,0.61,0.01,-0.6,pos_then_down,positive,down
2014-05-29,0.41,1.65,1.23,pos_then_up,positive,up
2014-10-08,-0.4,-0.25,0.15,neg_then_up,negative,up
2014-12-10,0.6,0.83,0.23,pos_then_up,positive,up
2015-03-05,-1.24,-1.08,0.17,neg_then_up,negative,up
2015-05-28,-0.33,-1.16,-0.83,neg_then_down,negative,down
2015-09-30,0.19,-0.01,-0.2,pos_then_down,positive,down
2015-12-09,0.76,1.34,0.58,pos_then_up,positive,up
