date,close_to_open_pct,close_to_close_pct,open_to_close_pct,scenario,gap_sign,intraday_sign
2004-01-12,0.57,0.62,0.06,pos_then_up,positive,up
2004-04-29,0.33,0.0,-0.33,pos_then_down,positive,down
2004-10-29,0.28,0.02,-0.26,pos_then_down,positive,down
2005-02-15,-0.98,-2.22,-1.25,neg_then_down,negative,down
2005-05-03,-1.71,-0.96,0.76,neg_then_up,negative,up
2005-10-28,-0.11,0.3,0.41,neg_then_up,negative,up
2006-02-09,-0.95,-1.74,-0.79,neg_then_down,negative,down
2006-05-10,0.38,-0.1,-0.48,pos_then_down,positive,down
2006-08-09,-0.65,-1.51,-0.87,neg_then_down,negative,down
2006-11-07,-0.39,0.77,1.16,neg_then_up,negative,up
2007-02-13,0.11,2.59,2.48,pos_then_up,positive,up
2007-05-08,3.41,4.9,1.44,pos_then_up,positive,up
2007-08-07,3.81,1.92,-1.81,pos_then_down,positive,down
2007-11-05,6.79,9.8,2.82,pos_then_up,positive,up
2008-02-11,-2.98,-5.02,-2.1,neg_then_down,negative,down
2008-05-06,8.91,10.5,1.46,pos_then_up,positive,up
2008-08-06,-0.14,-1.29,-1.15,neg_then_down,negative,down
2008-11-06,1.19,0.48,-0.7,pos_then_down,positive,down
2009-02-10,-0.22,-1.34,-1.13,neg_then_down,negative,down
2009-05-06,0.71,-1.56,-2.26,pos_then_down,positive,down
2009-08-04,-6.6,-9.29,-2.88,neg_then_down,negative,down
2009-11-04,0.21,1.35,1.14,pos_then_up,positive,up
2010-01-11,-0.69,3.63,4.35,neg_then_up,negative,up
2010-08-02,-0.57,0.64,1.21,neg_then_up,negative,up
2010-11-04,-0.5,-1.41,-0.91,neg_then_down,negative,down
2011-02-09,-0.08,-1.72,-1.64,neg_then_down,negative,down
2011-05-03,0.6,-2.65,-3.23,pos_then_down,positive,down
2011-08-02,2.55,-4.84,-7.21,pos_then_down,positive,down
2011-11-01,-4.61,-3.58,1.08,neg_then_up,negative,up
2012-02-13,4.45,3.92,-0.51,pos_then_down,positive,down
2012-05-03,-1.08,-2.02,-0.95,neg_then_down,negative,down
2012-08-07,0.34,3.01,2.66,pos_then_up,positive,up
2013-02-14,-0.51,-1.87,-1.37,neg_then_down,negative,down
2013-05-02,0.43,1.44,1.0,pos_then_up,positive,up
2013-07-31,1.41,1.6,0.19,pos_then_up,positive,up
2013-10-30,-0.21,1.36,1.57,neg_then_up,negative,up
2014-02-12,-0.3,1.39,1.69,neg_then_up,negative,up
2014-04-30,1.06,-4.23,-5.23,pos_then_down,positive,down
2014-08-07,0.32,0.51,0.19,pos_then_up,positive,up
2014-10-29,0.82,-2.57,-3.37,pos_then_down,positive,down
2015-02-11,1.15,1.09,-0.05,pos_then_down,positive,down
2015-04-30,-0.53,2.11,2.66,neg_then_up,negative,up
2015-07-30,0.05,4.27,4.22,pos_then_up,positive,up
2015-11-04,0.22,1.33,1.1,pos_then_up,positive,up
2016-02-10,-1.69,-1.67,0.03,neg_then_up,negative,up
2016-05-04,0.39,2.2,1.8,pos_then_up,positive,up
2016-08-03,0.67,1.23,0.55,pos_then_up,positive,up
2016-11-02,-0.47,-3.88,-3.42,neg_then_down,negative,down
2017-01-10,-0.18,-1.6,-1.42,neg_then_down,negative,down
2017-05-10,-0.25,-2.21,-1.96,neg_then_down,negative,down
2017-08-09,-0.08,-1.67,-1.59,neg_then_down,negative,down
2017-11-09,-0.2,-0.71,-0.51,neg_then_down,negative,down
2018-02-13,2.84,2.46,-0.37,pos_then_down,positive,down
2018-05-10,0.31,0.92,0.61,pos_then_up,positive,up
2018-08-08,0.47,-1.95,-2.4,pos_then_down,positive,down
2018-11-07,0.1,-0.1,-0.19,pos_then_down,positive,down
2019-02-13,0.53,0.42,-0.11,pos_then_down,positive,down
2019-05-07,-0.5,1.5,2.01,neg_then_up,negative,up
2019-07-31,0.86,-0.47,-1.32,pos_then_down,positive,down
2019-10-21,0.65,-1.77,-2.41,pos_then_down,positive,down
2020-02-11,0.01,-1.15,-1.15,pos_then_down,positive,down
2020-05-07,2.2,1.92,-0.28,pos_then_down,positive,down
2020-08-05,0.56,-0.08,-0.63,pos_then_down,positive,down
2020-10-29,-0.06,-0.54,-0.48,neg_then_down,negative,down
2021-02-17,-0.6,-2.33,-1.73,neg_then_down,negative,down
2021-05-04,1.24,1.84,0.59,pos_then_up,positive,up
2021-08-04,0.56,-1.52,-2.08,pos_then_down,positive,down
2021-11-03,-0.46,-2.21,-1.75,neg_then_down,negative,down
2022-02-16,0.24,-4.47,-4.7,pos_then_down,positive,down
2022-05-04,-0.02,-3.62,-3.6,neg_then_down,negative,down
2022-08-03,-0.17,2.83,3.0,neg_then_up,negative,up
2022-11-02,-2.2,0.65,2.91,neg_then_up,negative,up
2023-02-22,0.65,3.74,3.07,pos_then_up,positive,up
2023-05-11,0.6,-2.3,-2.88,pos_then_down,positive,down
2023-08-09,0.1,0.84,0.74,pos_then_up,positive,up
2023-11-08,0.7,-3.69,-4.37,pos_then_down,positive,down
2024-02-14,-1.24,0.11,1.37,neg_then_up,negative,up
2024-05-09,0.07,-0.86,-0.93,pos_then_down,positive,down
2024-08-07,-4.23,0.99,5.45,neg_then_up,negative,up
2024-11-06,0.72,-1.83,-2.53,pos_then_down,positive,down
2025-05-07,2.72,3.21,0.47,pos_then_up,positive,up
2025-08-06,2.02,-0.37,-2.34,pos_then_down,positive,down
2025-11-05,0.01,1.9,1.88,pos_then_up,positive,up
