date,close_to_open_pct,open_to_close_pct,close_to_close_pct,scenario,conditional_sign,next_day_sign
2003-11-05,5.32,-0.26,5.05,pos_then_down,positive,down
2004-02-03,-5.72,-3.29,-8.82,neg_then_down,negative,down
2004-05-11,-0.36,-0.95,-1.3,neg_then_down,negative,down
2004-08-10,-9.09,-1.67,-10.61,neg_then_down,negative,down
2004-11-09,-3.9,-2.85,-6.63,neg_then_down,negative,down
2005-02-08,0.38,-3.71,-3.34,pos_then_down,positive,down
2005-05-10,1.43,0.43,1.87,pos_then_up,positive,up
2005-08-09,-3.98,-3.08,-6.94,neg_then_down,negative,down
2005-11-09,-2.76,-0.64,-3.38,neg_then_down,negative,down
2006-02-07,6.52,0.67,7.24,pos_then_up,positive,up
2006-05-09,-1.48,-2.86,-4.29,neg_then_down,negative,down
2006-08-08,12.26,1.91,14.4,pos_then_up,positive,up
2006-11-08,9.32,-2.66,6.41,pos_then_down,positive,down
2007-02-06,4.91,-1.85,2.97,pos_then_down,positive,down
2007-05-08,-4.72,-1.89,-6.52,neg_then_down,negative,down
2007-08-07,4.85,1.77,6.7,pos_then_up,positive,up
2007-11-07,-7.15,-2.56,-9.53,neg_then_down,negative,down
2008-02-06,-5.33,7.0,1.3,neg_then_up,negative,up
2008-05-06,-0.3,-1.79,-2.09,neg_then_down,negative,down
2008-08-05,5.7,-0.04,5.65,pos_then_down,positive,down
2008-11-05,-4.03,1.5,-2.59,neg_then_up,negative,up
2009-02-04,-1.89,5.21,3.22,neg_then_up,negative,up
2009-05-06,1.99,-5.25,-3.37,pos_then_down,positive,down
2009-08-05,-0.59,1.23,0.63,neg_then_up,negative,up
2009-11-04,3.26,-0.5,2.75,pos_then_down,positive,down
2010-02-03,1.47,-1.07,0.39,pos_then_down,positive,down
2010-05-12,-2.43,-2.15,-4.53,neg_then_down,negative,down
2010-08-11,-9.73,-0.28,-9.99,neg_then_down,negative,down
2010-11-10,-16.46,0.29,-16.21,neg_then_up,negative,up
2011-02-09,-10.84,-3.72,-14.16,neg_then_down,negative,down
2011-05-11,-4.61,-0.18,-4.78,neg_then_down,negative,down
2011-08-10,12.53,3.04,15.95,pos_then_up,positive,up
2011-11-09,6.13,-0.43,5.68,pos_then_down,positive,down
2012-02-08,-0.98,-1.14,-2.1,neg_then_down,negative,down
2012-05-09,-8.57,-2.1,-10.49,neg_then_down,negative,down
2012-08-15,7.38,2.09,9.63,pos_then_up,positive,up
2012-11-13,7.12,-2.16,4.81,pos_then_down,positive,down
2013-02-13,-1.23,0.53,-0.71,neg_then_up,negative,up
2013-05-15,10.84,1.62,12.64,pos_then_up,positive,up
2013-08-14,-7.54,0.37,-7.2,neg_then_up,negative,up
2013-11-13,-12.75,2.05,-10.96,neg_then_up,negative,up
2014-02-12,-3.76,1.27,-2.54,neg_then_up,negative,up
2014-05-14,6.4,-0.37,6.01,pos_then_down,positive,down
2014-08-13,-1.03,-1.6,-2.62,neg_then_down,negative,down
2014-11-12,-0.72,3.01,2.27,neg_then_up,negative,up
2015-02-11,7.65,1.62,9.39,pos_then_up,positive,up
2015-05-13,-0.2,-0.82,-1.02,neg_then_down,negative,down
2015-08-12,3.15,-0.28,2.87,pos_then_down,positive,down
2015-11-12,-5.53,-0.3,-5.82,neg_then_down,negative,down
2016-02-10,7.02,2.45,9.64,pos_then_up,positive,up
2016-05-18,4.75,-1.5,3.18,pos_then_down,positive,down
2016-08-17,-1.01,0.23,-0.78,neg_then_up,negative,up
2016-11-16,-5.26,0.47,-4.81,neg_then_up,negative,up
2017-02-15,1.34,1.02,2.38,pos_then_up,positive,up
2017-05-17,-8.04,0.9,-7.21,neg_then_up,negative,up
2017-08-16,-2.63,-1.43,-4.02,neg_then_down,negative,down
2017-11-15,5.66,-0.44,5.19,pos_then_down,positive,down
2018-02-14,7.08,-2.2,4.73,pos_then_down,positive,down
2018-05-16,-4.5,0.77,-3.76,neg_then_up,negative,up
2018-08-15,4.35,-1.33,2.96,pos_then_down,positive,down
2018-11-14,5.57,-0.06,5.5,pos_then_down,positive,down
2019-02-13,2.84,-0.92,1.89,pos_then_down,positive,down
2019-05-15,3.49,3.06,6.66,pos_then_up,positive,up
2019-08-14,-6.42,-2.34,-8.61,neg_then_down,negative,down
2019-11-13,-5.98,-1.43,-7.33,neg_then_down,negative,down
2020-02-12,-5.57,0.36,-5.23,neg_then_up,negative,up
2020-05-13,3.53,0.97,4.53,pos_then_up,positive,up
2020-08-12,-8.96,-2.44,-11.19,neg_then_down,negative,down
2020-11-12,6.54,0.49,7.06,pos_then_up,positive,up
2021-02-09,-4.85,2.36,-2.6,neg_then_up,negative,up
2021-05-19,-3.93,4.84,0.72,neg_then_up,negative,up
2021-08-18,-0.71,4.58,3.84,neg_then_up,negative,up
