date,close_to_open_pct,close_to_close_pct,open_to_close_pct,scenario,gap_sign,intraday_sign
2004-02-10,-0.26,2.52,2.78,neg_then_up,negative,up
2004-10-26,2.44,6.69,4.15,pos_then_up,positive,up
2005-02-10,0.65,5.64,4.96,pos_then_up,positive,up
2005-07-28,2.33,4.09,1.72,pos_then_up,positive,up
2005-10-31,0.16,-1.05,-1.2,pos_then_down,positive,down
2006-02-09,-0.31,0.36,0.67,neg_then_up,negative,up
2006-05-03,0.58,2.26,1.66,pos_then_up,positive,up
2006-08-02,-0.1,4.58,4.69,neg_then_up,negative,up
2006-11-02,-1.48,-0.88,0.61,neg_then_up,negative,up
2007-02-05,0.16,-0.3,-0.46,pos_then_down,positive,down
2007-05-02,0.3,-0.27,-0.57,pos_then_down,positive,down
2007-08-01,0.66,3.95,3.27,pos_then_up,positive,up
2007-11-06,0.56,3.41,2.83,pos_then_up,positive,up
2008-02-07,16.68,16.72,0.03,pos_then_up,positive,up
2008-05-07,0.79,-1.22,-2.0,pos_then_down,positive,down
2008-07-31,0.71,4.6,3.86,pos_then_up,positive,up
2008-11-05,-2.68,-7.68,-5.15,neg_then_down,negative,down
2009-02-13,-6.09,-6.71,-0.65,neg_then_down,negative,down
2009-05-05,0.82,-2.34,-3.13,pos_then_down,positive,down
2009-08-04,-0.15,2.95,3.1,neg_then_up,negative,up
2009-11-03,2.19,-0.24,-2.38,pos_then_down,positive,down
2010-02-09,-0.04,-0.32,-0.28,neg_then_down,negative,down
2010-05-04,-0.68,-1.56,-0.89,neg_then_down,negative,down
2010-08-03,-0.05,1.57,1.62,neg_then_up,negative,up
2010-11-01,1.28,0.78,-0.49,pos_then_down,positive,down
2011-02-07,0.47,2.69,2.21,pos_then_up,positive,up
2011-05-03,-0.06,-0.32,-0.26,neg_then_down,negative,down
2011-08-02,0.57,3.33,2.74,pos_then_up,positive,up
2011-11-02,1.72,1.87,0.15,pos_then_up,positive,up
2012-02-08,0.34,-0.1,-0.44,pos_then_down,positive,down
2012-05-07,2.02,7.1,4.98,pos_then_up,positive,up
2012-08-06,-0.02,-0.64,-0.62,neg_then_down,negative,down
2012-11-07,-1.18,-2.49,-1.33,neg_then_down,negative,down
2013-02-07,0.6,0.28,-0.32,pos_then_down,positive,down
2013-05-08,0.48,0.44,-0.04,pos_then_down,positive,down
2013-08-06,0.5,-0.27,-0.77,pos_then_down,positive,down
2013-11-05,1.0,1.22,0.21,pos_then_up,positive,up
2014-02-05,-0.04,2.84,2.89,neg_then_up,negative,up
2014-05-07,0.32,2.08,1.76,pos_then_up,positive,up
2014-08-06,1.08,1.63,0.54,pos_then_up,positive,up
2014-11-05,0.19,0.46,0.27,pos_then_up,positive,up
2015-02-04,0.05,-0.41,-0.47,pos_then_down,positive,down
2015-05-04,0.14,-2.84,-2.97,pos_then_down,positive,down
2015-08-05,0.8,-0.39,-1.18,pos_then_down,positive,down
2015-11-04,1.0,0.52,-0.47,pos_then_down,positive,down
2016-02-08,-1.44,-3.18,-1.76,neg_then_down,negative,down
2016-05-06,0.03,0.45,0.41,pos_then_up,positive,up
2016-08-05,-0.12,-2.34,-2.23,neg_then_down,negative,down
2017-02-08,0.97,2.75,1.75,pos_then_up,positive,up
2017-05-05,-0.05,1.68,1.72,neg_then_up,negative,up
2017-08-03,1.22,1.76,0.54,pos_then_up,positive,up
2017-11-01,0.82,1.12,0.3,pos_then_up,positive,up
2018-02-07,0.25,-1.78,-2.02,pos_then_down,positive,down
2018-05-07,-0.32,-2.97,-2.65,neg_then_down,negative,down
2018-08-02,0.88,1.25,0.36,pos_then_up,positive,up
2018-10-30,0.15,3.77,3.62,pos_then_up,positive,up
2019-02-06,-0.43,-2.03,-1.6,neg_then_down,negative,down
2019-05-02,-9.79,-11.05,-1.4,neg_then_down,negative,down
2019-07-31,2.79,1.95,-0.82,pos_then_down,positive,down
2019-10-30,0.18,1.75,1.57,pos_then_up,positive,up
2020-02-05,3.2,9.93,6.52,pos_then_up,positive,up
2020-04-09,-1.42,-2.91,-1.51,neg_then_down,negative,down
2020-07-29,6.37,6.78,0.38,pos_then_up,positive,up
2020-10-28,5.25,-0.11,-5.09,pos_then_down,positive,down
2021-02-03,-6.3,-5.86,0.47,neg_then_up,negative,up
2021-05-05,-7.66,-7.78,-0.13,neg_then_down,negative,down
2021-07-28,7.42,5.92,-1.4,pos_then_down,positive,down
2021-10-27,2.97,-0.5,-3.37,pos_then_down,positive,down
2022-02-02,-1.13,-2.47,-1.35,neg_then_down,negative,down
2022-05-04,-6.65,-12.75,-6.54,neg_then_down,negative,down
2022-07-27,-7.48,-4.94,2.75,neg_then_up,negative,up
2022-11-02,-13.52,-13.77,-0.29,neg_then_down,negative,down
2023-01-12,-1.09,-1.6,-0.51,neg_then_down,negative,down
2023-05-03,5.64,6.76,1.06,pos_then_up,positive,up
2023-08-02,7.13,7.85,0.67,pos_then_up,positive,up
2023-11-01,-3.63,-2.02,1.68,neg_then_up,negative,up
2024-02-06,-3.92,-0.93,3.12,neg_then_up,negative,up
2024-05-01,3.11,1.38,-1.68,pos_then_down,positive,down
2024-07-31,3.07,0.83,-2.17,pos_then_down,positive,down
2024-10-30,4.68,0.32,-4.16,pos_then_down,positive,down
2025-02-05,0.71,4.17,3.44,pos_then_up,positive,up
2025-04-30,4.27,2.26,-1.93,pos_then_down,positive,down
2025-07-30,-0.23,-2.41,-2.18,neg_then_down,negative,down
