date,close_to_open_pct,close_to_close_pct,open_to_close_pct,scenario,gap_sign,intraday_sign
2019-08-01,-0.99,0.67,1.68,neg_then_up,negative,up
2020-01-30,-1.57,-1.09,0.49,neg_then_up,negative,up
2020-05-06,3.84,5.76,1.85,pos_then_up,positive,up
2020-08-05,-5.85,-10.96,-5.43,neg_then_down,negative,down
2020-11-04,1.13,3.54,2.38,pos_then_up,positive,up
2021-02-03,-0.02,1.91,1.94,neg_then_up,negative,up
2021-05-04,-4.5,-4.24,0.27,neg_then_up,negative,up
2021-08-05,6.18,8.01,1.73,pos_then_up,positive,up
2021-11-03,1.54,5.78,4.18,pos_then_up,positive,up
2022-02-02,-0.19,0.83,1.02,neg_then_up,negative,up
2022-05-04,-4.72,-1.86,3.0,neg_then_up,negative,up
2022-08-04,3.17,4.85,1.63,pos_then_up,positive,up
2023-02-01,-3.32,-3.85,-0.55,neg_then_down,negative,down
2023-05-03,0.58,-5.2,-5.75,pos_then_down,positive,down
2023-08-03,-1.1,0.59,1.71,neg_then_up,negative,up
2023-10-27,0.73,0.84,0.1,pos_then_up,positive,up
2024-01-31,24.21,18.87,-4.3,pos_then_down,positive,down
2024-05-01,5.73,5.69,-0.04,pos_then_down,positive,down
2024-07-31,-3.81,-5.53,-1.78,neg_then_down,negative,down
2024-11-06,-6.06,-5.02,1.1,neg_then_up,negative,up
2025-02-05,-0.39,-2.29,-1.9,neg_then_down,negative,down
2025-05-07,3.44,7.01,3.45,pos_then_up,positive,up
2025-08-06,-0.93,-0.17,0.77,neg_then_up,negative,up
2025-11-04,3.52,1.87,-1.59,pos_then_down,positive,down
