date,close_to_open_pct,open_to_close_pct,close_to_close_pct,scenario,conditional_sign,next_day_sign
2014-11-06,-0.71,0.71,0.0,neg_then_up,negative,up
2015-03-16,-1.4,3.04,1.6,neg_then_up,negative,up
2015-08-05,2.74,-0.22,2.51,pos_then_down,positive,down
2015-10-26,-3.58,2.7,-0.98,neg_then_up,negative,up
2016-03-10,0.27,-1.81,-1.54,pos_then_down,positive,down
2016-08-04,-0.48,-4.16,-4.63,neg_then_down,negative,down
2017-03-09,0.28,1.4,1.69,pos_then_up,positive,up
2017-08-08,2.76,7.07,10.03,pos_then_up,positive,up
2017-11-02,6.04,2.94,9.16,pos_then_up,positive,up
2018-02-22,-0.47,4.84,4.35,neg_then_up,negative,up
2018-05-03,2.0,4.17,6.25,pos_then_up,positive,up
2018-08-02,5.07,0.46,5.56,pos_then_up,positive,up
2018-11-08,4.14,-9.33,-5.58,pos_then_down,positive,down
2019-02-27,-3.2,4.9,1.54,neg_then_up,negative,up
2019-05-02,3.45,-0.72,2.71,pos_then_down,positive,down
2019-08-06,-1.01,1.52,0.49,neg_then_up,negative,up
2019-11-06,1.26,6.17,7.5,pos_then_up,positive,up
2020-02-26,0.72,-3.65,-2.96,pos_then_down,positive,down
2020-05-11,8.68,3.44,12.42,pos_then_up,positive,up
2020-08-06,0.13,-1.93,-1.8,pos_then_down,positive,down
2020-11-05,-2.1,3.53,1.35,neg_then_up,negative,up
2021-02-25,6.58,2.98,9.75,pos_then_up,positive,up
2021-05-04,9.26,-1.34,7.8,pos_then_down,positive,down
2021-08-03,1.86,-3.85,-2.06,pos_then_down,positive,down
2021-11-02,-2.03,1.11,-0.94,neg_then_up,negative,up
2022-02-22,5.79,-2.86,2.76,pos_then_down,positive,down
2022-05-03,2.59,-4.34,-1.86,pos_then_down,positive,down
2022-08-02,-0.96,1.15,0.18,neg_then_up,negative,up
2022-11-01,6.51,-6.77,-0.7,pos_then_down,positive,down
2023-01-24,-2.21,3.78,1.49,neg_then_up,negative,up
2023-05-02,2.09,-3.27,-1.26,pos_then_down,positive,down
2023-08-01,-1.71,-2.66,-4.33,neg_then_down,negative,down
2023-10-31,2.48,-3.45,-1.05,pos_then_down,positive,down
2024-01-24,1.86,-0.02,1.84,pos_then_down,positive,down
2024-04-30,-1.4,3.0,1.56,neg_then_up,negative,up
2024-07-30,7.89,0.35,8.27,pos_then_up,positive,up
2024-10-29,-5.5,-2.86,-8.2,neg_then_down,negative,down
2025-02-25,2.64,-3.44,-0.89,pos_then_down,positive,down
2025-04-29,2.61,-5.78,-3.32,pos_then_down,positive,down
2025-07-29,-0.14,-1.9,-2.04,neg_then_down,negative,down
2025-10-28,-7.7,-8.17,-15.23,neg_then_down,negative,down
