date,close_to_open_pct,close_to_close_pct,open_to_close_pct,scenario,gap_sign,intraday_sign
2007-07-18,0.51,0.66,0.14,pos_then_up,positive,up
2007-10-16,1.39,1.59,0.2,pos_then_up,positive,up
2008-04-23,5.64,10.67,4.76,pos_then_up,positive,up
2008-07-16,4.06,15.23,10.73,pos_then_up,positive,up
2008-10-15,2.55,18.82,15.86,pos_then_up,positive,up
2009-01-27,5.17,10.21,4.8,pos_then_up,positive,up
2009-04-21,-2.84,-5.67,-2.92,neg_then_down,negative,down
2009-07-22,1.73,5.03,3.24,pos_then_up,positive,up
2009-10-22,0.72,-0.96,-1.67,pos_then_down,positive,down
2010-01-26,-1.06,0.08,1.15,neg_then_up,negative,up
2010-04-20,1.6,-4.48,-5.98,pos_then_down,positive,down
2010-07-19,-1.76,1.32,3.13,neg_then_up,negative,up
2010-10-20,0.46,4.32,3.84,pos_then_up,positive,up
2011-01-18,1.37,-2.14,-3.46,pos_then_down,positive,down
2011-04-26,-1.8,0.6,2.45,neg_then_up,negative,up
2011-07-27,1.58,0.26,-1.29,pos_then_down,positive,down
2011-10-25,2.13,1.42,-0.7,pos_then_down,positive,down
2012-01-25,3.21,2.11,-1.07,pos_then_down,positive,down
2012-04-25,0.38,-0.76,-1.14,pos_then_down,positive,down
2012-07-25,1.16,-0.63,-1.77,pos_then_down,positive,down
2012-10-24,0.1,-3.98,-4.08,pos_then_down,positive,down
2013-01-22,0.29,-1.64,-1.92,pos_then_down,positive,down
2013-04-23,-0.6,-1.5,-0.9,neg_then_down,negative,down
2013-07-24,0.82,3.27,2.43,pos_then_up,positive,up
2013-10-22,-0.2,0.47,0.67,neg_then_up,negative,up
2014-01-21,0.94,2.37,1.42,pos_then_up,positive,up
2014-04-23,0.16,-0.97,-1.13,pos_then_down,positive,down
2014-07-23,0.87,-2.76,-3.6,pos_then_down,positive,down
2014-10-16,3.75,3.21,-0.52,pos_then_down,positive,down
2015-01-20,-0.81,0.02,0.84,neg_then_up,negative,up
2015-07-15,1.16,1.09,-0.07,pos_then_down,positive,down
2015-10-14,0.74,0.7,-0.04,pos_then_down,positive,down
2016-01-19,0.28,-0.59,-0.87,pos_then_down,positive,down
2016-04-14,0.52,-2.04,-2.54,pos_then_down,positive,down
2016-07-14,-1.27,-2.44,-1.19,neg_then_down,negative,down
2016-10-13,1.1,0.08,-1.01,pos_then_down,positive,down
2017-01-12,-0.2,0.67,0.87,neg_then_up,negative,up
2017-04-12,-0.36,-2.26,-1.92,neg_then_down,negative,down
2017-10-11,0.06,0.08,0.02,pos_then_up,positive,up
2018-01-11,1.01,2.24,1.22,pos_then_up,positive,up
2018-04-12,1.21,-0.11,-1.31,pos_then_down,positive,down
2018-07-12,-0.45,0.08,0.53,neg_then_up,negative,up
2018-10-11,2.1,1.11,-0.97,pos_then_down,positive,down
2019-01-15,2.22,-0.69,-2.84,pos_then_down,positive,down
2019-04-10,0.16,0.92,0.76,pos_then_up,positive,up
2019-07-11,0.12,2.48,2.36,pos_then_up,positive,up
2019-10-10,0.75,-0.28,-1.03,pos_then_down,positive,down
2020-01-14,0.15,0.28,0.13,pos_then_up,positive,up
2020-04-22,0.8,0.04,-0.75,pos_then_down,positive,down
2020-07-14,5.32,9.54,4.0,pos_then_up,positive,up
2021-01-14,0.48,-3.59,-4.06,pos_then_down,positive,down
2021-04-15,0.38,-0.38,-0.77,pos_then_down,positive,down
2021-07-14,1.25,1.65,0.39,pos_then_up,positive,up
2021-10-13,0.37,0.41,0.05,pos_then_up,positive,up
2022-01-13,-1.64,-2.8,-1.18,neg_then_down,negative,down
2022-04-13,2.32,3.27,0.93,pos_then_up,positive,up
2022-07-13,-1.31,0.24,1.57,neg_then_up,negative,up
2022-10-13,3.98,2.3,-1.61,pos_then_down,positive,down
2023-04-13,1.02,1.2,0.18,pos_then_up,positive,up
2023-07-13,0.36,-2.35,-2.7,pos_then_down,positive,down
2023-10-12,-1.05,-2.99,-1.96,neg_then_down,negative,down
2024-01-12,-0.86,-2.6,-1.76,neg_then_down,negative,down
2024-04-10,1.08,3.01,1.9,pos_then_up,positive,up
2024-07-11,-1.18,-3.05,-1.89,neg_then_down,negative,down
2024-10-10,-0.64,2.07,2.72,neg_then_up,negative,up
2025-01-10,-0.96,-2.76,-1.82,neg_then_down,negative,down
2025-04-09,-4.63,-11.09,-6.77,neg_then_down,negative,down
2025-07-10,-0.97,-0.23,0.75,neg_then_up,negative,up
2025-10-09,0.6,-3.51,-4.09,pos_then_down,positive,down
