date,close_to_open_pct,open_to_close_pct,close_to_close_pct,scenario,conditional_sign,next_day_sign
2017-10-26,-0.07,-0.63,-0.7,neg_then_down,negative,down
2018-02-01,-0.6,-2.97,-3.55,neg_then_down,negative,down
2018-05-03,-0.41,1.99,1.58,neg_then_up,negative,up
2018-08-02,0.54,0.03,0.57,pos_then_up,positive,up
2018-11-01,0.7,-1.62,-0.93,pos_then_down,positive,down
2019-01-31,-0.69,0.06,-0.63,neg_then_up,negative,up
2019-04-18,-0.87,-0.88,-1.74,neg_then_down,negative,down
2019-08-01,-0.4,-3.29,-3.68,neg_then_down,negative,down
2019-10-31,0.9,4.72,5.66,pos_then_up,positive,up
2020-01-30,-0.99,-1.95,-2.92,neg_then_down,negative,down
2020-04-20,-2.97,1.38,-1.64,neg_then_up,negative,up
2020-07-30,0.02,-0.54,-0.52,pos_then_down,positive,down
2020-10-29,-0.66,-1.22,-1.86,neg_then_down,negative,down
2021-01-26,-1.87,-0.56,-2.42,neg_then_down,negative,down
2021-05-04,0.58,1.2,1.79,pos_then_up,positive,up
2021-08-03,0.08,-0.26,-0.17,pos_then_down,positive,down
2021-11-02,2.41,1.0,3.43,pos_then_up,positive,up
2022-02-08,0.7,0.99,1.7,pos_then_up,positive,up
2022-05-03,1.27,2.32,3.62,pos_then_up,positive,up
2022-08-02,0.41,-1.12,-0.72,pos_then_down,positive,down
2022-11-08,-0.24,1.38,1.13,neg_then_up,negative,up
2023-02-07,-0.75,-0.4,-1.14,neg_then_down,negative,down
2023-05-02,-0.15,-0.82,-0.97,neg_then_down,negative,down
2023-08-02,-0.12,1.1,0.98,neg_then_up,negative,up
2023-11-01,0.78,1.02,1.81,pos_then_up,positive,up
2024-01-24,0.61,-0.74,-0.14,pos_then_down,positive,down
2024-05-01,0.84,-1.54,-0.72,pos_then_down,positive,down
2024-07-31,0.44,-1.68,-1.24,pos_then_down,positive,down
2024-11-05,2.42,-3.89,-1.56,pos_then_down,positive,down
2025-02-11,-1.22,1.58,0.34,neg_then_up,negative,up
2025-05-02,-0.7,-2.2,-2.88,neg_then_down,negative,down
2025-08-05,1.09,-3.53,-2.48,pos_then_down,positive,down
2025-11-06,-0.41,2.08,1.66,neg_then_up,negative,up
