date,close_to_open_pct,close_to_close_pct,open_to_close_pct,scenario,gap_sign,intraday_sign
2004-10-25,0.33,1.79,1.45,pos_then_up,positive,up
2005-01-27,-0.6,-1.29,-0.69,neg_then_down,negative,down
2005-04-21,-0.08,0.12,0.19,neg_then_up,negative,up
2005-07-25,0.68,1.49,0.8,pos_then_up,positive,up
2005-10-20,0.06,-3.2,-3.26,pos_then_down,positive,down
2006-01-26,0.49,-0.38,-0.87,pos_then_down,positive,down
2006-04-20,0.38,-0.69,-1.06,pos_then_down,positive,down
2006-07-24,-1.89,-0.23,1.7,neg_then_up,negative,up
2006-10-19,0.41,0.29,-0.12,pos_then_down,positive,down
2007-01-25,0.18,0.27,0.1,pos_then_up,positive,up
2007-04-19,1.19,-0.85,-2.02,pos_then_down,positive,down
2007-07-24,0.71,-0.71,-1.41,pos_then_down,positive,down
2007-10-24,-0.15,0.87,1.02,neg_then_up,negative,up
2008-01-18,-3.45,-1.65,1.86,neg_then_up,negative,up
2008-04-21,-0.29,-1.67,-1.39,neg_then_down,negative,down
2008-10-21,-0.62,-6.1,-5.51,neg_then_down,negative,down
2009-01-26,0.8,-0.7,-1.49,pos_then_down,positive,down
2009-04-21,-2.45,-1.8,0.67,neg_then_up,negative,up
2009-07-21,-0.29,-1.15,-0.86,neg_then_down,negative,down
2009-10-20,0.25,-0.67,-0.92,pos_then_down,positive,down
2010-01-25,-0.44,0.14,0.58,neg_then_up,negative,up
2010-04-21,0.02,-0.02,-0.03,pos_then_down,positive,down
2010-07-21,0.88,-4.58,-5.41,pos_then_down,positive,down
2010-10-20,0.46,0.0,-0.46,pos_then_down,positive,down
2011-01-25,2.88,2.52,-0.35,pos_then_down,positive,down
2011-04-20,0.54,-2.26,-2.78,pos_then_down,positive,down
2011-07-20,0.72,0.47,-0.24,pos_then_down,positive,down
2011-10-25,-0.28,-0.76,-0.48,neg_then_down,negative,down
2012-01-24,-0.99,-0.3,0.7,neg_then_up,negative,up
2012-04-18,0.14,-0.64,-0.78,pos_then_down,positive,down
2012-07-19,-0.48,-3.74,-3.28,neg_then_down,negative,down
2012-10-17,-0.32,1.32,1.65,neg_then_up,negative,up
2013-01-16,0.12,1.03,0.92,pos_then_up,positive,up
2013-04-17,-0.1,-2.81,-2.7,neg_then_down,negative,down
2013-07-18,0.51,0.2,-0.3,pos_then_down,positive,down
2013-10-02,-0.24,-0.11,0.13,neg_then_up,negative,up
2014-01-30,-0.74,0.23,0.98,neg_then_up,negative,up
2014-04-24,0.09,-2.94,-3.02,pos_then_down,positive,down
2014-07-24,0.47,1.16,0.68,pos_then_up,positive,up
2014-10-23,0.46,1.4,0.93,pos_then_up,positive,up
2015-01-29,-1.1,-0.03,1.08,neg_then_up,negative,up
2015-04-23,0.51,0.8,0.29,pos_then_up,positive,up
2015-07-23,-0.31,-1.38,-1.08,neg_then_down,negative,down
2015-10-22,0.45,4.09,3.63,pos_then_up,positive,up
2016-01-28,0.39,2.37,1.97,pos_then_up,positive,up
2016-04-21,0.19,0.4,0.21,pos_then_up,positive,up
2016-07-21,0.24,1.17,0.93,pos_then_up,positive,up
2016-10-20,-0.39,-1.04,-0.65,neg_then_down,negative,down
2017-01-26,0.68,-0.18,-0.86,pos_then_down,positive,down
2017-04-20,0.16,-0.7,-0.86,pos_then_down,positive,down
2017-07-25,0.2,0.04,-0.17,pos_then_down,positive,down
2018-02-01,-0.27,-0.45,-0.18,neg_then_down,negative,down
2018-04-19,0.35,-3.28,-3.62,pos_then_down,positive,down
2018-07-24,0.31,2.12,1.81,pos_then_up,positive,up
2018-10-23,-0.39,-3.95,-3.57,neg_then_down,negative,down
2019-02-14,0.63,2.7,2.06,pos_then_up,positive,up
2019-04-23,0.35,1.8,1.45,pos_then_up,positive,up
2019-07-23,0.41,-0.02,-0.42,pos_then_down,positive,down
2019-10-22,0.44,2.15,1.71,pos_then_up,positive,up
2020-01-30,-0.44,-1.19,-0.75,neg_then_down,negative,down
2020-04-22,0.42,1.08,0.66,pos_then_up,positive,up
2020-07-13,1.66,3.0,1.31,pos_then_up,positive,up
2020-10-22,0.07,0.63,0.55,pos_then_up,positive,up
2021-02-04,-0.51,-0.16,0.35,neg_then_up,negative,up
2021-04-22,-1.94,-1.86,0.08,neg_then_up,negative,up
2021-07-22,0.18,1.06,0.88,pos_then_up,positive,up
2021-10-21,-0.25,0.78,1.03,neg_then_up,negative,up
2022-01-12,0.05,-1.45,-1.49,pos_then_down,positive,down
2022-04-21,-0.95,-3.14,-2.22,neg_then_down,negative,down
2022-07-21,0.84,-2.67,-3.48,pos_then_down,positive,down
2022-10-20,0.22,1.55,1.33,pos_then_up,positive,up
2023-02-02,-0.3,-1.83,-1.54,neg_then_down,negative,down
2023-04-27,-0.78,-1.56,-0.79,neg_then_down,negative,down
2023-07-26,-0.18,-1.38,-1.21,neg_then_down,negative,down
2023-10-24,-1.41,1.53,2.98,neg_then_up,negative,up
2024-02-01,-0.56,-1.71,-1.15,neg_then_down,negative,down
2024-04-23,-0.51,0.62,1.14,neg_then_up,negative,up
2024-07-23,0.73,2.09,1.35,pos_then_up,positive,up
2024-10-22,1.51,-0.22,-1.7,pos_then_down,positive,down
2025-01-30,-0.14,-0.65,-0.51,neg_then_down,negative,down
2025-04-22,-0.04,0.42,0.46,neg_then_up,negative,up
2025-07-22,0.78,-4.35,-5.09,pos_then_down,positive,down
2025-10-21,0.13,-1.88,-2.01,pos_then_down,positive,down
