date,close_to_open_pct,close_to_close_pct,open_to_close_pct,scenario,gap_sign,intraday_sign
2004-10-07,1.5,0.1,-1.38,pos_then_down,positive,down
2005-01-12,1.55,4.67,3.07,pos_then_up,positive,up
2005-04-08,1.24,-1.31,-2.51,pos_then_down,positive,down
2005-07-07,0.35,0.78,0.43,pos_then_up,positive,up
2006-07-14,-0.42,-2.26,-1.85,neg_then_down,negative,down
2006-10-10,-0.2,-2.3,-2.1,neg_then_down,negative,down
2007-01-09,-0.86,-0.16,0.71,neg_then_up,negative,up
2007-04-10,-0.05,-1.7,-1.66,neg_then_down,negative,down
2007-07-10,-0.36,0.82,1.19,neg_then_up,negative,up
2008-02-07,1.14,-4.84,-5.91,pos_then_down,positive,down
2008-05-06,-0.77,-6.59,-5.86,neg_then_down,negative,down
2008-08-05,-0.63,2.23,2.88,neg_then_up,negative,up
2008-11-05,1.03,7.49,6.4,pos_then_up,positive,up
2009-02-03,-1.35,1.35,2.73,neg_then_up,negative,up
2009-05-04,-5.41,-8.45,-3.21,neg_then_down,negative,down
2009-08-04,0.41,2.27,1.86,pos_then_up,positive,up
2009-11-20,2.51,2.8,0.28,pos_then_up,positive,up
2010-02-02,0.45,0.3,-0.15,pos_then_down,positive,down
2010-04-30,0.14,1.91,1.77,pos_then_up,positive,up
2010-08-03,0.47,-1.13,-1.6,pos_then_down,positive,down
2010-11-12,0.26,-4.69,-4.94,pos_then_down,positive,down
2011-01-27,-0.08,-2.42,-2.34,neg_then_down,negative,down
2011-04-29,0.88,-2.81,-3.67,pos_then_down,positive,down
2011-07-28,-1.26,-0.17,1.11,neg_then_up,negative,up
2011-11-14,-0.71,0.35,1.07,neg_then_up,negative,up
2012-01-27,-1.11,-2.15,-1.05,neg_then_down,negative,down
2012-04-23,0.86,3.19,2.3,pos_then_up,positive,up
2012-07-27,1.41,-2.66,-4.02,pos_then_down,positive,down
2012-11-13,0.83,-4.47,-5.26,pos_then_down,positive,down
2013-01-29,-1.18,-3.19,-2.04,neg_then_down,negative,down
2013-04-26,-0.19,-0.53,-0.34,neg_then_down,negative,down
2013-07-25,0.1,-0.26,-0.36,pos_then_down,positive,down
2013-11-12,-0.9,0.74,1.65,neg_then_up,negative,up
2014-01-28,-1.78,0.48,2.3,neg_then_up,negative,up
2014-04-24,0.17,-2.77,-2.93,pos_then_down,positive,down
2014-07-24,-0.59,-1.5,-0.92,neg_then_down,negative,down
2014-11-12,-0.04,1.17,1.21,neg_then_up,negative,up
2015-01-26,-1.97,-0.9,1.09,neg_then_up,negative,up
2015-04-22,-0.41,-3.26,-2.86,neg_then_down,negative,down
2015-07-28,0.65,3.59,2.92,pos_then_up,positive,up
2015-11-10,0.26,2.79,2.53,pos_then_up,positive,up
2016-01-25,2.54,3.56,1.0,pos_then_up,positive,up
2016-04-21,-0.76,-2.01,-1.27,neg_then_down,negative,down
2016-07-21,-0.73,-0.96,-0.24,neg_then_down,negative,down
2016-11-08,-2.12,-0.83,1.32,neg_then_up,negative,up
2017-01-24,0.88,2.38,1.49,pos_then_up,positive,up
2017-04-20,-0.15,-0.69,-0.54,neg_then_down,negative,down
2017-07-26,0.22,-0.61,-0.82,pos_then_down,positive,down
2017-11-09,1.76,0.02,-1.71,pos_then_down,positive,down
2018-01-11,0.38,-0.25,-0.63,pos_then_down,positive,down
2018-04-26,0.13,-0.75,-0.88,pos_then_down,positive,down
2018-07-26,1.07,0.14,-0.93,pos_then_down,positive,down
2018-10-09,-0.53,-2.84,-2.32,neg_then_down,negative,down
2019-01-25,-2.06,-2.44,-0.38,neg_then_down,negative,down
2019-04-25,-0.36,-1.01,-0.65,neg_then_down,negative,down
2019-07-30,0.77,-1.27,-2.03,pos_then_down,positive,down
2019-11-12,0.02,0.11,0.09,pos_then_up,positive,up
2020-01-27,1.02,2.87,1.82,pos_then_up,positive,up
2020-04-07,1.97,8.51,6.41,pos_then_up,positive,up
2020-07-28,1.01,3.13,2.1,pos_then_up,positive,up
2020-11-10,1.89,2.78,0.87,pos_then_up,positive,up
2021-01-26,-1.31,-4.02,-2.75,neg_then_down,negative,down
2021-04-22,0.82,3.47,2.62,pos_then_up,positive,up
2021-07-22,2.39,4.36,1.93,pos_then_up,positive,up
2021-11-09,-0.43,-2.56,-2.14,neg_then_down,negative,down
2022-02-02,-1.07,-2.94,-1.89,neg_then_down,negative,down
2022-04-26,1.19,-2.94,-4.08,pos_then_down,positive,down
2022-07-21,1.44,2.06,0.61,pos_then_up,positive,up
2022-11-09,8.17,11.24,2.84,pos_then_up,positive,up
2023-01-24,-1.49,-1.57,-0.07,neg_then_down,negative,down
2023-04-20,0.08,-0.95,-1.03,pos_then_down,positive,down
2023-07-20,0.81,1.72,0.91,pos_then_up,positive,up
2023-11-07,0.66,0.53,-0.13,pos_then_down,positive,down
2024-01-23,1.08,-2.74,-3.77,pos_then_down,positive,down
2024-04-18,0.16,-2.53,-2.69,pos_then_down,positive,down
2024-07-18,0.19,0.24,0.05,pos_then_up,positive,up
2024-10-29,-0.61,1.18,1.8,neg_then_up,negative,up
2025-01-21,-0.1,2.25,2.35,neg_then_up,negative,up
2025-04-17,-0.73,-0.4,0.33,neg_then_up,negative,up
2025-07-22,0.17,-3.47,-3.64,pos_then_down,positive,down
2025-10-28,-1.75,-3.55,-1.83,neg_then_down,negative,down
