date,close_to_open_pct,open_to_close_pct,close_to_close_pct,scenario,conditional_sign,next_day_sign
2006-08-04,-0.48,-1.39,-1.86,neg_then_down,negative,down
2006-11-02,-0.03,0.53,0.49,neg_then_up,negative,up
2007-02-08,0.69,-1.1,-0.42,pos_then_down,positive,down
2007-05-11,-0.29,-0.34,-0.62,neg_then_down,negative,down
2007-08-09,-0.15,-0.36,-0.51,neg_then_down,negative,down
2007-11-08,-3.12,-6.71,-9.62,neg_then_down,negative,down
2008-02-07,-0.35,-2.12,-2.46,neg_then_down,negative,down
2008-05-08,-1.02,4.41,3.35,neg_then_up,negative,up
2008-08-07,0.49,3.97,4.48,pos_then_up,positive,up
2008-11-06,0.44,-1.46,-1.02,pos_then_down,positive,down
2009-02-05,2.85,-1.78,1.03,pos_then_down,positive,down
2009-05-07,1.15,-3.4,-2.28,pos_then_down,positive,down
2009-08-06,0.85,1.28,2.14,pos_then_up,positive,up
2009-11-05,-0.12,1.08,0.95,neg_then_up,negative,up
2010-02-04,-0.79,-1.09,-1.87,neg_then_down,negative,down
2010-05-20,-1.46,0.43,-1.04,neg_then_up,negative,up
2010-08-19,-0.02,1.76,1.73,neg_then_up,negative,up
2010-11-18,0.28,-1.02,-0.74,pos_then_down,positive,down
2011-02-23,2.72,1.5,4.26,pos_then_up,positive,up
2011-05-19,0.41,-1.33,-0.92,pos_then_down,positive,down
2011-08-18,-0.79,-0.22,-1.01,neg_then_down,negative,down
2011-11-17,0.34,-0.74,-0.41,pos_then_down,positive,down
2012-02-22,0.23,0.57,0.8,pos_then_up,positive,up
2012-05-17,0.09,-0.03,0.06,pos_then_down,positive,down
2012-08-16,0.18,-0.61,-0.43,pos_then_down,positive,down
2012-11-15,0.23,-2.44,-2.22,pos_then_down,positive,down
2013-02-27,-0.31,-0.13,-0.44,neg_then_down,negative,down
2013-05-23,-0.36,0.46,0.1,neg_then_up,negative,up
2013-08-22,0.4,-0.09,0.3,pos_then_down,positive,down
2013-11-21,0.98,0.05,1.03,pos_then_up,positive,up
2014-02-26,-0.45,-0.69,-1.14,neg_then_down,negative,down
2014-05-22,0.15,-1.33,-1.18,pos_then_down,positive,down
2014-08-21,0.2,-0.22,-0.02,pos_then_down,positive,down
2014-11-07,0.28,0.19,0.47,pos_then_up,positive,up
2015-02-25,-0.47,0.32,-0.15,neg_then_up,negative,up
2015-05-21,-0.55,-1.37,-1.91,neg_then_down,negative,down
2015-11-24,0.46,0.58,1.04,pos_then_up,positive,up
2016-03-01,-1.15,-2.86,-3.97,neg_then_down,negative,down
2016-05-26,0.68,-0.03,0.65,pos_then_down,positive,down
2016-08-25,-0.42,0.42,0.0,neg_then_up,negative,up
2016-11-22,-0.02,0.23,0.2,neg_then_up,negative,up
2017-03-01,0.09,1.08,1.17,pos_then_up,positive,up
2017-05-25,0.44,-1.1,-0.66,pos_then_down,positive,down
2017-08-24,1.76,0.64,2.41,pos_then_up,positive,up
2017-11-21,-0.23,0.54,0.31,neg_then_up,negative,up
2018-03-07,1.96,0.35,2.32,pos_then_up,positive,up
2018-05-31,0.68,-2.25,-1.59,pos_then_down,positive,down
2018-08-30,0.73,0.19,0.92,pos_then_up,positive,up
2018-11-29,0.23,-2.1,-1.88,pos_then_down,positive,down
2019-03-06,-0.92,3.75,2.8,neg_then_up,negative,up
2019-05-30,-0.75,4.12,3.34,neg_then_up,negative,up
2019-08-29,0.59,3.34,3.95,pos_then_up,positive,up
2019-11-26,-0.8,-1.56,-2.34,neg_then_down,negative,down
2020-03-04,-0.35,-0.81,-1.17,neg_then_down,negative,down
2020-05-28,-0.63,0.88,0.24,neg_then_up,negative,up
2020-08-27,0.52,-2.56,-2.06,pos_then_down,positive,down
2020-11-24,-0.26,0.6,0.34,neg_then_up,negative,up
2021-03-03,-0.08,0.01,-0.07,neg_then_up,negative,up
2021-05-27,0.49,-3.08,-2.61,pos_then_down,positive,down
2021-08-26,-1.28,-1.51,-2.77,neg_then_down,negative,down
2021-11-23,1.08,0.23,1.31,pos_then_up,positive,up
2022-03-02,1.49,3.15,4.69,pos_then_up,positive,up
2022-05-26,-0.61,1.98,1.35,neg_then_up,negative,up
2022-08-25,0.13,-7.04,-6.92,pos_then_down,positive,down
2022-11-22,-0.51,-0.96,-1.46,neg_then_down,negative,down
2023-03-01,-3.96,3.05,-1.03,neg_then_up,negative,up
2023-05-25,-0.11,4.35,4.24,neg_then_up,negative,up
2023-08-24,-0.12,-0.34,-0.46,neg_then_down,negative,down
2023-11-29,0.56,1.47,2.04,pos_then_up,positive,up
2024-03-13,0.09,-2.58,-2.48,pos_then_down,positive,down
2024-06-05,-0.88,-0.88,-1.76,neg_then_down,negative,down
2024-09-04,-0.74,8.53,7.72,neg_then_up,negative,up
2024-12-04,1.96,-3.61,-1.72,pos_then_down,positive,down
2025-03-26,2.24,8.75,11.18,pos_then_up,positive,up
2025-06-04,3.15,5.75,9.08,pos_then_up,positive,up
2025-09-03,-0.34,-1.41,-1.74,neg_then_down,negative,down
