date,close_to_open_pct,close_to_close_pct,open_to_close_pct,scenario,gap_sign,intraday_sign
2003-08-12,-0.24,-0.36,-0.12,neg_then_down,negative,down
2004-01-27,-0.27,-0.11,0.16,neg_then_up,negative,up
2004-05-06,-1.42,-4.49,-3.11,neg_then_down,negative,down
2004-07-29,0.61,1.05,0.44,pos_then_up,positive,up
2004-10-28,-0.35,-1.66,-1.31,neg_then_down,negative,down
2005-05-03,0.2,0.56,0.36,pos_then_up,positive,up
2006-05-02,-0.23,-0.08,0.15,neg_then_up,negative,up
2006-10-30,0.19,0.71,0.51,pos_then_up,positive,up
2007-02-13,-0.1,-1.14,-1.04,neg_then_down,negative,down
2007-05-01,0.4,0.83,0.43,pos_then_up,positive,up
2007-07-31,1.98,-0.99,-2.92,pos_then_down,positive,down
2007-10-30,0.44,0.71,0.27,pos_then_up,positive,up
2008-02-12,1.42,2.11,0.68,pos_then_up,positive,up
2008-04-29,-2.39,-2.86,-0.47,neg_then_down,negative,down
2008-08-05,-8.77,-6.11,2.92,neg_then_up,negative,up
2008-11-04,-1.47,-10.83,-9.51,neg_then_down,negative,down
2009-02-10,1.47,0.54,-0.92,pos_then_down,positive,down
2009-04-28,1.23,4.54,3.27,pos_then_up,positive,up
2009-08-04,-6.05,-0.15,6.28,neg_then_up,negative,up
2009-11-03,1.15,-4.31,-5.4,pos_then_down,positive,down
2010-01-11,-0.78,-1.69,-0.92,neg_then_down,negative,down
2010-04-27,0.99,0.31,-0.68,pos_then_down,positive,down
2010-08-03,0.11,0.94,0.83,pos_then_up,positive,up
2010-10-14,0.58,-0.14,-0.71,pos_then_down,positive,down
2011-02-15,0.21,-0.16,-0.37,pos_then_down,positive,down
2011-05-03,0.18,-1.0,-1.18,pos_then_down,positive,down
2011-08-02,-0.06,-0.03,0.03,neg_then_up,negative,up
2011-10-31,-3.24,-2.84,0.41,neg_then_up,negative,up
2012-02-14,-1.76,-2.1,-0.35,neg_then_down,negative,down
2012-05-01,-0.34,-0.07,0.27,neg_then_up,negative,up
2012-07-31,0.17,-0.57,-0.74,pos_then_down,positive,down
2012-10-16,-3.2,-2.68,0.54,neg_then_up,negative,up
2013-02-12,0.42,0.38,-0.04,pos_then_down,positive,down
2013-04-30,-0.09,0.02,0.11,neg_then_up,negative,up
2013-07-30,0.54,-1.79,-2.32,pos_then_down,positive,down
2013-10-29,0.17,0.38,0.21,pos_then_up,positive,up
2014-02-11,0.08,-0.53,-0.61,pos_then_down,positive,down
2014-05-06,0.45,1.17,0.71,pos_then_up,positive,up
2014-08-05,-0.12,-0.07,0.05,neg_then_up,negative,up
2014-11-04,0.38,0.25,-0.13,pos_then_down,positive,down
2015-02-10,0.47,-0.21,-0.68,pos_then_down,positive,down
2015-08-04,0.18,-0.72,-0.9,pos_then_down,positive,down
2015-11-03,-0.08,-1.66,-1.58,neg_then_down,negative,down
2016-02-09,0.04,-3.95,-3.99,pos_then_down,positive,down
2016-05-09,0.67,-3.56,-4.2,pos_then_down,positive,down
2016-08-09,0.33,1.41,1.07,pos_then_up,positive,up
2016-11-01,-0.2,-4.07,-3.88,neg_then_down,negative,down
2017-02-13,-0.39,-1.43,-1.04,neg_then_down,negative,down
2017-05-02,0.7,-2.34,-3.02,pos_then_down,positive,down
2017-08-01,-0.4,-0.73,-0.33,neg_then_down,negative,down
2017-11-02,-0.26,2.11,2.38,neg_then_up,negative,up
2018-02-13,-2.1,-2.94,-0.87,neg_then_down,negative,down
2018-05-03,-0.35,1.21,1.56,neg_then_up,negative,up
2018-08-02,0.43,3.08,2.64,pos_then_up,positive,up
2018-10-31,0.33,2.11,1.77,pos_then_up,positive,up
2019-02-13,-0.03,0.62,0.65,neg_then_up,negative,up
2019-05-01,-0.43,2.04,2.48,neg_then_up,negative,up
2019-07-31,-0.25,2.57,2.83,neg_then_up,negative,up
2019-10-30,0.35,1.98,1.62,pos_then_up,positive,up
2020-02-11,0.25,0.44,0.19,pos_then_up,positive,up
2020-05-05,-0.32,-4.64,-4.34,neg_then_down,negative,down
2021-02-09,0.67,2.41,1.73,pos_then_up,positive,up
2021-05-04,-0.41,-2.76,-2.36,neg_then_down,negative,down
2021-08-03,-0.76,0.57,1.34,neg_then_up,negative,up
2021-11-02,0.71,-1.22,-1.91,pos_then_down,positive,down
2022-02-08,0.8,2.39,1.58,pos_then_up,positive,up
2022-05-03,-0.24,-2.3,-2.06,neg_then_down,negative,down
2022-08-02,0.51,-1.32,-1.82,pos_then_down,positive,down
2022-11-01,4.03,-0.63,-4.48,pos_then_down,positive,down
2023-02-07,-0.67,-0.78,-0.11,neg_then_down,negative,down
2023-04-27,1.98,3.58,1.57,pos_then_up,positive,up
2023-07-27,2.2,-0.41,-2.56,pos_then_down,positive,down
2023-10-30,1.13,-2.69,-3.77,pos_then_down,positive,down
2024-02-08,-1.95,-3.61,-1.7,neg_then_down,negative,down
2024-04-25,0.71,2.51,1.79,pos_then_up,positive,up
2024-10-24,-1.48,-3.09,-1.63,neg_then_down,negative,down
2025-02-03,-1.82,-1.57,0.25,neg_then_up,negative,up
2025-07-24,-2.54,-6.73,-4.3,neg_then_down,negative,down
2025-10-23,0.97,1.19,0.21,pos_then_up,positive,up
