date,close_to_open_pct,close_to_close_pct,open_to_close_pct,scenario,gap_sign,intraday_sign
2003-10-20,0.18,-0.56,-0.73,pos_then_down,positive,down
2004-01-27,0.55,-0.95,-1.5,pos_then_down,positive,down
2004-04-29,0.39,-2.58,-2.96,pos_then_down,positive,down
2004-10-21,0.51,-0.54,-1.05,pos_then_down,positive,down
2005-04-20,0.25,0.75,0.5,pos_then_up,positive,up
2005-07-22,-0.31,-1.55,-1.24,neg_then_down,negative,down
2005-10-21,0.39,2.94,2.54,pos_then_up,positive,up
2006-01-27,0.22,2.57,2.35,pos_then_up,positive,up
2006-04-27,2.86,2.35,-0.5,pos_then_down,positive,down
2006-07-25,0.95,0.06,-0.88,pos_then_down,positive,down
2006-10-24,-4.95,-6.31,-1.43,neg_then_down,negative,down
2007-01-31,0.38,2.06,1.67,pos_then_up,positive,up
2007-04-25,2.53,0.66,-1.82,pos_then_down,positive,down
2007-07-25,-0.54,-0.74,-0.2,neg_then_down,negative,down
2007-10-24,-0.24,-1.86,-1.63,neg_then_down,negative,down
2008-01-30,-1.39,-1.88,-0.49,neg_then_down,negative,down
2008-04-23,-0.06,3.98,4.05,neg_then_up,negative,up
2008-07-23,0.73,-1.76,-2.47,pos_then_down,positive,down
2008-10-22,-0.61,-2.68,-2.08,neg_then_down,negative,down
2009-01-28,-1.37,-6.46,-5.16,neg_then_down,negative,down
2009-04-22,-0.03,-3.19,-3.16,neg_then_down,negative,down
2009-07-24,0.09,-1.74,-1.82,pos_then_down,positive,down
2009-10-23,0.08,0.83,0.75,pos_then_up,positive,up
2010-01-29,0.7,1.38,0.67,pos_then_up,positive,up
2010-04-23,-0.15,-1.09,-0.94,neg_then_down,negative,down
2010-07-23,0.57,1.68,1.1,pos_then_up,positive,up
2010-10-22,1.02,0.41,-0.6,pos_then_down,positive,down
2011-01-28,0.79,3.14,2.33,pos_then_up,positive,up
2011-04-21,0.16,-2.21,-2.37,pos_then_down,positive,down
2011-07-22,-0.06,-0.33,-0.27,neg_then_down,negative,down
2011-10-21,-0.08,1.95,2.03,neg_then_up,negative,up
2012-01-25,2.51,3.4,0.87,pos_then_up,positive,up
2012-04-18,0.07,-1.9,-1.96,pos_then_down,positive,down
2012-07-09,0.29,-1.13,-1.41,pos_then_down,positive,down
2012-10-17,1.73,3.45,1.68,pos_then_up,positive,up
2013-01-24,0.33,-0.42,-0.74,pos_then_down,positive,down
2013-04-17,0.26,-1.89,-2.14,pos_then_down,positive,down
2013-07-18,0.08,2.01,1.92,pos_then_up,positive,up
2013-10-17,0.77,1.75,0.98,pos_then_up,positive,up
2014-01-30,-2.9,-3.04,-0.14,neg_then_down,negative,down
2014-04-17,-0.47,0.47,0.94,neg_then_up,negative,up
2014-07-17,0.39,1.81,1.42,pos_then_up,positive,up
2014-10-16,1.4,1.46,0.05,pos_then_up,positive,up
2015-01-27,0.28,-2.9,-3.18,pos_then_down,positive,down
2015-04-21,-0.07,-0.06,0.01,neg_then_up,negative,up
2015-07-21,-0.5,-0.14,0.36,neg_then_up,negative,up
2015-10-20,0.37,0.57,0.19,pos_then_up,positive,up
2016-01-26,-0.52,-1.34,-0.82,neg_then_down,negative,down
2016-04-21,0.06,1.0,0.94,pos_then_up,positive,up
2016-07-21,-0.13,-0.89,-0.77,neg_then_down,negative,down
2016-10-19,-0.17,-1.76,-1.59,neg_then_down,negative,down
2017-01-26,0.41,-0.67,-1.08,pos_then_down,positive,down
2017-04-20,0.3,-0.49,-0.79,pos_then_down,positive,down
2017-07-20,-0.58,-0.36,0.22,neg_then_up,negative,up
2017-10-19,1.9,6.09,4.11,pos_then_up,positive,up
2018-01-30,0.09,-0.78,-0.88,pos_then_down,positive,down
2018-04-16,0.48,-0.32,-0.79,pos_then_down,positive,down
2018-07-19,-0.49,2.71,3.22,neg_then_up,negative,up
2018-10-18,0.19,-1.29,-1.48,pos_then_down,positive,down
2019-01-29,1.1,3.09,1.96,pos_then_up,positive,up
2019-04-18,-1.47,-1.46,0.01,neg_then_up,negative,up
2019-07-18,0.68,0.93,0.25,pos_then_up,positive,up
2019-10-17,0.13,0.83,0.7,pos_then_up,positive,up
2020-01-30,-0.83,-4.26,-3.46,neg_then_down,negative,down
2020-04-21,2.72,2.14,-0.56,pos_then_down,positive,down
2020-07-22,0.2,0.53,0.33,pos_then_up,positive,up
2020-10-20,-0.25,-0.45,-0.19,neg_then_down,negative,down
2021-01-28,-0.53,-1.28,-0.76,neg_then_down,negative,down
2021-04-20,0.26,2.74,2.48,pos_then_up,positive,up
2021-07-20,0.72,1.2,0.48,pos_then_up,positive,up
2021-10-19,0.95,0.56,-0.38,pos_then_down,positive,down
2022-01-27,-0.05,-1.0,-0.94,neg_then_down,negative,down
2022-04-21,-0.79,-0.8,-0.01,neg_then_down,negative,down
2022-07-21,0.19,0.94,0.75,pos_then_up,positive,up
2022-10-20,0.13,4.83,4.7,pos_then_up,positive,up
2023-01-31,0.41,3.14,2.72,pos_then_up,positive,up
2023-04-26,0.55,2.68,2.12,pos_then_up,positive,up
2023-07-25,-0.51,0.2,0.71,neg_then_up,negative,up
2023-10-24,-0.91,-1.7,-0.8,neg_then_down,negative,down
2024-02-01,-0.35,1.41,1.76,neg_then_up,negative,up
2024-04-25,0.15,0.59,0.44,pos_then_up,positive,up
2024-07-25,-0.48,-0.59,-0.11,neg_then_down,negative,down
2024-10-10,-0.1,2.18,2.29,neg_then_up,negative,up
2025-01-30,0.7,-0.85,-1.53,pos_then_down,positive,down
2025-04-24,-0.15,-0.42,-0.27,neg_then_down,negative,down
2025-07-24,0.18,-0.07,-0.25,pos_then_down,positive,down
2025-10-23,-0.23,-2.09,-1.86,neg_then_down,negative,down
