date,close_to_open_pct,close_to_close_pct,open_to_close_pct,scenario,gap_sign,intraday_sign
2019-07-25,-0.98,-3.27,-2.31,neg_then_down,negative,down
2019-10-24,0.63,2.04,1.41,pos_then_up,positive,up
2020-01-29,-2.74,-2.42,0.33,neg_then_up,negative,up
2020-04-30,-5.34,-7.52,-2.3,neg_then_down,negative,down
2020-10-22,1.43,-0.59,-2.0,pos_then_down,positive,down
2021-01-28,-0.97,-4.56,-3.62,neg_then_down,negative,down
2021-04-22,0.28,1.94,1.65,pos_then_up,positive,up
2021-07-22,0.6,-0.61,-1.2,pos_then_down,positive,down
2021-10-21,0.64,-1.45,-2.08,pos_then_down,positive,down
2022-01-27,0.88,-0.23,-1.1,pos_then_down,positive,down
2022-04-21,0.81,-1.45,-2.24,pos_then_down,positive,down
2022-07-21,0.19,-1.07,-1.26,pos_then_down,positive,down
2022-10-20,0.2,4.32,4.11,pos_then_up,positive,up
2023-01-26,-0.14,1.46,1.6,neg_then_up,negative,up
2023-04-25,-0.44,0.15,0.59,neg_then_up,negative,up
2023-07-25,-0.43,0.41,0.85,neg_then_up,negative,up
2023-10-24,-0.63,-3.45,-2.84,neg_then_down,negative,down
2024-01-25,0.11,-1.6,-1.71,pos_then_down,positive,down
2024-04-25,2.14,1.51,-0.62,pos_then_down,positive,down
2024-07-25,0.04,0.02,-0.02,pos_then_down,positive,down
2024-10-24,-0.73,-2.53,-1.82,neg_then_down,negative,down
2025-01-30,0.71,1.3,0.58,pos_then_up,positive,up
2025-04-24,-1.41,0.87,2.32,neg_then_up,negative,up
2025-07-24,-1.72,1.76,3.53,neg_then_up,negative,up
2025-10-23,0.94,1.22,0.28,pos_then_up,positive,up
