date,close_to_open_pct,close_to_close_pct,open_to_close_pct,scenario,gap_sign,intraday_sign
2004-10-19,0.64,0.13,-0.51,pos_then_down,positive,down
2005-01-18,-0.33,-2.28,-1.96,neg_then_down,negative,down
2005-05-10,-0.1,4.26,4.36,neg_then_up,negative,up
2005-10-25,-0.5,1.59,2.1,neg_then_up,negative,up
2006-01-11,-0.58,-0.87,-0.29,neg_then_down,negative,down
2006-04-27,-0.95,-0.08,0.88,neg_then_up,negative,up
2006-10-12,0.04,-0.45,-0.49,pos_then_down,positive,down
2007-02-23,-0.31,-0.78,-0.47,neg_then_down,negative,down
2007-05-02,-0.06,-0.25,-0.19,neg_then_down,negative,down
2007-07-24,0.19,-2.36,-2.54,pos_then_down,positive,down
2007-10-16,-0.28,2.38,2.67,neg_then_up,negative,up
2008-02-26,-0.73,2.33,3.08,neg_then_up,negative,up
2008-04-29,0.78,2.95,2.15,pos_then_up,positive,up
2008-07-22,-0.08,5.78,5.86,neg_then_up,negative,up
2009-04-30,-2.12,0.53,2.71,neg_then_up,negative,up
2009-10-13,3.32,-0.12,-3.33,pos_then_down,positive,down
2010-03-02,0.97,5.0,3.99,pos_then_up,positive,up
2010-05-04,0.71,1.85,1.13,pos_then_up,positive,up
2010-07-27,-0.53,-0.61,-0.08,neg_then_down,negative,down
2010-10-19,0.39,0.26,-0.13,pos_then_down,positive,down
2011-03-01,-0.98,3.29,4.31,neg_then_up,negative,up
2011-05-05,1.92,3.0,1.06,pos_then_up,positive,up
2011-07-26,0.92,-0.4,-1.31,pos_then_down,positive,down
2011-10-18,0.6,3.92,3.3,pos_then_up,positive,up
2012-02-28,-1.42,-0.93,0.5,neg_then_up,negative,up
2012-05-01,-0.96,-2.51,-1.56,neg_then_down,negative,down
2012-07-24,2.12,1.24,-0.86,pos_then_down,positive,down
2012-10-16,0.8,0.1,-0.7,pos_then_down,positive,down
2013-02-28,-0.27,1.36,1.64,neg_then_up,negative,up
2013-04-30,0.04,-1.01,-1.05,pos_then_down,positive,down
2013-07-23,1.18,2.66,1.46,pos_then_up,positive,up
2013-10-15,1.08,2.71,1.62,pos_then_up,positive,up
2014-02-25,0.63,3.49,2.85,pos_then_up,positive,up
2014-05-01,0.29,1.66,1.36,pos_then_up,positive,up
2014-07-22,0.24,-0.89,-1.13,pos_then_down,positive,down
2014-10-14,-0.83,-0.77,0.06,neg_then_up,negative,up
2015-07-16,-0.32,-4.78,-4.48,neg_then_down,negative,down
2015-09-28,-0.67,-2.46,-1.8,neg_then_down,negative,down
2016-02-25,0.1,1.12,1.02,pos_then_up,positive,up
2016-04-28,0.49,0.34,-0.15,pos_then_down,positive,down
2016-07-21,0.43,2.85,2.41,pos_then_up,positive,up
2016-10-18,-0.24,3.49,3.75,neg_then_up,negative,up
2017-02-28,0.96,-1.24,-2.19,pos_then_down,positive,down
2017-07-25,1.35,-3.1,-4.39,pos_then_down,positive,down
2017-10-12,0.17,-4.0,-4.17,pos_then_down,positive,down
2018-02-20,0.3,4.08,3.77,pos_then_up,positive,up
2018-04-26,0.55,-0.87,-1.41,pos_then_down,positive,down
2018-07-19,-0.63,0.15,0.79,neg_then_up,negative,up
2018-10-16,0.66,3.1,2.43,pos_then_up,positive,up
2019-02-21,-0.32,3.04,3.37,neg_then_up,negative,up
2019-04-24,-0.4,-2.46,-2.07,neg_then_down,negative,down
2019-07-16,-0.42,2.62,3.06,neg_then_up,negative,up
2019-10-08,-0.78,-2.09,-1.32,neg_then_down,negative,down
2020-02-20,-1.92,-0.32,1.63,neg_then_up,negative,up
2020-04-23,-0.18,-0.64,-0.46,neg_then_down,negative,down
2020-07-16,0.61,-4.25,-4.82,pos_then_down,positive,down
2020-10-08,0.5,-2.51,-2.99,pos_then_down,positive,down
2021-02-25,0.08,2.22,2.14,pos_then_up,positive,up
2021-07-22,0.59,-2.48,-3.05,pos_then_down,positive,down
2021-10-14,-0.75,-4.73,-4.01,neg_then_down,negative,down
2022-03-01,-1.59,-2.07,-0.49,neg_then_down,negative,down
2022-07-21,-0.06,-1.57,-1.51,neg_then_down,negative,down
2022-10-13,0.22,-4.78,-4.99,pos_then_down,positive,down
2023-02-23,-1.87,-3.37,-1.53,neg_then_down,negative,down
2023-04-27,0.38,0.1,-0.27,pos_then_down,positive,down
2023-07-24,0.42,2.89,2.46,pos_then_up,positive,up
2023-10-12,-1.38,-0.96,0.42,neg_then_up,negative,up
2024-02-26,0.27,-2.77,-3.04,pos_then_down,positive,down
2024-04-29,0.24,0.41,0.16,pos_then_up,positive,up
2024-07-18,-0.42,-1.19,-0.78,neg_then_down,negative,down
2024-10-10,1.49,5.12,3.58,pos_then_up,positive,up
2025-02-24,-1.21,3.18,4.44,neg_then_up,negative,up
2025-04-28,-0.33,0.57,0.91,neg_then_up,negative,up
2025-07-21,0.63,4.05,3.4,pos_then_up,positive,up
2025-10-14,-0.65,-1.6,-0.95,neg_then_down,negative,down
