date,close_to_open_pct,close_to_close_pct,open_to_close_pct,scenario,gap_sign,intraday_sign
2004-06-22,-1.39,-2.08,-0.7,neg_then_down,negative,down
2004-09-22,0.42,6.28,5.83,pos_then_up,positive,up
2004-12-17,1.43,2.29,0.85,pos_then_up,positive,up
2005-03-23,7.42,9.61,2.04,pos_then_up,positive,up
2005-09-22,7.33,2.24,-4.74,pos_then_down,positive,down
2005-12-15,5.17,11.52,6.04,pos_then_up,positive,up
2006-03-22,0.07,0.78,0.7,pos_then_up,positive,up
2006-06-20,3.35,4.89,1.5,pos_then_up,positive,up
2006-09-19,4.22,6.79,2.47,pos_then_up,positive,up
2006-12-20,0.6,-0.1,-0.7,pos_then_down,positive,down
2007-03-20,-0.7,-1.84,-1.15,neg_then_down,negative,down
2007-06-19,-3.2,-7.28,-4.21,neg_then_down,negative,down
2007-09-18,1.41,1.85,0.43,pos_then_up,positive,up
2007-12-18,-12.71,-21.3,-9.84,neg_then_down,negative,down
2008-03-18,3.78,6.6,2.71,pos_then_up,positive,up
2008-06-24,3.64,6.84,3.08,pos_then_up,positive,up
2008-08-26,1.91,-0.46,-2.33,pos_then_down,positive,down
2008-12-18,12.01,19.06,6.29,pos_then_up,positive,up
2009-03-17,12.11,19.97,7.01,pos_then_up,positive,up
2009-06-23,-2.55,-3.21,-0.68,neg_then_down,negative,down
2009-09-29,-7.25,-5.59,1.79,neg_then_up,negative,up
2009-12-17,0.79,7.27,6.42,pos_then_up,positive,up
2010-03-23,-0.55,2.28,2.84,neg_then_up,negative,up
2010-06-23,-2.0,-5.82,-3.9,neg_then_down,negative,down
2010-09-21,-2.32,-1.34,1.0,neg_then_up,negative,up
2010-12-20,-2.8,-5.73,-3.02,neg_then_down,negative,down
2011-03-24,-1.25,-4.96,-3.75,neg_then_down,negative,down
2011-06-30,0.12,6.09,5.96,pos_then_up,positive,up
2011-09-28,0.95,-1.83,-2.75,pos_then_down,positive,down
2011-12-16,0.5,-1.26,-1.75,pos_then_down,positive,down
2012-03-23,1.41,2.0,0.58,pos_then_up,positive,up
2012-06-22,-1.56,-1.0,0.57,neg_then_up,negative,up
2012-12-20,-0.88,-0.75,0.13,neg_then_up,negative,up
2013-03-22,1.19,1.53,0.34,pos_then_up,positive,up
2013-06-21,-1.28,-2.17,-0.91,neg_then_down,negative,down
2013-09-20,0.07,1.05,0.98,pos_then_up,positive,up
2013-12-19,-0.1,0.14,0.24,neg_then_up,negative,up
2014-03-03,0.87,0.6,-0.27,pos_then_down,positive,down
2014-06-20,-0.38,0.38,0.76,neg_then_up,negative,up
2014-09-02,0.44,-0.31,-0.75,pos_then_down,positive,down
2014-12-16,3.51,2.09,-1.37,pos_then_down,positive,down
2015-03-20,1.5,3.7,2.17,pos_then_up,positive,up
2015-06-23,-0.27,2.09,2.37,neg_then_up,negative,up
2015-09-22,0.33,2.04,1.7,pos_then_up,positive,up
2015-12-18,0.66,1.92,1.26,pos_then_up,positive,up
2016-03-09,0.21,0.28,0.07,pos_then_up,positive,up
2016-06-30,-0.27,-0.54,-0.27,neg_then_down,negative,down
2016-10-04,0.62,0.65,0.03,pos_then_up,positive,up
2016-12-20,-0.05,0.0,0.05,neg_then_up,negative,up
2017-03-27,4.5,9.31,4.61,pos_then_up,positive,up
2017-06-27,0.51,-1.22,-1.72,pos_then_down,positive,down
2017-09-26,1.92,1.85,-0.06,pos_then_down,positive,down
2017-12-19,1.08,-1.05,-2.11,pos_then_down,positive,down
2018-03-22,-0.13,-1.97,-1.84,neg_then_down,negative,down
2018-06-21,1.1,1.69,0.58,pos_then_up,positive,up
2018-09-20,0.39,-3.06,-3.43,pos_then_down,positive,down
2018-12-18,0.71,-3.1,-3.79,pos_then_down,positive,down
2019-03-21,0.09,1.15,1.05,pos_then_up,positive,up
2019-06-20,0.31,2.16,1.84,pos_then_up,positive,up
2019-09-19,-0.06,-0.73,-0.67,neg_then_down,negative,down
2019-12-19,0.89,1.11,0.22,pos_then_up,positive,up
2020-03-19,7.26,-8.06,-14.29,pos_then_down,positive,down
2020-06-25,-0.01,-2.2,-2.19,neg_then_down,negative,down
2020-09-24,1.33,-0.14,-1.45,pos_then_down,positive,down
2020-12-18,-2.29,0.65,3.01,neg_then_up,negative,up
2021-03-25,0.8,2.82,2.0,pos_then_up,positive,up
2021-06-24,1.27,3.05,1.76,pos_then_up,positive,up
2021-09-23,0.34,-0.5,-0.84,pos_then_down,positive,down
2021-12-17,-3.24,-1.27,2.04,neg_then_up,negative,up
2022-03-24,0.06,-1.96,-2.02,pos_then_down,positive,down
2022-06-23,1.45,3.64,2.16,pos_then_up,positive,up
2022-09-22,-0.76,-2.44,-1.69,neg_then_down,negative,down
2022-12-16,0.12,-1.04,-1.16,pos_then_down,positive,down
2023-03-23,0.63,1.37,0.73,pos_then_up,positive,up
2023-06-22,-0.57,-0.51,0.06,neg_then_up,negative,up
2023-09-21,0.04,-1.37,-1.41,pos_then_down,positive,down
2023-12-15,0.41,2.88,2.46,pos_then_up,positive,up
2024-03-21,0.53,1.15,0.62,pos_then_up,positive,up
2024-06-20,0.46,-0.65,-1.11,pos_then_down,positive,down
2024-09-19,0.23,-1.22,-1.45,pos_then_down,positive,down
2024-12-19,-0.04,2.26,2.3,neg_then_up,negative,up
2025-03-20,0.04,0.46,0.43,pos_then_up,positive,up
2025-06-20,-1.74,-1.97,-0.23,neg_then_down,negative,down
2025-09-18,0.01,-4.16,-4.17,pos_then_down,positive,down
