date,close_to_open_pct,close_to_close_pct,open_to_close_pct,scenario,gap_sign,intraday_sign
2012-10-24,0.33,0.95,0.62,pos_then_up,positive,up
2013-02-20,-0.02,-0.05,-0.03,neg_then_down,negative,down
2013-04-26,0.61,-0.1,-0.7,pos_then_down,positive,down
2013-07-26,-0.44,0.64,1.09,neg_then_up,negative,up
2013-10-25,0.17,0.29,0.12,pos_then_up,positive,up
2014-02-14,0.35,0.54,0.19,pos_then_up,positive,up
2014-04-25,-0.04,-0.47,-0.43,neg_then_down,negative,down
2014-07-25,-0.36,1.36,1.72,neg_then_up,negative,up
2014-10-24,-0.25,0.51,0.76,neg_then_up,negative,up
2015-02-13,-0.18,0.43,0.61,neg_then_up,negative,up
2015-04-24,0.46,-1.62,-2.07,pos_then_down,positive,down
2015-07-24,-0.03,1.71,1.73,neg_then_up,negative,up
2015-10-23,0.29,0.2,-0.08,pos_then_down,positive,down
2016-02-10,0.16,-1.99,-2.15,pos_then_down,positive,down
2016-04-26,0.45,1.6,1.15,pos_then_up,positive,up
2016-07-26,0.03,-0.79,-0.82,pos_then_down,positive,down
2016-10-26,-0.5,-0.22,0.28,neg_then_up,negative,up
2017-02-09,-0.39,0.15,0.55,neg_then_up,negative,up
2017-04-26,0.23,0.6,0.37,pos_then_up,positive,up
2017-10-25,0.41,-0.59,-0.99,pos_then_down,positive,down
2018-02-16,-0.16,-1.92,-1.76,neg_then_down,negative,down
2018-04-25,-0.11,0.79,0.9,neg_then_up,negative,up
2018-07-25,0.66,0.48,-0.18,pos_then_down,positive,down
2018-10-24,-1.0,-2.25,-1.26,neg_then_down,negative,down
2019-02-07,-0.16,0.22,0.38,neg_then_up,negative,up
2019-04-24,-0.42,0.1,0.53,neg_then_up,negative,up
2019-07-24,-0.09,0.27,0.37,neg_then_up,negative,up
2019-10-28,-1.34,0.72,2.09,neg_then_up,negative,up
2020-02-05,0.34,-0.18,-0.52,pos_then_down,positive,down
2020-04-28,1.97,0.91,-1.03,pos_then_down,positive,down
2020-07-28,0.3,0.51,0.22,pos_then_up,positive,up
2020-10-27,-2.38,-3.95,-1.6,neg_then_down,negative,down
2021-02-19,-0.17,1.64,1.82,neg_then_up,negative,up
2021-04-27,-0.45,0.24,0.69,neg_then_up,negative,up
2021-07-27,-0.11,-0.85,-0.74,neg_then_down,negative,down
2021-10-27,0.11,0.52,0.4,pos_then_up,positive,up
2022-02-10,0.49,0.24,-0.25,pos_then_down,positive,down
2022-04-28,-0.53,-3.31,-2.79,neg_then_down,negative,down
2022-07-28,0.11,0.84,0.73,pos_then_up,positive,up
2022-10-27,0.33,3.99,3.65,pos_then_up,positive,up
2023-02-23,-0.82,0.61,1.44,neg_then_up,negative,up
2023-04-27,-0.04,-0.92,-0.87,neg_then_down,negative,down
2023-07-27,0.94,-0.67,-1.59,pos_then_down,positive,down
2023-11-01,-0.17,2.28,2.45,neg_then_up,negative,up
2024-02-08,-0.03,0.17,0.2,neg_then_up,negative,up
2024-04-25,0.18,-1.46,-1.63,pos_then_down,positive,down
2024-07-25,0.96,0.0,-0.95,pos_then_down,positive,down
2024-10-24,0.22,-2.47,-2.68,pos_then_down,positive,down
2025-02-13,0.67,0.96,0.29,pos_then_up,positive,up
2025-05-01,0.19,0.38,0.19,pos_then_up,positive,up
2025-07-29,0.29,-1.25,-1.54,pos_then_down,positive,down
2025-10-30,-1.06,-1.83,-0.77,neg_then_down,negative,down
