date,close_to_open_pct,close_to_close_pct,open_to_close_pct,scenario,gap_sign,intraday_sign
2009-08-04,-0.32,-1.6,-1.29,neg_then_down,negative,down
2009-10-30,0.32,-0.25,-0.57,pos_then_down,positive,down
2010-02-12,0.74,0.62,-0.12,pos_then_down,positive,down
2010-05-04,-0.12,0.3,0.42,neg_then_up,negative,up
2010-08-03,0.58,0.0,-0.57,pos_then_down,positive,down
2010-10-28,-0.11,0.77,0.89,neg_then_up,negative,up
2011-08-02,-0.16,-0.54,-0.38,neg_then_down,negative,down
2011-11-03,-0.43,-0.82,-0.39,neg_then_down,negative,down
2012-02-16,0.71,-0.95,-1.65,pos_then_down,positive,down
2012-05-04,-0.19,-0.42,-0.23,neg_then_down,negative,down
2012-08-02,0.76,1.69,0.93,pos_then_up,positive,up
2012-11-08,-0.1,-0.96,-0.86,neg_then_down,negative,down
2013-02-13,-1.16,-1.19,-0.03,neg_then_down,negative,down
2013-05-03,-0.23,-2.11,-1.88,neg_then_down,negative,down
2013-08-07,0.15,0.25,0.1,pos_then_up,positive,up
2014-02-18,-0.14,0.31,0.45,neg_then_up,negative,up
2014-05-07,-0.07,-1.33,-1.26,neg_then_down,negative,down
2014-08-07,0.5,1.63,1.13,pos_then_up,positive,up
2014-11-05,-0.92,-2.79,-1.89,neg_then_down,negative,down
2015-02-18,0.3,-2.22,-2.51,pos_then_down,positive,down
2015-08-06,-0.34,1.77,2.12,neg_then_up,negative,up
2015-11-05,-2.04,-5.16,-3.19,neg_then_down,negative,down
2016-02-18,-0.37,-2.18,-1.82,neg_then_down,negative,down
2016-05-03,-0.01,1.5,1.51,neg_then_up,negative,up
2016-08-04,-0.28,-1.18,-0.91,neg_then_down,negative,down
2016-11-04,0.7,2.41,1.7,pos_then_up,positive,up
2017-02-16,-0.25,-0.68,-0.43,neg_then_down,negative,down
2017-05-09,0.19,0.45,0.26,pos_then_up,positive,up
2017-08-03,-0.39,-0.03,0.36,neg_then_up,negative,up
2017-11-03,-0.18,-0.73,-0.55,neg_then_down,negative,down
2018-02-20,-0.15,-0.48,-0.33,neg_then_down,negative,down
2018-05-10,0.06,-0.32,-0.38,pos_then_down,positive,down
2018-08-02,0.09,1.37,1.28,pos_then_up,positive,up
2018-11-02,0.59,1.2,0.6,pos_then_up,positive,up
2019-02-14,0.72,-0.35,-1.06,pos_then_down,positive,down
2019-05-09,-0.24,1.34,1.58,neg_then_up,negative,up
2019-08-06,-0.01,-0.09,-0.08,neg_then_down,negative,down
2019-11-08,0.03,-2.61,-2.65,pos_then_down,positive,down
2020-02-13,0.05,1.17,1.12,pos_then_up,positive,up
2020-05-12,-0.4,0.01,0.42,neg_then_up,negative,up
2020-08-10,0.27,-1.29,-1.55,pos_then_down,positive,down
2020-11-05,0.3,-0.83,-1.12,pos_then_down,positive,down
2021-02-11,-0.55,-0.66,-0.11,neg_then_down,negative,down
2021-05-10,0.42,-0.11,-0.53,pos_then_down,positive,down
2021-08-05,-0.47,-0.9,-0.43,neg_then_down,negative,down
2021-11-04,0.17,0.65,0.48,pos_then_up,positive,up
2022-02-10,0.31,-0.04,-0.35,pos_then_down,positive,down
2022-05-09,-0.19,-1.71,-1.52,neg_then_down,negative,down
2022-08-04,-0.53,-0.52,0.01,neg_then_up,negative,up
2022-11-04,-0.12,-1.47,-1.36,neg_then_down,negative,down
2023-02-09,-0.19,1.6,1.8,neg_then_up,negative,up
2023-05-09,0.79,1.11,0.32,pos_then_up,positive,up
2023-08-08,-0.28,0.75,1.03,neg_then_up,negative,up
2023-11-02,1.41,0.43,-0.97,pos_then_down,positive,down
2024-02-08,-0.42,-1.04,-0.62,neg_then_down,negative,down
2024-05-07,0.17,0.12,-0.05,pos_then_down,positive,down
2024-08-06,0.27,0.52,0.26,pos_then_up,positive,up
2024-11-07,0.62,1.94,1.31,pos_then_up,positive,up
2025-02-13,0.32,-1.16,-1.47,pos_then_down,positive,down
2025-05-06,-0.32,-0.28,0.04,neg_then_up,negative,up
2025-08-05,0.52,0.98,0.45,pos_then_up,positive,up
2025-11-07,-0.49,-0.59,-0.1,neg_then_down,negative,down
