date,close_to_open_pct,close_to_close_pct,open_to_close_pct,scenario,gap_sign,intraday_sign
2004-10-21,0.03,-0.71,-0.74,pos_then_down,positive,down
2005-02-03,0.15,0.81,0.66,pos_then_up,positive,up
2005-04-21,-0.42,-2.69,-2.27,neg_then_down,negative,down
2005-07-25,-0.24,-0.21,0.03,neg_then_up,negative,up
2005-10-21,0.64,1.23,0.58,pos_then_up,positive,up
2006-02-10,-0.64,-2.17,-1.54,neg_then_down,negative,down
2006-04-21,-0.03,1.03,1.05,neg_then_up,negative,up
2006-07-25,-0.6,0.93,1.54,neg_then_up,negative,up
2006-10-20,-0.4,-0.29,0.11,neg_then_up,negative,up
2007-02-12,0.11,-0.45,-0.57,pos_then_down,positive,down
2007-04-24,0.73,0.39,-0.34,pos_then_down,positive,down
2007-10-22,0.13,0.24,0.11,pos_then_up,positive,up
2008-02-12,1.35,-0.96,-2.28,pos_then_down,positive,down
2008-04-24,0.36,1.43,1.06,pos_then_up,positive,up
2008-07-24,0.5,-0.7,-1.2,pos_then_down,positive,down
2008-10-23,-6.27,-5.99,0.29,neg_then_up,negative,up
2009-01-20,0.54,4.3,3.74,pos_then_up,positive,up
2009-04-28,0.65,1.99,1.33,pos_then_up,positive,up
2009-07-28,1.1,2.15,1.04,pos_then_up,positive,up
2009-10-27,-0.42,-1.78,-1.36,neg_then_down,negative,down
2010-02-11,-0.44,1.11,1.56,neg_then_up,negative,up
2010-04-27,0.62,1.13,0.51,pos_then_up,positive,up
2010-07-27,-0.04,1.05,1.1,neg_then_up,negative,up
2010-10-26,-0.39,0.57,0.96,neg_then_up,negative,up
2011-02-17,0.62,4.73,4.09,pos_then_up,positive,up
2011-04-26,0.31,1.97,1.66,pos_then_up,positive,up
2011-07-20,0.21,3.68,3.46,pos_then_up,positive,up
2011-10-25,0.93,1.69,0.75,pos_then_up,positive,up
2012-01-20,0.13,0.05,-0.08,pos_then_down,positive,down
2012-05-01,-0.56,-0.51,0.05,neg_then_up,negative,up
2012-07-31,0.49,0.38,-0.11,pos_then_down,positive,down
2012-10-12,0.79,2.46,1.66,pos_then_up,positive,up
2013-01-08,0.3,0.16,-0.14,pos_then_down,positive,down
2013-04-30,0.15,-0.44,-0.59,pos_then_down,positive,down
2013-07-30,0.26,-1.72,-1.97,pos_then_down,positive,down
2014-02-21,-0.29,0.2,0.49,neg_then_up,negative,up
2014-04-28,0.2,-0.51,-0.7,pos_then_down,positive,down
2014-07-29,0.19,-0.44,-0.63,pos_then_down,positive,down
2014-10-28,-0.28,-2.22,-1.94,neg_then_down,negative,down
2015-04-28,-0.36,1.27,1.64,neg_then_up,negative,up
2015-07-28,0.1,1.36,1.26,pos_then_up,positive,up
2015-11-02,0.01,1.74,1.73,pos_then_up,positive,up
2016-01-05,-2.73,-4.28,-1.59,neg_then_down,negative,down
2016-03-23,-0.66,0.48,1.15,neg_then_up,negative,up
2016-08-02,-0.05,-1.14,-1.09,neg_then_down,negative,down
2016-11-01,0.02,-0.13,-0.15,pos_then_down,positive,down
2017-02-21,-1.82,-0.75,1.09,neg_then_up,negative,up
2017-05-02,0.19,0.25,0.06,pos_then_up,positive,up
2017-08-01,-0.03,1.12,1.15,neg_then_up,negative,up
2017-10-31,-0.44,0.47,0.91,neg_then_up,negative,up
2018-04-18,0.09,-0.57,-0.67,pos_then_down,positive,down
2018-07-31,0.5,2.84,2.33,pos_then_up,positive,up
2018-10-30,1.35,2.79,1.42,pos_then_up,positive,up
2019-02-04,1.21,-0.33,-1.52,pos_then_down,positive,down
2019-04-26,0.16,-0.26,-0.42,pos_then_down,positive,down
2019-07-30,0.16,-1.92,-2.08,pos_then_down,positive,down
2019-10-29,0.07,-0.42,-0.48,pos_then_down,positive,down
2020-02-18,0.45,1.27,0.81,pos_then_up,positive,up
2020-04-20,-1.71,-1.62,0.09,neg_then_up,negative,up
2020-07-24,0.03,0.94,0.91,pos_then_up,positive,up
2020-10-27,-2.03,-2.33,-0.31,neg_then_down,negative,down
2021-02-16,-0.62,-1.01,-0.39,neg_then_down,negative,down
2021-04-27,0.29,1.68,1.38,pos_then_up,positive,up
2021-07-27,-0.17,-0.76,-0.59,neg_then_down,negative,down
2021-10-26,-1.94,-3.99,-2.09,neg_then_down,negative,down
2022-01-20,-5.01,-8.48,-3.66,neg_then_down,negative,down
2022-03-30,-0.51,-2.13,-1.63,neg_then_down,negative,down
2022-07-26,-0.66,1.43,2.11,neg_then_up,negative,up
2022-11-01,-0.92,-4.02,-3.13,neg_then_down,negative,down
2023-02-14,0.51,3.5,2.98,pos_then_up,positive,up
2023-05-02,0.79,-0.54,-1.32,pos_then_down,positive,down
2023-08-01,0.29,-0.14,-0.43,pos_then_down,positive,down
2023-10-31,-0.18,-0.32,-0.13,neg_then_down,negative,down
2024-02-13,-0.44,-1.9,-1.47,neg_then_down,negative,down
2024-04-30,0.22,-0.52,-0.73,pos_then_down,positive,down
2024-07-30,2.4,0.8,-1.57,pos_then_down,positive,down
2024-10-29,0.38,-0.46,-0.84,pos_then_down,positive,down
2025-02-11,-1.22,0.31,1.54,neg_then_up,negative,up
2025-04-29,-0.35,1.83,2.19,neg_then_up,negative,up
2025-07-29,0.28,1.44,1.16,pos_then_up,positive,up
2025-10-28,-0.66,-4.03,-3.4,neg_then_down,negative,down
