date,close_to_open_pct,open_to_close_pct,close_to_close_pct,scenario,conditional_sign,next_day_sign
2003-10-20,2.27,5.62,8.03,pos_then_up,positive,up
2004-02-02,0.58,1.57,2.16,pos_then_up,positive,up
2004-04-19,-2.49,-0.68,-3.15,neg_then_down,negative,down
2004-07-19,-4.89,-2.99,-7.73,neg_then_down,negative,down
2005-04-18,-3.78,1.62,-2.22,neg_then_up,negative,up
2005-10-24,-1.28,-1.16,-2.42,neg_then_down,negative,down
2006-01-30,-2.02,-1.38,-3.37,neg_then_down,negative,down
2006-04-24,-5.21,1.12,-4.14,neg_then_up,negative,up
2006-07-24,-0.14,2.1,1.95,neg_then_up,negative,up
2006-10-23,0.11,0.58,0.69,pos_then_up,positive,up
2007-01-29,-2.52,1.06,-1.49,neg_then_up,negative,up
2007-04-23,3.9,2.79,6.79,pos_then_up,positive,up
2007-07-24,0.88,-0.48,0.39,pos_then_down,positive,down
2007-10-22,3.36,-2.92,0.34,pos_then_down,positive,down
2008-01-18,-1.83,1.8,-0.06,neg_then_up,negative,up
2008-04-21,-4.59,2.16,-2.53,neg_then_up,negative,up
2008-07-21,-2.53,5.71,3.04,neg_then_up,negative,up
2008-10-20,-1.64,4.46,2.75,neg_then_up,negative,up
2009-02-11,3.75,6.28,10.27,pos_then_up,positive,up
2009-04-29,0.54,1.14,1.69,pos_then_up,positive,up
2009-08-03,3.4,-1.35,2.0,pos_then_down,positive,down
2009-10-28,0.81,0.53,1.34,pos_then_up,positive,up
2010-02-10,0.11,-5.27,-5.17,pos_then_down,positive,down
2010-04-28,-0.21,-3.1,-3.3,neg_then_down,negative,down
2010-07-28,1.81,3.75,5.63,pos_then_up,positive,up
2010-11-01,0.85,0.22,1.08,pos_then_up,positive,up
2011-02-09,-1.84,2.7,0.8,neg_then_up,negative,up
2011-04-27,0.09,0.27,0.36,pos_then_up,positive,up
2011-07-27,0.37,2.18,2.56,pos_then_up,positive,up
2011-10-26,4.7,0.94,5.69,pos_then_up,positive,up
2012-02-08,-2.35,3.23,0.81,neg_then_up,negative,up
2012-04-25,1.13,3.35,4.52,pos_then_up,positive,up
2012-07-25,1.39,-1.63,-0.26,pos_then_down,positive,down
2012-10-24,0.97,1.87,2.85,pos_then_up,positive,up
2013-02-06,0.64,0.09,0.73,pos_then_up,positive,up
2013-04-23,0.36,2.24,2.61,pos_then_up,positive,up
2013-07-23,4.01,-2.99,0.9,pos_then_down,positive,down
2013-10-23,-2.58,-0.42,-2.99,neg_then_down,negative,down
2014-02-05,1.2,-4.53,-3.38,pos_then_down,positive,down
2014-04-23,-0.07,-2.3,-2.37,neg_then_down,negative,down
2014-07-23,-2.31,0.78,-1.55,neg_then_up,negative,up
2014-10-22,0.51,-1.58,-1.08,pos_then_down,positive,down
2015-02-04,0.61,1.54,2.16,pos_then_up,positive,up
2015-04-27,0.03,0.57,0.6,pos_then_up,positive,up
2015-07-27,-1.9,-1.45,-3.32,neg_then_down,negative,down
2015-10-26,-0.55,1.02,0.46,neg_then_up,negative,up
2016-02-03,1.31,1.41,2.73,pos_then_up,positive,up
