date,close_to_open_pct,close_to_close_pct,open_to_close_pct,scenario,gap_sign,intraday_sign
2003-08-14,0.79,0.0,-0.78,pos_then_down,positive,down
2003-10-28,0.34,2.06,1.71,pos_then_up,positive,up
2004-01-29,-1.19,-2.22,-1.04,neg_then_down,negative,down
2004-04-28,2.21,3.56,1.32,pos_then_up,positive,up
2004-08-17,1.25,5.7,4.4,pos_then_up,positive,up
2004-11-03,-0.62,0.76,1.4,neg_then_up,negative,up
2005-01-27,4.58,3.17,-1.35,pos_then_down,positive,down
2005-04-28,0.37,1.72,1.35,pos_then_up,positive,up
2005-10-26,-0.2,0.29,0.49,neg_then_up,negative,up
2006-01-26,0.81,0.64,-0.17,pos_then_down,positive,down
2007-05-03,1.06,1.33,0.27,pos_then_up,positive,up
2007-08-16,1.27,0.02,-1.23,pos_then_down,positive,down
2007-10-25,1.41,0.87,-0.53,pos_then_down,positive,down
2008-02-01,0.69,-1.65,-2.33,pos_then_down,positive,down
2008-05-06,-0.14,-2.14,-2.0,neg_then_down,negative,down
2008-08-14,-0.37,1.42,1.8,neg_then_up,negative,up
2008-10-28,-1.36,-1.67,-0.32,neg_then_down,negative,down
2009-01-16,-2.37,0.04,2.47,neg_then_up,negative,up
2009-05-04,-1.19,-6.29,-5.16,neg_then_down,negative,down
2009-08-13,-1.08,-4.55,-3.5,neg_then_down,negative,down
2009-10-16,1.75,1.44,-0.31,pos_then_down,positive,down
2010-01-21,-0.07,-0.67,-0.6,neg_then_down,negative,down
2010-04-27,0.76,-0.69,-1.44,pos_then_down,positive,down
2010-08-12,-0.56,-1.67,-1.11,neg_then_down,negative,down
2010-10-29,-1.12,-1.84,-0.72,neg_then_down,negative,down
2011-02-03,-0.11,1.15,1.26,neg_then_up,negative,up
2011-05-05,0.29,1.09,0.8,pos_then_up,positive,up
2011-08-15,0.92,-0.34,-1.25,pos_then_down,positive,down
2011-11-03,-1.64,-0.82,0.83,neg_then_up,negative,up
2012-02-03,-0.57,-0.12,0.45,neg_then_up,negative,up
2012-05-04,0.03,1.45,1.42,pos_then_up,positive,up
2012-08-14,-1.1,1.33,2.46,neg_then_up,negative,up
2013-02-05,-0.71,-2.13,-1.43,neg_then_down,negative,down
2013-05-02,0.61,0.89,0.28,pos_then_up,positive,up
2013-08-15,-0.28,-0.16,0.12,neg_then_up,negative,up
2013-10-31,-0.37,-1.44,-1.07,neg_then_down,negative,down
2014-02-05,2.62,2.2,-0.4,pos_then_down,positive,down
2014-05-02,-1.15,-2.06,-0.92,neg_then_down,negative,down
2014-08-15,0.96,0.83,-0.13,pos_then_down,positive,down
2014-11-04,0.36,-1.11,-1.47,pos_then_down,positive,down
2015-02-05,0.04,1.47,1.43,pos_then_up,positive,up
2015-05-05,0.07,0.6,0.53,pos_then_up,positive,up
2015-08-17,0.46,1.23,0.77,pos_then_up,positive,up
2015-11-02,-0.03,-0.16,-0.13,neg_then_down,negative,down
2016-02-05,-1.3,-1.49,-0.2,neg_then_down,negative,down
2016-05-03,-0.85,-0.15,0.7,neg_then_up,negative,up
2016-08-19,-0.92,-0.38,0.54,neg_then_up,negative,up
2016-11-02,-0.36,-2.49,-2.14,neg_then_down,negative,down
2017-02-02,0.07,1.24,1.17,pos_then_up,positive,up
2017-05-03,0.18,0.61,0.44,pos_then_up,positive,up
2017-08-18,-0.5,0.53,1.03,neg_then_up,negative,up
2017-11-01,-0.37,-1.61,-1.25,neg_then_down,negative,down
2018-02-02,-0.74,-0.07,0.67,neg_then_up,negative,up
2018-05-02,1.58,1.15,-0.42,pos_then_down,positive,down
2018-08-20,0.65,-2.8,-3.42,pos_then_down,positive,down
2018-10-31,-0.23,3.27,3.51,neg_then_up,negative,up
2019-02-05,-1.45,-1.16,0.29,neg_then_up,negative,up
2019-05-01,-0.88,-0.03,0.86,neg_then_up,negative,up
2019-08-19,-1.12,0.27,1.41,neg_then_up,negative,up
2019-10-31,0.57,0.17,-0.41,pos_then_down,positive,down
2020-02-06,-0.78,-1.21,-0.43,neg_then_down,negative,down
2020-05-01,-0.59,1.07,1.66,neg_then_up,negative,up
2020-08-20,1.77,4.41,2.59,pos_then_up,positive,up
2020-11-02,0.99,0.42,-0.56,pos_then_down,positive,down
2021-02-05,2.73,2.83,0.1,pos_then_up,positive,up
2021-05-03,1.58,4.56,2.94,pos_then_up,positive,up
2021-08-19,-0.05,0.85,0.9,neg_then_up,negative,up
2021-11-02,-1.07,0.52,1.61,neg_then_up,negative,up
2022-02-03,2.23,3.37,1.12,pos_then_up,positive,up
2022-05-03,0.5,4.78,4.26,pos_then_up,positive,up
2022-08-18,-0.51,-2.96,-2.47,neg_then_down,negative,down
2022-11-02,-1.04,2.01,3.08,neg_then_up,negative,up
2023-02-02,-0.13,0.42,0.56,neg_then_up,negative,up
2023-05-03,2.07,-0.84,-2.85,pos_then_down,positive,down
2023-08-18,-0.84,-3.7,-2.88,neg_then_down,negative,down
2023-11-01,-0.65,9.44,10.16,neg_then_up,negative,up
2024-02-05,-0.19,-2.71,-2.53,neg_then_down,negative,down
2024-05-01,2.52,5.94,3.34,pos_then_up,positive,up
2024-08-19,-0.92,-2.02,-1.12,neg_then_down,negative,down
2024-10-31,-1.33,-3.42,-2.12,neg_then_down,negative,down
2025-02-04,-0.68,-5.08,-4.43,neg_then_down,negative,down
2025-05-01,1.95,0.85,-1.08,pos_then_down,positive,down
2025-08-20,-1.62,1.33,2.99,neg_then_up,negative,up
2025-10-30,-0.49,-0.94,-0.45,neg_then_down,negative,down
