date,close_to_open_pct,open_to_close_pct,close_to_close_pct,scenario,conditional_sign,next_day_sign
2004-11-02,1.13,0.14,1.27,pos_then_up,positive,up
2005-01-27,0.32,-0.71,-0.4,pos_then_down,positive,down
2005-05-03,0.46,1.21,1.67,pos_then_up,positive,up
2005-08-02,-0.51,0.78,0.26,neg_then_up,negative,up
2005-11-01,0.01,0.5,0.51,pos_then_up,positive,up
2006-02-07,1.63,-0.32,1.3,pos_then_down,positive,down
2006-11-07,-0.1,0.76,0.65,neg_then_up,negative,up
2007-02-06,-1.66,0.92,-0.75,neg_then_up,negative,up
2007-05-01,-0.22,1.0,0.78,neg_then_up,negative,up
2007-08-07,0.72,-0.41,0.31,pos_then_down,positive,down
2007-11-06,-0.52,1.81,1.29,neg_then_up,negative,up
2008-02-05,0.51,-2.06,-1.56,pos_then_down,positive,down
2008-05-06,0.25,-2.4,-2.16,pos_then_down,positive,down
2008-08-05,-0.21,3.07,2.85,neg_then_up,negative,up
2008-11-04,-2.51,-2.23,-4.68,neg_then_down,negative,down
2009-02-03,0.18,-3.83,-3.66,pos_then_down,positive,down
2009-04-07,0.26,-2.45,-2.2,pos_then_down,positive,down
2009-08-04,-1.3,-2.3,-3.57,neg_then_down,negative,down
2009-11-03,0.87,1.07,1.95,pos_then_up,positive,up
2010-02-02,-1.11,0.67,-0.45,neg_then_up,negative,up
2010-05-04,-0.94,-1.39,-2.31,neg_then_down,negative,down
2010-08-03,0.06,-0.85,-0.79,pos_then_down,positive,down
2010-11-02,0.62,-0.87,-0.26,pos_then_down,positive,down
2011-02-01,0.3,-0.15,0.15,pos_then_down,positive,down
2011-08-02,0.38,2.58,2.97,pos_then_up,positive,up
2011-11-01,2.3,0.75,3.06,pos_then_up,positive,up
2012-02-07,-0.19,0.46,0.27,neg_then_up,negative,up
2012-05-01,-0.31,0.96,0.65,neg_then_up,negative,up
2012-08-07,-0.36,0.75,0.38,neg_then_up,negative,up
2012-11-06,-1.07,-1.24,-2.29,neg_then_down,negative,down
2013-02-05,-0.51,1.45,0.93,neg_then_up,negative,up
2013-04-23,0.2,0.97,1.17,pos_then_up,positive,up
2013-08-06,-0.19,-1.01,-1.2,neg_then_down,negative,down
2013-11-05,0.58,0.25,0.84,pos_then_up,positive,up
2014-02-04,-0.44,-0.03,-0.47,neg_then_down,negative,down
2014-04-23,0.58,-0.43,0.14,pos_then_down,positive,down
2014-08-05,-1.26,-0.32,-1.58,neg_then_down,negative,down
2014-11-04,1.11,-0.76,0.34,pos_then_down,positive,down
2015-02-03,-0.5,-3.06,-3.55,neg_then_down,negative,down
2015-04-06,-0.54,-0.37,-0.91,neg_then_down,negative,down
2015-08-04,0.99,-0.44,0.54,pos_then_down,positive,down
2015-11-03,0.56,-0.48,0.08,pos_then_down,positive,down
2016-02-02,0.79,-0.24,0.55,pos_then_down,positive,down
2016-05-03,-0.68,-2.8,-3.46,neg_then_down,negative,down
2016-08-02,-0.89,0.67,-0.23,neg_then_up,negative,up
2016-11-01,-0.31,-1.57,-1.88,neg_then_down,negative,down
2017-02-07,-0.86,0.66,-0.21,neg_then_up,negative,up
2017-05-02,-0.37,0.56,0.19,neg_then_up,negative,up
2017-08-01,-0.35,2.08,1.72,neg_then_up,negative,up
2017-10-23,0.59,0.38,0.97,pos_then_up,positive,up
2018-02-06,0.23,-0.65,-0.42,pos_then_down,positive,down
2018-05-01,-0.14,-1.86,-2.0,neg_then_down,negative,down
2018-08-07,-0.12,-0.71,-0.83,neg_then_down,negative,down
2018-11-06,0.78,-1.7,-0.94,pos_then_down,positive,down
2019-02-05,0.25,-0.09,0.16,pos_then_down,positive,down
2019-05-07,-0.3,-1.54,-1.84,neg_then_down,negative,down
2019-07-29,-0.15,1.65,1.49,neg_then_up,negative,up
2019-10-01,-1.49,-1.21,-2.68,neg_then_down,negative,down
2020-02-04,1.86,1.89,3.78,pos_then_up,positive,up
2020-04-21,3.09,-0.44,2.64,pos_then_down,positive,down
2020-08-04,1.94,2.47,4.46,pos_then_up,positive,up
2020-11-03,-2.46,-0.76,-3.2,neg_then_down,negative,down
2021-02-02,-0.21,0.1,-0.12,neg_then_up,negative,up
2021-05-05,0.69,2.4,3.11,pos_then_up,positive,up
2021-08-04,1.2,-0.34,0.86,pos_then_down,positive,down
2021-10-12,0.51,-0.99,-0.49,pos_then_down,positive,down
2022-02-02,-1.17,0.18,-0.99,neg_then_up,negative,up
2022-05-04,-0.09,-2.22,-2.31,neg_then_down,negative,down
2022-08-09,2.03,-0.92,1.1,pos_then_down,positive,down
2022-10-31,-0.23,-0.64,-0.87,neg_then_down,negative,down
2023-02-08,0.26,-1.23,-0.98,pos_then_down,positive,down
2023-04-12,0.5,1.61,2.12,pos_then_up,positive,up
2023-08-02,1.02,-0.23,0.79,pos_then_down,positive,down
2023-11-07,0.65,-0.87,-0.22,pos_then_down,positive,down
2024-02-07,0.52,-2.15,-1.64,pos_then_down,positive,down
2024-05-08,1.54,1.05,2.61,pos_then_up,positive,up
2024-08-07,1.32,3.73,5.09,pos_then_up,positive,up
2024-11-05,7.48,0.31,7.81,pos_then_up,positive,up
2025-02-05,1.06,1.11,2.18,pos_then_up,positive,up
2025-05-07,0.6,1.68,2.29,pos_then_up,positive,up
2025-08-06,1.36,-2.15,-0.82,pos_then_down,positive,down
2025-11-05,-0.74,0.02,-0.72,neg_then_up,negative,up
