date,close_to_open_pct,close_to_close_pct,open_to_close_pct,scenario,gap_sign,intraday_sign
2004-10-26,0.47,-2.65,-3.11,pos_then_down,positive,down
2005-02-02,2.45,0.86,-1.55,pos_then_down,positive,down
2005-04-26,0.31,0.06,-0.25,pos_then_down,positive,down
2005-07-26,-0.08,-2.39,-2.31,neg_then_down,negative,down
2005-11-01,0.47,3.78,3.3,pos_then_up,positive,up
2006-02-01,-0.3,-2.7,-2.41,neg_then_down,negative,down
2006-05-04,3.57,6.8,3.12,pos_then_up,positive,up
2006-07-31,-2.67,-3.67,-1.03,neg_then_down,negative,down
2006-10-30,-0.15,-0.7,-0.55,neg_then_down,negative,down
2007-02-01,-0.24,-1.29,-1.05,neg_then_down,negative,down
2007-04-30,1.76,3.19,1.41,pos_then_up,positive,up
2007-08-02,-1.83,-3.65,-1.85,neg_then_down,negative,down
2007-10-29,1.91,4.17,2.21,pos_then_up,positive,up
2008-02-07,1.43,4.47,3.0,pos_then_up,positive,up
2008-05-01,-1.3,0.71,2.04,neg_then_up,negative,up
2008-07-29,-1.69,5.14,6.95,neg_then_up,negative,up
2008-11-03,3.93,11.06,6.86,pos_then_up,positive,up
2009-05-04,-0.47,-1.43,-0.96,neg_then_down,negative,down
2009-08-06,0.47,-4.46,-4.91,pos_then_down,positive,down
2009-11-05,2.73,2.64,-0.09,pos_then_down,positive,down
2010-02-10,-0.36,3.2,3.57,neg_then_up,negative,up
2010-05-04,-2.03,-4.6,-2.62,neg_then_down,negative,down
2010-08-05,-5.85,-3.1,2.91,neg_then_up,negative,up
2010-11-02,-7.42,-9.31,-2.04,neg_then_down,negative,down
2011-02-18,0.89,-0.52,-1.4,pos_then_down,positive,down
2011-05-06,2.6,3.61,0.99,pos_then_up,positive,up
2011-08-04,6.66,4.11,-2.39,pos_then_down,positive,down
2011-11-01,5.64,11.83,5.86,pos_then_up,positive,up
2012-02-16,1.23,-2.78,-3.96,pos_then_down,positive,down
2012-05-08,-0.17,1.07,1.24,neg_then_up,negative,up
2012-08-02,7.22,11.06,3.58,pos_then_up,positive,up
2012-11-05,5.63,4.43,-1.14,pos_then_down,positive,down
2013-02-13,3.35,-0.2,-3.43,pos_then_down,positive,down
2013-05-06,6.15,7.66,1.42,pos_then_up,positive,up
2013-08-06,4.63,1.96,-2.55,pos_then_down,positive,down
2013-11-06,1.51,-2.86,-4.31,pos_then_down,positive,down
2014-02-24,1.36,2.0,0.63,pos_then_up,positive,up
2014-05-06,0.95,1.12,0.17,pos_then_up,positive,up
2014-08-05,-1.47,-1.83,-0.36,neg_then_down,negative,down
2014-11-04,5.78,6.45,0.63,pos_then_up,positive,up
2015-02-18,-9.05,-1.58,8.21,neg_then_up,negative,up
2015-05-04,-0.69,-4.88,-4.21,neg_then_down,negative,down
2015-08-06,-3.13,-5.05,-1.98,neg_then_down,negative,down
2015-11-05,-1.23,-1.39,-0.16,neg_then_down,negative,down
2016-02-25,-0.73,-1.46,-0.74,neg_then_down,negative,down
2016-05-05,-2.99,-3.18,-0.19,neg_then_down,negative,down
2016-08-04,3.55,7.03,3.36,pos_then_up,positive,up
2016-11-03,3.03,-0.3,-3.24,pos_then_down,positive,down
2017-02-27,1.62,-0.94,-2.52,pos_then_down,positive,down
2017-05-08,0.73,-0.05,-0.78,pos_then_down,positive,down
2017-08-01,-1.95,-2.27,-0.32,neg_then_down,negative,down
2017-11-02,0.83,1.51,0.67,pos_then_up,positive,up
2018-01-04,-0.26,1.1,1.36,neg_then_up,negative,up
2018-05-03,-0.87,-1.16,-0.3,neg_then_down,negative,down
2018-08-02,-2.53,-2.8,-0.28,neg_then_down,negative,down
2018-11-01,-0.69,-4.25,-3.58,neg_then_down,negative,down
2019-02-26,1.74,1.2,-0.52,pos_then_down,positive,down
2019-05-02,2.89,1.94,-0.93,pos_then_down,positive,down
2019-08-01,2.44,1.71,-0.71,pos_then_down,positive,down
2019-11-06,1.44,4.65,3.16,pos_then_up,positive,up
2020-02-27,-4.5,5.43,10.4,neg_then_up,negative,up
2020-05-07,2.05,6.5,4.36,pos_then_up,positive,up
2020-08-06,-7.64,-4.09,3.85,neg_then_up,negative,up
2020-11-05,1.97,-2.87,-4.74,pos_then_down,positive,down
2021-02-25,-1.9,-8.54,-6.77,neg_then_down,negative,down
2021-05-06,0.45,7.95,7.46,pos_then_up,positive,up
2021-08-04,0.55,0.0,-0.55,pos_then_down,positive,down
2021-11-04,4.48,4.64,0.16,pos_then_up,positive,up
2022-02-24,1.04,-2.56,-3.56,pos_then_down,positive,down
2022-05-05,2.01,7.13,5.02,pos_then_up,positive,up
2022-08-04,-2.1,7.2,9.51,neg_then_up,negative,up
2022-11-03,3.5,2.78,-0.69,pos_then_down,positive,down
2023-02-23,-3.95,-4.41,-0.48,neg_then_down,negative,down
2023-05-04,3.58,2.57,-0.98,pos_then_down,positive,down
2023-08-03,2.51,-1.44,-3.85,pos_then_down,positive,down
2023-11-02,0.89,-0.38,-1.26,pos_then_down,positive,down
2024-02-22,-5.62,-3.9,1.82,neg_then_up,negative,up
2024-05-02,-0.67,-1.35,-0.69,neg_then_down,negative,down
2024-08-01,1.28,-0.15,-1.41,pos_then_down,positive,down
2024-11-07,4.1,6.06,1.88,pos_then_up,positive,up
2025-02-27,-1.92,-2.81,-0.91,neg_then_down,negative,down
2025-05-01,-0.5,-0.73,-0.23,neg_then_down,negative,down
2025-07-09,-0.62,-0.13,0.5,neg_then_up,negative,up
2025-10-08,0.81,1.29,0.47,pos_then_up,positive,up
