date,close_to_open_pct,close_to_close_pct,open_to_close_pct,scenario,gap_sign,intraday_sign
2003-10-17,-0.07,0.39,0.46,neg_then_up,negative,up
2004-01-30,0.14,0.0,-0.14,pos_then_down,positive,down
2004-07-15,0.12,0.33,0.21,pos_then_up,positive,up
2004-10-21,0.09,-0.89,-0.98,pos_then_down,positive,down
2005-01-27,-0.02,0.18,0.19,neg_then_up,negative,up
2005-07-28,0.35,-0.74,-1.09,pos_then_down,positive,down
2005-10-27,0.65,4.18,3.51,pos_then_up,positive,up
2006-01-26,0.14,1.46,1.32,pos_then_up,positive,up
2006-04-27,-0.14,-0.67,-0.53,neg_then_down,negative,down
2006-07-27,0.28,0.73,0.45,pos_then_up,positive,up
2006-10-26,-0.36,-1.75,-1.4,neg_then_down,negative,down
2007-01-25,0.09,-0.16,-0.25,pos_then_down,positive,down
2007-07-26,-0.13,-2.52,-2.39,neg_then_down,negative,down
2007-10-25,0.7,-0.04,-0.74,pos_then_down,positive,down
2008-01-31,0.56,-0.45,-1.0,pos_then_down,positive,down
2008-05-01,0.62,4.87,4.22,pos_then_up,positive,up
2008-08-01,-1.49,-6.43,-5.01,neg_then_down,negative,down
2008-10-23,-10.29,1.9,13.59,neg_then_up,negative,up
2009-01-29,2.17,-3.41,-5.47,pos_then_down,positive,down
2009-04-30,-0.36,2.94,3.31,neg_then_up,negative,up
2009-07-29,1.24,2.58,1.33,pos_then_up,positive,up
2009-10-29,-0.65,-5.51,-4.89,neg_then_down,negative,down
2010-01-28,0.9,-0.81,-1.7,pos_then_down,positive,down
2010-04-28,0.9,-1.51,-2.39,pos_then_down,positive,down
2010-07-29,-1.25,-0.49,0.77,neg_then_up,negative,up
2010-10-28,-0.35,0.48,0.83,neg_then_up,negative,up
2011-01-27,-0.06,-0.43,-0.36,neg_then_down,negative,down
2011-04-28,0.3,5.56,5.24,pos_then_up,positive,up
2011-07-28,-2.07,-0.69,1.41,neg_then_up,negative,up
2011-10-27,-1.41,2.46,3.92,neg_then_up,negative,up
2012-01-26,-0.37,0.91,1.29,neg_then_up,negative,up
2012-04-26,0.06,0.63,0.57,pos_then_up,positive,up
2012-07-26,0.2,2.21,2.0,pos_then_up,positive,up
2012-10-25,-0.12,2.8,2.92,neg_then_up,negative,up
2013-01-24,0.67,1.96,1.28,pos_then_up,positive,up
2013-04-25,-0.01,-0.15,-0.14,neg_then_down,negative,down
2013-07-25,-0.77,-0.32,0.46,neg_then_up,negative,up
2013-10-24,0.56,0.97,0.4,pos_then_up,positive,up
2014-02-13,0.59,2.12,1.53,pos_then_up,positive,up
2014-04-24,-0.16,-2.7,-2.55,neg_then_down,negative,down
2014-07-24,-1.97,-3.87,-1.94,neg_then_down,negative,down
2014-10-23,2.27,1.43,-0.83,pos_then_down,positive,down
2015-02-05,1.86,2.0,0.14,pos_then_up,positive,up
2015-04-23,0.27,-1.09,-1.36,pos_then_down,positive,down
2015-07-23,-1.35,-2.61,-1.28,neg_then_down,negative,down
2015-10-22,0.63,1.64,1.0,pos_then_up,positive,up
2016-02-04,-0.45,0.03,0.49,neg_then_up,negative,up
2016-04-28,0.47,0.06,-0.41,pos_then_down,positive,down
2016-07-28,-0.69,-1.42,-0.74,neg_then_down,negative,down
2016-10-27,2.0,-0.62,-2.57,pos_then_down,positive,down
2017-02-02,-1.08,1.88,2.99,neg_then_up,negative,up
2017-04-27,1.16,-2.07,-3.2,pos_then_down,positive,down
2017-07-27,0.13,-1.37,-1.5,pos_then_down,positive,down
2017-10-26,-0.87,5.39,6.31,neg_then_up,negative,up
2018-02-15,-0.69,-1.48,-0.79,neg_then_down,negative,down
2018-04-26,0.35,-1.92,-2.27,pos_then_down,positive,down
2018-07-26,-0.53,-8.26,-7.77,neg_then_down,negative,down
2018-10-25,-1.61,-7.89,-6.38,neg_then_down,negative,down
2019-01-22,0.8,-4.7,-5.46,pos_then_down,positive,down
2019-04-25,1.19,4.12,2.89,pos_then_up,positive,up
2019-07-25,-1.15,-3.44,-2.32,neg_then_down,negative,down
2019-10-31,-1.21,-1.68,-0.47,neg_then_down,negative,down
2020-01-13,-0.6,2.87,3.49,neg_then_up,negative,up
2020-04-23,1.12,7.12,5.93,pos_then_up,positive,up
2020-07-27,0.97,3.06,2.07,pos_then_up,positive,up
2020-10-22,-0.19,2.22,2.41,neg_then_up,negative,up
2021-02-17,-0.57,-4.54,-3.99,neg_then_down,negative,down
2021-05-05,-1.93,-8.77,-6.97,neg_then_down,negative,down
2021-07-28,-8.1,-9.93,-1.99,neg_then_down,negative,down
2021-10-27,-2.17,-6.47,-4.4,neg_then_down,negative,down
2022-02-09,-2.79,0.79,3.68,neg_then_up,negative,up
2022-04-27,1.04,2.58,1.53,pos_then_up,positive,up
2022-07-11,-3.47,-0.49,3.09,neg_then_up,negative,up
2022-10-11,0.64,0.0,-0.64,pos_then_down,positive,down
2023-01-24,-1.4,-2.89,-1.51,neg_then_down,negative,down
2023-04-13,0.4,0.82,0.42,pos_then_up,positive,up
2023-07-13,-0.15,-3.04,-2.9,neg_then_down,negative,down
2023-10-12,1.01,-0.09,-1.09,pos_then_down,positive,down
2024-01-17,-0.17,-2.09,-1.92,neg_then_down,negative,down
2024-04-11,0.64,-0.64,-1.27,pos_then_down,positive,down
2024-07-11,0.97,0.05,-0.91,pos_then_down,positive,down
2025-01-30,0.72,-1.03,-1.73,pos_then_down,positive,down
2025-04-10,-0.62,2.39,3.03,neg_then_up,negative,up
2025-07-10,-0.17,1.49,1.65,neg_then_up,negative,up
2025-10-14,1.22,4.03,2.78,pos_then_up,positive,up
