date,close_to_open_pct,close_to_close_pct,open_to_close_pct,scenario,gap_sign,intraday_sign
2004-10-28,-0.63,-0.38,0.26,neg_then_up,negative,up
2005-02-03,0.29,2.05,1.76,pos_then_up,positive,up
2005-05-05,-0.32,0.69,1.02,neg_then_up,negative,up
2006-02-09,-0.15,1.64,1.8,neg_then_up,negative,up
2006-05-04,0.61,1.12,0.51,pos_then_up,positive,up
2006-08-03,0.71,1.97,1.25,pos_then_up,positive,up
2006-11-02,-0.15,-1.28,-1.13,neg_then_down,negative,down
2007-02-08,-0.41,-0.96,-0.55,neg_then_down,negative,down
2007-05-02,1.26,2.89,1.61,pos_then_up,positive,up
2007-08-02,0.9,-2.81,-3.69,pos_then_down,positive,down
2008-02-07,2.89,-3.19,-5.91,pos_then_down,positive,down
2008-05-01,-2.97,-0.22,2.83,neg_then_up,negative,up
2008-07-30,-1.57,0.58,2.19,neg_then_up,negative,up
2008-10-30,-0.85,5.93,6.84,neg_then_up,negative,up
2009-02-04,-4.66,-9.07,-4.62,neg_then_down,negative,down
2009-04-30,-0.46,-2.5,-2.06,neg_then_down,negative,down
2009-08-06,0.57,3.63,3.04,pos_then_up,positive,up
2009-11-04,1.38,1.86,0.47,pos_then_up,positive,up
2010-02-05,0.56,-0.49,-1.04,pos_then_down,positive,down
2010-05-06,0.45,-2.42,-2.85,pos_then_down,positive,down
2010-08-05,-1.02,-0.31,0.71,neg_then_up,negative,up
2010-11-04,-0.03,0.77,0.8,neg_then_up,negative,up
2011-02-04,0.23,1.2,0.97,pos_then_up,positive,up
2011-05-05,0.22,-0.58,-0.8,pos_then_down,positive,down
2011-08-04,0.95,-1.98,-2.91,pos_then_down,positive,down
2011-11-03,-0.74,1.33,2.09,neg_then_up,negative,up
2012-02-02,0.48,1.36,0.88,pos_then_up,positive,up
2012-05-03,-0.67,-0.14,0.53,neg_then_up,negative,up
2012-08-02,0.73,-0.21,-0.93,pos_then_down,positive,down
2012-11-01,0.32,0.36,0.04,pos_then_up,positive,up
2013-02-01,-0.19,-0.45,-0.26,neg_then_down,negative,down
2013-05-02,0.61,-0.02,-0.63,pos_then_down,positive,down
2013-08-01,-0.22,-1.79,-1.57,neg_then_down,negative,down
2014-01-31,-0.38,-1.12,-0.75,neg_then_down,negative,down
2014-05-08,-0.22,0.18,0.4,neg_then_up,negative,up
2014-10-31,-0.19,0.9,1.09,neg_then_up,negative,up
2015-05-07,0.7,1.45,0.74,pos_then_up,positive,up
2015-07-31,0.34,0.73,0.39,pos_then_up,positive,up
2015-10-29,-1.5,-2.57,-1.09,neg_then_down,negative,down
2016-02-05,1.72,-2.14,-3.79,pos_then_down,positive,down
2016-04-28,-0.26,-1.73,-1.47,neg_then_down,negative,down
2016-07-28,0.4,6.02,5.6,pos_then_up,positive,up
2016-10-27,1.05,1.66,0.6,pos_then_up,positive,up
2017-02-02,-1.55,-1.44,0.11,neg_then_up,negative,up
2017-04-27,0.73,1.25,0.52,pos_then_up,positive,up
2017-07-27,-0.14,0.23,0.38,neg_then_up,negative,up
2017-11-01,-0.11,-3.31,-3.21,neg_then_down,negative,down
2018-02-07,0.32,0.22,-0.1,pos_then_down,positive,down
2018-05-02,-0.58,-0.77,-0.2,neg_then_down,negative,down
2018-08-01,-0.08,-2.79,-2.7,neg_then_down,negative,down
2018-10-29,0.28,-0.35,-0.64,pos_then_down,positive,down
2019-01-30,-0.39,0.07,0.46,neg_then_up,negative,up
2019-04-24,-0.03,-0.11,-0.08,neg_then_down,negative,down
2019-07-24,0.94,1.65,0.7,pos_then_up,positive,up
2019-10-23,-1.26,-0.63,0.64,neg_then_up,negative,up
2020-01-29,0.31,2.84,2.53,pos_then_up,positive,up
2020-05-06,-1.5,3.18,4.75,neg_then_up,negative,up
2020-08-03,-0.81,0.01,0.83,neg_then_up,negative,up
2020-10-28,1.62,6.04,4.35,pos_then_up,positive,up
2021-02-04,2.42,2.21,-0.21,pos_then_down,positive,down
2021-04-27,-0.35,-3.39,-3.05,neg_then_down,negative,down
2021-07-29,0.57,-0.76,-1.32,pos_then_down,positive,down
2021-10-26,0.37,1.04,0.67,pos_then_up,positive,up
2022-02-02,-2.17,-2.53,-0.37,neg_then_down,negative,down
2022-04-26,-1.18,-0.81,0.38,neg_then_up,negative,up
2022-07-26,-0.41,1.32,1.74,neg_then_up,negative,up
2022-10-26,-1.65,-2.93,-1.3,neg_then_down,negative,down
2023-02-07,-0.41,2.08,2.5,neg_then_up,negative,up
2023-04-27,0.94,3.91,2.95,pos_then_up,positive,up
2023-07-27,2.8,2.4,-0.39,pos_then_down,positive,down
2023-10-26,1.26,-0.94,-2.17,pos_then_down,positive,down
2024-02-06,-0.18,-1.7,-1.51,neg_then_down,negative,down
2024-04-30,0.63,-0.32,-0.94,pos_then_down,positive,down
2024-07-30,-1.08,-0.87,0.22,neg_then_up,negative,up
2024-10-29,-0.14,-1.48,-1.34,neg_then_down,negative,down
2025-02-04,-1.44,3.01,4.52,neg_then_up,negative,up
2025-04-29,0.08,1.45,1.37,pos_then_up,positive,up
2025-07-29,-2.0,-7.64,-5.76,neg_then_down,negative,down
2025-10-29,1.21,1.07,-0.14,pos_then_down,positive,down
