date,close_to_open_pct,open_to_close_pct,close_to_close_pct,scenario,conditional_sign,next_day_sign
2005-07-18,0.33,0.04,0.37,pos_then_up,positive,up
2005-10-19,0.36,-3.38,-3.03,pos_then_down,positive,down
2006-01-19,-0.21,-1.33,-1.54,neg_then_down,negative,down
2006-04-19,-0.26,1.0,0.73,neg_then_up,negative,up
2006-07-19,0.18,-0.11,0.08,pos_then_down,positive,down
2006-10-17,0.51,1.02,1.53,pos_then_up,positive,up
2007-01-18,-0.22,0.86,0.64,neg_then_up,negative,up
2007-04-17,-0.09,0.96,0.87,neg_then_up,negative,up
2007-07-19,1.53,-4.17,-2.7,pos_then_down,positive,down
2007-10-17,-0.18,1.14,0.95,neg_then_up,negative,up
2008-01-22,-2.73,7.06,4.13,neg_then_up,negative,up
2008-04-16,-0.15,1.58,1.43,neg_then_up,negative,up
2008-07-17,2.49,-2.49,-0.05,pos_then_down,positive,down
2008-10-16,-0.32,5.0,4.66,neg_then_up,negative,up
2009-01-22,-1.55,2.48,0.89,neg_then_up,negative,up
2009-04-16,0.43,1.56,2.0,pos_then_up,positive,up
2009-07-20,0.28,1.45,1.73,pos_then_up,positive,up
2009-10-15,-0.66,1.28,0.61,neg_then_up,negative,up
2010-01-21,-0.01,-1.5,-1.52,neg_then_down,negative,down
2010-04-15,-0.07,-1.0,-1.07,neg_then_down,negative,down
2010-07-19,-1.33,1.81,0.46,neg_then_up,negative,up
2010-10-15,0.16,0.48,0.64,pos_then_up,positive,up
2011-01-24,-0.35,-0.01,-0.37,neg_then_down,negative,down
2011-04-19,0.71,0.13,0.85,pos_then_up,positive,up
2011-07-18,-1.07,0.44,-0.64,neg_then_up,negative,up
2011-10-18,0.13,0.15,0.28,pos_then_up,positive,up
2012-01-23,-0.72,-1.04,-1.75,neg_then_down,negative,down
2012-04-19,0.15,0.27,0.43,pos_then_up,positive,up
2012-07-17,0.01,1.5,1.52,pos_then_up,positive,up
2012-10-15,0.34,0.28,0.63,pos_then_up,positive,up
2013-01-23,-0.23,0.13,-0.11,neg_then_up,negative,up
2013-04-18,0.33,-1.15,-0.83,pos_then_down,positive,down
2013-07-16,0.56,-1.09,-0.54,pos_then_down,positive,down
2013-10-15,0.63,1.48,2.12,pos_then_up,positive,up
2014-01-22,-0.45,0.72,0.26,neg_then_up,negative,up
2014-04-15,0.38,-0.32,0.06,pos_then_down,positive,down
2014-07-17,0.96,0.29,1.25,pos_then_up,positive,up
2014-10-17,-0.05,0.69,0.64,neg_then_up,negative,up
2015-02-05,-0.43,-4.34,-4.75,neg_then_down,negative,down
2015-04-28,-1.78,1.02,-0.78,neg_then_up,negative,up
2015-10-16,0.3,-0.19,0.12,pos_then_down,positive,down
2016-02-18,0.48,-1.1,-0.63,pos_then_down,positive,down
2016-04-26,-0.17,0.31,0.13,neg_then_up,negative,up
2016-08-02,0.41,-0.45,-0.04,pos_then_down,positive,down
2016-10-25,-0.18,-0.1,-0.28,neg_then_down,negative,down
2017-01-09,0.42,-0.21,0.21,pos_then_down,positive,down
2017-04-26,-0.13,1.04,0.91,neg_then_up,negative,up
2017-08-02,0.34,0.09,0.43,pos_then_up,positive,up
2017-10-24,0.16,0.26,0.42,pos_then_up,positive,up
2018-01-30,-0.04,1.05,1.01,neg_then_up,negative,up
2018-04-25,0.28,2.07,2.35,pos_then_up,positive,up
2018-08-01,0.28,0.87,1.15,pos_then_up,positive,up
2018-10-31,0.43,-1.54,-1.12,pos_then_down,positive,down
2019-01-11,-0.66,-0.63,-1.29,neg_then_down,negative,down
2019-05-01,0.19,0.16,0.34,pos_then_up,positive,up
2019-07-31,-0.44,1.71,1.27,neg_then_up,negative,up
2019-10-30,-0.1,0.03,-0.07,neg_then_up,negative,up
2020-02-19,-0.05,-1.18,-1.23,neg_then_down,negative,down
2020-05-11,0.02,-0.25,-0.23,pos_then_down,positive,down
2020-07-29,-0.99,1.49,0.49,neg_then_up,negative,up
2020-10-28,-0.46,-0.84,-1.29,neg_then_down,negative,down
2021-02-24,-0.51,-1.64,-2.15,neg_then_down,negative,down
2021-04-28,0.17,1.71,1.89,pos_then_up,positive,up
2021-08-04,0.34,2.31,2.65,pos_then_up,positive,up
2021-11-03,0.04,-0.48,-0.45,pos_then_down,positive,down
2022-02-23,-0.88,-1.44,-2.31,neg_then_down,negative,down
2022-04-27,0.58,0.77,1.36,pos_then_up,positive,up
2022-08-03,0.09,1.23,1.32,pos_then_up,positive,up
2022-11-02,-0.52,1.07,0.54,neg_then_up,negative,up
2023-02-16,0.11,0.96,1.07,pos_then_up,positive,up
2023-04-26,0.03,2.0,2.03,pos_then_up,positive,up
2023-08-02,-0.7,-2.39,-3.08,neg_then_down,negative,down
2023-10-30,0.24,0.62,0.87,pos_then_up,positive,up
2024-02-22,0.47,0.49,0.97,pos_then_up,positive,up
2024-04-24,0.1,0.9,1.01,pos_then_up,positive,up
2024-08-01,1.51,-1.5,-0.02,pos_then_down,positive,down
2024-10-31,-0.27,-6.2,-6.45,neg_then_down,negative,down
2025-02-18,0.18,-0.27,-0.09,pos_then_down,positive,down
2025-04-29,-0.49,0.06,-0.43,neg_then_up,negative,up
2025-07-30,0.45,0.83,1.28,pos_then_up,positive,up
2025-10-29,-0.29,0.91,0.62,neg_then_up,negative,up
